Time,texas
2023-12-22,31
2023-12-23,32
2023-12-24,29
2023-12-25,26
2023-12-26,33
2023-12-27,38
2023-12-28,40
2023-12-29,37
2023-12-30,35
2023-12-31,35
2024-01-01,41
2024-01-02,100
2024-01-03,40
2024-01-04,36
2024-01-05,35
2024-01-06,34
2024-01-07,32
2024-01-08,37
2024-01-09,38
2024-01-10,36
2024-01-11,36
2024-01-12,37
2024-01-13,38
2024-01-14,33
2024-01-15,36
2024-01-16,37
2024-01-17,37
2024-01-18,37
2024-01-19,37
2024-01-20,37
2024-01-21,31
2024-01-22,36
2024-01-23,37
2024-01-24,37
2024-01-25,40
2024-01-26,42
2024-01-27,45
2024-01-28,39
2024-01-29,39
2024-01-30,40
2024-01-31,38
2024-02-01,36
2024-02-02,38
2024-02-03,36
2024-02-04,35
2024-02-05,35
2024-02-06,34
2024-02-07,34
2024-02-08,33
2024-02-09,32
2024-02-10,36
2024-02-11,31
2024-02-12,32
2024-02-13,37
2024-02-14,37
2024-02-15,36
2024-02-16,36
2024-02-17,41
2024-02-18,36
2024-02-19,37
2024-02-20,39
2024-02-21,38
2024-02-22,38
2024-02-23,37
2024-02-24,39
2024-02-25,36
2024-02-26,38
2024-02-27,40
2024-02-28,48
2024-02-29,45
2024-03-01,42
2024-03-02,42
2024-03-03,39
2024-03-04,39
2024-03-05,41
2024-03-06,40
2024-03-07,36
2024-03-08,36
2024-03-09,37
2024-03-10,38
2024-03-11,36
2024-03-12,35
2024-03-13,36
2024-03-14,38
2024-03-15,38
2024-03-16,41
2024-03-17,36
2024-03-18,38
2024-03-19,40
2024-03-20,39
2024-03-21,39
2024-03-22,41
2024-03-23,40
2024-03-24,41
2024-03-25,44
2024-03-26,37
2024-03-27,36
2024-03-28,39
2024-03-29,40
2024-03-30,37
2024-03-31,40
2024-04-01,39
2024-04-02,37
2024-04-03,40
2024-04-04,38
2024-04-05,41
2024-04-06,41
2024-04-07,45
2024-04-08,60
2024-04-09,39
2024-04-10,36
2024-04-11,36
2024-04-12,35
2024-04-13,35
2024-04-14,35
2024-04-15,35
2024-04-16,36
2024-04-17,35
2024-04-18,36
2024-04-19,35
2024-04-20,35
2024-04-21,34
2024-04-22,34
2024-04-23,36
2024-04-24,36
2024-04-25,37
2024-04-26,36
2024-04-27,37
2024-04-28,35
2024-04-29,37
2024-04-30,36
2024-05-01,35
2024-05-02,36
2024-05-03,38
2024-05-04,37
2024-05-05,35
2024-05-06,36
2024-05-07,36
2024-05-08,35
2024-05-09,35
2024-05-10,36
2024-05-11,39
2024-05-12,38
2024-05-13,38
2024-05-14,35
2024-05-15,37
2024-05-16,34
2024-05-17,37
2024-05-18,36
2024-05-19,35
2024-05-20,35
2024-05-21,34
2024-05-22,35
2024-05-23,37
2024-05-24,36
2024-05-25,36
2024-05-26,40
2024-05-27,36
2024-05-28,38
2024-05-29,40
2024-05-30,37
2024-05-31,37
2024-06-01,34
2024-06-02,36
2024-06-03,36
2024-06-04,38
2024-06-05,36
2024-06-06,38
2024-06-07,36
2024-06-08,38
2024-06-09,33
2024-06-10,37
2024-06-11,36
2024-06-12,36
2024-06-13,36
2024-06-14,35
2024-06-15,34
2024-06-16,41
2024-06-17,36
2024-06-18,38
2024-06-19,36
2024-06-20,39
2024-06-21,37
2024-06-22,35
2024-06-23,39
2024-06-24,38
2024-06-25,41
2024-06-26,37
2024-06-27,36
2024-06-28,35
2024-06-29,33
2024-06-30,34
2024-07-01,37
2024-07-02,38
2024-07-03,36
2024-07-04,36
2024-07-05,39
2024-07-06,36
2024-07-07,38
2024-07-08,42
2024-07-09,40
2024-07-10,39
2024-07-11,37
2024-07-12,37
2024-07-13,34
2024-07-14,30
2024-07-15,35
2024-07-16,35
2024-07-17,37
2024-07-18,35
2024-07-19,33
2024-07-20,32
2024-07-21,32
2024-07-22,37
2024-07-23,35
2024-07-24,35
2024-07-25,37
2024-07-26,37
2024-07-27,35
2024-07-28,32
2024-07-29,35
2024-07-30,37
2024-07-31,34
2024-08-01,34
2024-08-02,34
2024-08-03,34
2024-08-04,31
2024-08-05,33
2024-08-06,35
2024-08-07,35
2024-08-08,34
2024-08-09,36
2024-08-10,32
2024-08-11,32
2024-08-12,36
2024-08-13,37
2024-08-14,37
2024-08-15,37
2024-08-16,37
2024-08-17,35
2024-08-18,33
2024-08-19,36
2024-08-20,38
2024-08-21,37
2024-08-22,36
2024-08-23,37
2024-08-24,36
2024-08-25,34
2024-08-26,36
2024-08-27,37
2024-08-28,36
2024-08-29,35
2024-08-30,37
2024-08-31,48
2024-09-01,55
2024-09-02,36
2024-09-03,38
2024-09-04,37
2024-09-05,36
2024-09-06,36
2024-09-07,64
2024-09-08,38
2024-09-09,36
2024-09-10,34
2024-09-11,36
2024-09-12,37
2024-09-13,40
2024-09-14,48
2024-09-15,45
2024-09-16,38
