Time,classroom
2024-08-18,19
2024-08-19,72
2024-08-20,77
2024-08-21,76
2024-08-22,86
2024-08-23,73
2024-08-24,19
2024-08-25,20
2024-08-26,84
2024-08-27,86
2024-08-28,89
2024-08-29,93
2024-08-30,78
2024-08-31,17
2024-09-01,16
2024-09-02,21
2024-09-03,89
2024-09-04,96
2024-09-05,99
2024-09-06,93
2024-09-07,17
2024-09-08,21
2024-09-09,98
2024-09-10,96
2024-09-11,92
2024-09-12,95
2024-09-13,92
2024-09-14,18
2024-09-15,20
2024-09-16,90
2024-09-17,92
2024-09-18,100
2024-09-19,93
2024-09-20,84
2024-09-21,18
2024-09-22,20
2024-09-23,89
2024-09-24,89
2024-09-25,89
2024-09-26,88
2024-09-27,76
2024-09-28,17
2024-09-29,21
2024-09-30,82
2024-10-01,86
2024-10-02,79
2024-10-03,73
2024-10-04,73
2024-10-05,16
2024-10-06,20
2024-10-07,81
2024-10-08,79
2024-10-09,75
2024-10-10,80
2024-10-11,70
2024-10-12,16
2024-10-13,16
2024-10-14,51
2024-10-15,90
2024-10-16,80
2024-10-17,83
2024-10-18,76
2024-10-19,17
2024-10-20,19
2024-10-21,82
2024-10-22,85
2024-10-23,84
2024-10-24,82
2024-10-25,72
2024-10-26,15
2024-10-27,18
2024-10-28,83
2024-10-29,77
2024-10-30,75
2024-10-31,71
2024-11-01,57
2024-11-02,15
2024-11-03,17
2024-11-04,69
2024-11-05,51
2024-11-06,58
2024-11-07,71
2024-11-08,69
2024-11-09,15
2024-11-10,16
2024-11-11,47
2024-11-12,74
2024-11-13,76
2024-11-14,72
2024-11-15,68
2024-11-16,15
2024-11-17,16
2024-11-18,69
2024-11-19,73
2024-11-20,69
2024-11-21,74
2024-11-22,61
2024-11-23,14
2024-11-24,15
2024-11-25,43
2024-11-26,40
2024-11-27,19
2024-11-28,9
2024-11-29,9
2024-11-30,10
2024-12-01,16
2024-12-02,69
2024-12-03,67
2024-12-04,68
2024-12-05,64
2024-12-06,65
2024-12-07,16
2024-12-08,17
2024-12-09,70
2024-12-10,70
2024-12-11,67
2024-12-12,69
2024-12-13,64
2024-12-14,17
2024-12-15,17
2024-12-16,69
2024-12-17,68
2024-12-18,67
2024-12-19,60
2024-12-20,38
2024-12-21,9
2024-12-22,7
2024-12-23,7
2024-12-24,6
2024-12-25,5
2024-12-26,7
2024-12-27,7
2024-12-28,6
2024-12-29,7
2024-12-30,8
2024-12-31,7
2025-01-01,8
2025-01-02,19
2025-01-03,23
2025-01-04,10
2025-01-05,12
2025-01-06,46
2025-01-07,61
2025-01-08,64
2025-01-09,62
2025-01-10,55
2025-01-11,14
2025-01-12,17
2025-01-13,67
2025-01-14,73
2025-01-15,69
2025-01-16,74
2025-01-17,65
2025-01-18,16
2025-01-19,12
2025-01-20,18
2025-01-21,56
2025-01-22,58
2025-01-23,67
2025-01-24,63
2025-01-25,16
2025-01-26,16
2025-01-27,65
2025-01-28,70
2025-01-29,64
2025-01-30,70
2025-01-31,65
2025-02-01,14
2025-02-02,18
2025-02-03,64
2025-02-04,73
2025-02-05,70
2025-02-06,65
2025-02-07,66
2025-02-08,15
2025-02-09,16
2025-02-10,61
2025-02-11,69
2025-02-12,68
2025-02-13,65
2025-02-14,51
2025-02-15,13
2025-02-16,13
2025-02-17,22
2025-02-18,53
2025-02-19,52
2025-02-20,54
2025-02-21,53
2025-02-22,14
2025-02-23,16
2025-02-24,66
2025-02-25,66
2025-02-26,64
2025-02-27,63
2025-02-28,63
2025-03-01,14
2025-03-02,16
2025-03-03,64
2025-03-04,61
2025-03-05,64
2025-03-06,65
2025-03-07,60
2025-03-08,15
2025-03-09,15
2025-03-10,58
2025-03-11,57
2025-03-12,60
2025-03-13,56
2025-03-14,49
2025-03-15,14
2025-03-16,15
2025-03-17,51
2025-03-18,56
2025-03-19,53
2025-03-20,52
2025-03-21,44
2025-03-22,13
2025-03-23,14
2025-03-24,52
2025-03-25,52
2025-03-26,53
2025-03-27,54
2025-03-28,48
2025-03-29,13
2025-03-30,14
2025-03-31,48
2025-04-01,56
2025-04-02,57
2025-04-03,60
2025-04-04,54
2025-04-05,13
2025-04-06,15
2025-04-07,60
2025-04-08,57
2025-04-09,57
2025-04-10,57
2025-04-11,56
2025-04-12,14
2025-04-13,15
2025-04-14,52
2025-04-15,50
2025-04-16,50
2025-04-17,47
2025-04-18,25
2025-04-19,11
2025-04-20,13
2025-04-21,48
2025-04-22,61
2025-04-23,58
2025-04-24,59
2025-04-25,60
2025-04-26,16
2025-04-27,16
2025-04-28,74
2025-04-29,69
2025-04-30,73
2025-05-01,74
2025-05-02,63
2025-05-03,16
2025-05-04,20
2025-05-05,73
2025-05-06,68
2025-05-07,64
2025-05-08,59
2025-05-09,53
2025-05-10,14
2025-05-11,15
2025-05-12,59
2025-05-13,56
2025-05-14,55
