Time,classroom
2023-04-26,74
2023-04-27,73
2023-04-28,73
2023-04-29,16
2023-04-30,18
2023-05-01,80
2023-05-02,74
2023-05-03,70
2023-05-04,75
2023-05-05,64
2023-05-06,12
2023-05-07,15
2023-05-08,75
2023-05-09,68
2023-05-10,68
2023-05-11,67
2023-05-12,60
2023-05-13,13
2023-05-14,12
2023-05-15,68
2023-05-16,63
2023-05-17,63
2023-05-18,62
2023-05-19,56
2023-05-20,12
2023-05-21,14
2023-05-22,57
2023-05-23,54
2023-05-24,50
2023-05-25,48
2023-05-26,36
2023-05-27,10
2023-05-28,9
2023-05-29,10
2023-05-30,39
2023-05-31,38
2023-06-01,33
2023-06-02,31
2023-06-03,10
2023-06-04,11
2023-06-05,33
2023-06-06,31
2023-06-07,30
2023-06-08,25
2023-06-09,23
2023-06-10,8
2023-06-11,9
2023-06-12,26
2023-06-13,23
2023-06-14,20
2023-06-15,17
2023-06-16,13
2023-06-17,7
2023-06-18,6
2023-06-19,10
2023-06-20,14
2023-06-21,13
2023-06-22,12
2023-06-23,10
2023-06-24,6
2023-06-25,7
2023-06-26,11
2023-06-27,11
2023-06-28,10
2023-06-29,10
2023-06-30,9
2023-07-01,6
2023-07-02,7
2023-07-03,9
2023-07-04,8
2023-07-05,29
2023-07-06,12
2023-07-07,10
2023-07-08,7
2023-07-09,8
2023-07-10,12
2023-07-11,12
2023-07-12,12
2023-07-13,11
2023-07-14,10
2023-07-15,8
2023-07-16,7
2023-07-17,12
2023-07-18,13
2023-07-19,13
2023-07-20,12
2023-07-21,10
2023-07-22,8
2023-07-23,8
2023-07-24,14
2023-07-25,14
2023-07-26,15
2023-07-27,14
2023-07-28,12
2023-07-29,9
2023-07-30,9
2023-07-31,14
2023-08-01,19
2023-08-02,21
2023-08-03,24
2023-08-04,22
2023-08-05,11
2023-08-06,12
2023-08-07,28
2023-08-08,30
2023-08-09,34
2023-08-10,39
2023-08-11,39
2023-08-12,12
2023-08-13,14
2023-08-14,46
2023-08-15,51
2023-08-16,60
2023-08-17,64
2023-08-18,61
2023-08-19,14
2023-08-20,15
2023-08-21,67
2023-08-22,73
2023-08-23,76
2023-08-24,79
2023-08-25,67
2023-08-26,14
2023-08-27,16
2023-08-28,80
2023-08-29,79
2023-08-30,77
2023-08-31,82
2023-09-01,70
2023-09-02,13
2023-09-03,12
2023-09-04,21
2023-09-05,85
2023-09-06,96
2023-09-07,100
2023-09-08,87
2023-09-09,16
2023-09-10,19
2023-09-11,97
2023-09-12,94
2023-09-13,98
2023-09-14,95
2023-09-15,86
2023-09-16,15
2023-09-17,18
2023-09-18,87
2023-09-19,94
2023-09-20,90
2023-09-21,91
2023-09-22,81
2023-09-23,16
2023-09-24,17
2023-09-25,73
2023-09-26,92
2023-09-27,88
2023-09-28,91
2023-09-29,81
2023-09-30,14
2023-10-01,17
2023-10-02,86
2023-10-03,88
2023-10-04,80
2023-10-05,82
2023-10-06,73
2023-10-07,14
2023-10-08,14
2023-10-09,51
2023-10-10,83
2023-10-11,75
2023-10-12,80
2023-10-13,66
2023-10-14,13
2023-10-15,17
2023-10-16,79
2023-10-17,81
2023-10-18,78
2023-10-19,80
2023-10-20,73
2023-10-21,14
2023-10-22,15
2023-10-23,85
2023-10-24,81
2023-10-25,79
2023-10-26,77
2023-10-27,68
2023-10-28,12
2023-10-29,15
2023-10-30,82
2023-10-31,72
2023-11-01,78
2023-11-02,84
2023-11-03,70
2023-11-04,14
2023-11-05,15
2023-11-06,77
2023-11-07,68
2023-11-08,74
2023-11-09,73
2023-11-10,49
2023-11-11,12
2023-11-12,15
2023-11-13,82
2023-11-14,78
2023-11-15,77
2023-11-16,76
2023-11-17,66
2023-11-18,12
2023-11-19,12
2023-11-20,46
2023-11-21,41
2023-11-22,19
2023-11-23,7
2023-11-24,8
2023-11-25,9
2023-11-26,13
2023-11-27,72
2023-11-28,73
2023-11-29,77
2023-11-30,78
2023-12-01,69
2023-12-02,12
2023-12-03,14
2023-12-04,78
2023-12-05,76
2023-12-06,75
2023-12-07,76
2023-12-08,69
2023-12-09,13
2023-12-10,14
2023-12-11,75
2023-12-12,77
2023-12-13,73
2023-12-14,68
2023-12-15,59
2023-12-16,11
2023-12-17,13
2023-12-18,52
2023-12-19,52
2023-12-20,45
2023-12-21,35
2023-12-22,18
2023-12-23,6
2023-12-24,5
2023-12-25,5
2023-12-26,5
2023-12-27,6
2023-12-28,6
2023-12-29,6
2023-12-30,6
2023-12-31,5
2024-01-01,7
2024-01-02,28
2024-01-03,41
2024-01-04,45
2024-01-05,44
2024-01-06,12
2024-01-07,12
2024-01-08,62
2024-01-09,62
2024-01-10,69
2024-01-11,70
2024-01-12,63
2024-01-13,12
2024-01-14,10
2024-01-15,15
2024-01-16,53
2024-01-17,65
2024-01-18,67
2024-01-19,60
2024-01-20,13
