Time,klay thompson
2023-04-26,9
2023-04-27,20
2023-04-28,24
2023-04-29,26
2023-04-30,44
2023-05-01,18
2023-05-02,20
2023-05-03,33
2023-05-04,20
2023-05-05,73
2023-05-06,24
2023-05-07,42
2023-05-08,20
2023-05-09,44
2023-05-10,18
2023-05-11,34
2023-05-12,17
2023-05-13,100
2023-05-14,31
2023-05-15,12
2023-05-16,9
2023-05-17,6
2023-05-18,6
2023-05-19,6
2023-05-20,6
2023-05-21,5
2023-05-22,4
2023-05-23,5
2023-05-24,4
2023-05-25,3
2023-05-26,3
2023-05-27,4
2023-05-28,4
2023-05-29,4
2023-05-30,6
2023-05-31,5
2023-06-01,4
2023-06-02,4
2023-06-03,3
2023-06-04,4
2023-06-05,3
2023-06-06,3
2023-06-07,3
2023-06-08,3
2023-06-09,2
2023-06-10,4
2023-06-11,3
2023-06-12,2
2023-06-13,3
2023-06-14,3
2023-06-15,3
2023-06-16,3
2023-06-17,4
2023-06-18,3
2023-06-19,4
2023-06-20,4
2023-06-21,3
2023-06-22,7
2023-06-23,8
2023-06-24,7
2023-06-25,7
2023-06-26,7
2023-06-27,7
2023-06-28,5
2023-06-29,10
2023-06-30,15
2023-07-01,9
2023-07-02,7
2023-07-03,5
2023-07-04,4
2023-07-05,4
2023-07-06,3
2023-07-07,3
2023-07-08,3
2023-07-09,3
2023-07-10,3
2023-07-11,4
2023-07-12,4
2023-07-13,3
2023-07-14,2
2023-07-15,3
2023-07-16,3
2023-07-17,3
2023-07-18,2
2023-07-19,3
2023-07-20,3
2023-07-21,2
2023-07-22,3
2023-07-23,3
2023-07-24,2
2023-07-25,3
2023-07-26,3
2023-07-27,2
2023-07-28,2
2023-07-29,3
2023-07-30,3
2023-07-31,2
2023-08-01,2
2023-08-02,2
2023-08-03,2
2023-08-04,2
2023-08-05,2
2023-08-06,3
2023-08-07,4
2023-08-08,9
2023-08-09,6
2023-08-10,5
2023-08-11,3
2023-08-12,3
2023-08-13,4
2023-08-14,4
2023-08-15,3
2023-08-16,2
2023-08-17,2
2023-08-18,3
2023-08-19,3
2023-08-20,2
2023-08-21,2
2023-08-22,2
2023-08-23,3
2023-08-24,2
2023-08-25,2
2023-08-26,1
2023-08-27,3
2023-08-28,2
2023-08-29,3
2023-08-30,3
2023-08-31,3
2023-09-01,3
2023-09-02,5
2023-09-03,4
2023-09-04,4
2023-09-05,3
2023-09-06,2
2023-09-07,2
2023-09-08,2
2023-09-09,3
2023-09-10,4
2023-09-11,2
2023-09-12,3
2023-09-13,2
2023-09-14,3
2023-09-15,2
2023-09-16,2
2023-09-17,2
2023-09-18,3
2023-09-19,3
2023-09-20,2
2023-09-21,2
2023-09-22,2
2023-09-23,2
2023-09-24,2
2023-09-25,2
2023-09-26,2
2023-09-27,3
2023-09-28,2
2023-09-29,2
2023-09-30,2
2023-10-01,1
2023-10-02,2
2023-10-03,2
2023-10-04,3
2023-10-05,2
2023-10-06,2
2023-10-07,3
2023-10-08,5
2023-10-09,2
2023-10-10,2
2023-10-11,2
2023-10-12,3
2023-10-13,3
2023-10-14,4
2023-10-15,3
2023-10-16,6
2023-10-17,6
2023-10-18,5
2023-10-19,7
2023-10-20,4
2023-10-21,6
2023-10-22,4
2023-10-23,5
2023-10-24,16
2023-10-25,38
2023-10-26,11
2023-10-27,7
2023-10-28,14
2023-10-29,8
2023-10-30,10
2023-10-31,14
2023-11-01,7
2023-11-02,16
2023-11-03,12
2023-11-04,10
2023-11-05,12
2023-11-06,11
2023-11-07,9
2023-11-08,8
2023-11-09,13
2023-11-10,3
2023-11-11,11
2023-11-12,18
2023-11-13,11
2023-11-14,7
2023-11-15,33
2023-11-16,25
2023-11-17,38
2023-11-18,13
2023-11-19,32
2023-11-20,20
2023-11-21,22
2023-11-22,11
2023-11-23,17
2023-11-24,9
2023-11-25,16
2023-11-26,4
2023-11-27,3
2023-11-28,14
2023-11-29,22
2023-11-30,10
2023-12-01,16
2023-12-02,16
2023-12-03,6
2023-12-04,4
2023-12-05,3
2023-12-06,7
2023-12-07,18
2023-12-08,10
2023-12-09,10
2023-12-10,4
2023-12-11,3
2023-12-12,11
2023-12-13,30
2023-12-14,17
2023-12-15,18
2023-12-16,9
2023-12-17,17
2023-12-18,13
2023-12-19,14
2023-12-20,21
2023-12-21,5
2023-12-22,11
2023-12-23,20
2023-12-24,15
2023-12-25,26
2023-12-26,7
2023-12-27,3
2023-12-28,9
2023-12-29,13
2023-12-30,9
2023-12-31,18
2024-01-01,5
2024-01-02,10
2024-01-03,18
2024-01-04,22
2024-01-05,26
2024-01-06,12
2024-01-07,7
2024-01-08,8
2024-01-09,4
2024-01-10,8
2024-01-11,14
2024-01-12,11
2024-01-13,16
2024-01-14,9
2024-01-15,8
2024-01-16,10
2024-01-17,6
2024-01-18,5
2024-01-19,7
2024-01-20,5
