Time,office 365
2022-01-01,22
2022-01-02,26
2022-01-03,73
2022-01-04,91
2022-01-05,90
2022-01-06,70
2022-01-07,79
2022-01-08,32
2022-01-09,28
2022-01-10,82
2022-01-11,86
2022-01-12,92
2022-01-13,100
2022-01-14,67
2022-01-15,32
2022-01-16,25
2022-01-17,53
2022-01-18,80
2022-01-19,84
2022-01-20,83
2022-01-21,79
2022-01-22,35
2022-01-23,31
2022-01-24,97
2022-01-25,77
2022-01-26,71
2022-01-27,81
2022-01-28,81
2022-01-29,36
2022-01-30,32
2022-01-31,83
2022-02-01,91
2022-02-02,91
2022-02-03,88
2022-02-04,79
2022-02-05,34
2022-02-06,32
2022-02-07,84
2022-02-08,86
2022-02-09,84
2022-02-10,73
2022-02-11,87
2022-02-12,34
2022-02-13,28
2022-02-14,68
2022-02-15,77
2022-02-16,84
2022-02-17,80
2022-02-18,66
2022-02-19,31
2022-02-20,26
2022-02-21,56
2022-02-22,81
2022-02-23,79
2022-02-24,75
2022-02-25,67
2022-02-26,30
2022-02-27,30
2022-02-28,75
2022-03-01,82
2022-03-02,77
2022-03-03,81
2022-03-04,71
2022-03-05,29
2022-03-06,30
2022-03-07,76
2022-03-08,75
2022-03-09,82
2022-03-10,74
2022-03-11,66
2022-03-12,32
2022-03-13,28
2022-03-14,72
2022-03-15,71
2022-03-16,77
2022-03-17,75
2022-03-18,61
2022-03-19,28
2022-03-20,27
2022-03-21,71
2022-03-22,74
2022-03-23,73
2022-03-24,72
2022-03-25,62
2022-03-26,28
2022-03-27,26
2022-03-28,72
2022-03-29,69
2022-03-30,73
2022-03-31,73
2022-04-01,61
2022-04-02,30
2022-04-03,28
2022-04-04,72
2022-04-05,74
2022-04-06,69
2022-04-07,70
2022-04-08,62
2022-04-09,28
2022-04-10,28
2022-04-11,74
2022-04-12,73
2022-04-13,69
2022-04-14,68
2022-04-15,56
2022-04-16,27
2022-04-17,25
2022-04-18,68
2022-04-19,72
2022-04-20,69
2022-04-21,69
2022-04-22,62
2022-04-23,28
2022-04-24,27
2022-04-25,71
2022-04-26,75
2022-04-27,70
2022-04-28,71
2022-04-29,63
2022-04-30,28
2022-05-01,29
2022-05-02,71
2022-05-03,73
2022-05-04,68
2022-05-05,65
2022-05-06,69
2022-05-07,27
2022-05-08,24
2022-05-09,68
2022-05-10,72
2022-05-11,72
2022-05-12,72
2022-05-13,66
2022-05-14,27
2022-05-15,26
2022-05-16,70
2022-05-17,76
2022-05-18,71
2022-05-19,69
2022-05-20,69
2022-05-21,28
2022-05-22,24
2022-05-23,73
2022-05-24,79
2022-05-25,68
2022-05-26,68
2022-05-27,61
2022-05-28,24
2022-05-29,20
2022-05-30,29
2022-05-31,70
2022-06-01,73
2022-06-02,69
2022-06-03,62
2022-06-04,25
2022-06-05,24
2022-06-06,67
2022-06-07,71
2022-06-08,66
2022-06-09,66
2022-06-10,66
2022-06-11,25
2022-06-12,24
2022-06-13,65
2022-06-14,67
2022-06-15,68
2022-06-16,67
2022-06-17,59
2022-06-18,25
2022-06-19,22
2022-06-20,61
2022-06-21,68
2022-06-22,67
2022-06-23,68
2022-06-24,60
2022-06-25,25
2022-06-26,23
2022-06-27,62
2022-06-28,66
2022-06-29,66
2022-06-30,66
2022-07-01,58
2022-07-02,23
2022-07-03,21
2022-07-04,24
2022-07-05,62
2022-07-06,63
2022-07-07,62
2022-07-08,61
2022-07-09,25
2022-07-10,24
2022-07-11,66
2022-07-12,68
2022-07-13,70
2022-07-14,67
2022-07-15,61
2022-07-16,25
2022-07-17,24
2022-07-18,69
2022-07-19,70
2022-07-20,69
2022-07-21,67
2022-07-22,61
2022-07-23,25
2022-07-24,23
2022-07-25,67
2022-07-26,70
2022-07-27,66
2022-07-28,64
2022-07-29,62
2022-07-30,27
2022-07-31,25
2022-08-01,71
2022-08-02,65
2022-08-03,72
2022-08-04,67
2022-08-05,60
2022-08-06,29
2022-08-07,26
2022-08-08,69
2022-08-09,70
2022-08-10,70
2022-08-11,73
2022-08-12,60
2022-08-13,27
2022-08-14,26
2022-08-15,69
2022-08-16,73
2022-08-17,75
2022-08-18,72
2022-08-19,66
2022-08-20,29
2022-08-21,29
2022-08-22,79
2022-08-23,87
2022-08-24,81
2022-08-25,72
2022-08-26,67
2022-08-27,30
2022-08-28,30
2022-08-29,76
2022-08-30,79
2022-08-31,80
2022-09-01,77
2022-09-02,68
2022-09-03,27
2022-09-04,25
2022-09-05,36
2022-09-06,85
2022-09-07,83
2022-09-08,79
2022-09-09,70
2022-09-10,30
2022-09-11,28
2022-09-12,82
2022-09-13,76
2022-09-14,83
2022-09-15,78
2022-09-16,68
2022-09-17,30
2022-09-18,27
2022-09-19,76
2022-09-20,70
2022-09-21,73
2022-09-22,73
2022-09-23,68
2022-09-24,28
2022-09-25,27
2022-09-26,74
2022-09-27,74
