Time,office 365
2023-12-22,56
2023-12-23,25
2023-12-24,21
2023-12-25,18
2023-12-26,47
2023-12-27,55
2023-12-28,56
2023-12-29,49
2023-12-30,25
2023-12-31,19
2024-01-01,25
2024-01-02,77
2024-01-03,81
2024-01-04,88
2024-01-05,74
2024-01-06,32
2024-01-07,30
2024-01-08,80
2024-01-09,86
2024-01-10,85
2024-01-11,85
2024-01-12,83
2024-01-13,36
2024-01-14,28
2024-01-15,58
2024-01-16,83
2024-01-17,92
2024-01-18,89
2024-01-19,80
2024-01-20,34
2024-01-21,31
2024-01-22,88
2024-01-23,86
2024-01-24,90
2024-01-25,93
2024-01-26,84
2024-01-27,33
2024-01-28,33
2024-01-29,97
2024-01-30,94
2024-01-31,87
2024-02-01,97
2024-02-02,83
2024-02-03,36
2024-02-04,33
2024-02-05,86
2024-02-06,88
2024-02-07,96
2024-02-08,84
2024-02-09,82
2024-02-10,36
2024-02-11,28
2024-02-12,81
2024-02-13,88
2024-02-14,100
2024-02-15,90
2024-02-16,80
2024-02-17,35
2024-02-18,28
2024-02-19,66
2024-02-20,88
2024-02-21,86
2024-02-22,81
2024-02-23,75
2024-02-24,33
2024-02-25,30
2024-02-26,84
2024-02-27,82
2024-02-28,84
2024-02-29,81
2024-03-01,75
2024-03-02,33
2024-03-03,27
2024-03-04,82
2024-03-05,83
2024-03-06,82
2024-03-07,81
2024-03-08,74
2024-03-09,33
2024-03-10,27
2024-03-11,77
2024-03-12,81
2024-03-13,82
2024-03-14,75
2024-03-15,69
2024-03-16,29
2024-03-17,27
2024-03-18,83
2024-03-19,79
2024-03-20,83
2024-03-21,78
2024-03-22,73
2024-03-23,29
2024-03-24,29
2024-03-25,75
2024-03-26,79
2024-03-27,78
2024-03-28,75
2024-03-29,55
2024-03-30,25
2024-03-31,23
2024-04-01,73
2024-04-02,76
2024-04-03,91
2024-04-04,75
2024-04-05,66
2024-04-06,27
2024-04-07,26
2024-04-08,72
2024-04-09,77
2024-04-10,85
2024-04-11,75
2024-04-12,71
2024-04-13,28
2024-04-14,26
2024-04-15,78
2024-04-16,80
2024-04-17,83
2024-04-18,76
2024-04-19,70
2024-04-20,27
2024-04-21,26
2024-04-22,75
2024-04-23,76
2024-04-24,77
2024-04-25,74
2024-04-26,65
2024-04-27,27
2024-04-28,26
2024-04-29,75
2024-04-30,77
2024-05-01,73
2024-05-02,73
2024-05-03,65
2024-05-04,29
2024-05-05,25
2024-05-06,77
2024-05-07,78
2024-05-08,74
2024-05-09,76
2024-05-10,66
2024-05-11,25
2024-05-12,22
2024-05-13,72
2024-05-14,75
2024-05-15,72
2024-05-16,74
2024-05-17,68
2024-05-18,26
2024-05-19,23
2024-05-20,72
2024-05-21,76
2024-05-22,73
2024-05-23,72
2024-05-24,60
2024-05-25,22
2024-05-26,19
2024-05-27,28
2024-05-28,72
2024-05-29,75
2024-05-30,71
2024-05-31,63
2024-06-01,25
2024-06-02,25
2024-06-03,71
2024-06-04,70
2024-06-05,69
2024-06-06,74
2024-06-07,61
2024-06-08,26
2024-06-09,24
2024-06-10,71
2024-06-11,71
2024-06-12,67
2024-06-13,68
2024-06-14,59
2024-06-15,26
2024-06-16,19
2024-06-17,69
2024-06-18,68
2024-06-19,57
2024-06-20,63
2024-06-21,59
2024-06-22,24
2024-06-23,22
2024-06-24,68
2024-06-25,67
2024-06-26,65
2024-06-27,61
2024-06-28,57
2024-06-29,26
2024-06-30,21
2024-07-01,69
2024-07-02,66
2024-07-03,61
2024-07-04,24
2024-07-05,41
2024-07-06,24
2024-07-07,23
2024-07-08,64
2024-07-09,64
2024-07-10,70
2024-07-11,65
2024-07-12,59
2024-07-13,24
2024-07-14,21
2024-07-15,66
2024-07-16,64
2024-07-17,67
2024-07-18,66
2024-07-19,66
2024-07-20,26
2024-07-21,23
2024-07-22,62
2024-07-23,66
2024-07-24,63
2024-07-25,64
2024-07-26,54
2024-07-27,25
2024-07-28,23
2024-07-29,64
2024-07-30,69
2024-07-31,64
2024-08-01,68
2024-08-02,63
2024-08-03,26
2024-08-04,26
2024-08-05,70
2024-08-06,71
2024-08-07,73
2024-08-08,67
2024-08-09,63
2024-08-10,25
2024-08-11,23
2024-08-12,72
2024-08-13,74
2024-08-14,73
2024-08-15,76
2024-08-16,70
2024-08-17,27
2024-08-18,23
2024-08-19,76
2024-08-20,79
2024-08-21,84
2024-08-22,77
2024-08-23,73
2024-08-24,26
2024-08-25,29
2024-08-26,94
2024-08-27,84
2024-08-28,84
2024-08-29,81
2024-08-30,69
2024-08-31,30
2024-09-01,24
2024-09-02,36
2024-09-03,85
2024-09-04,84
2024-09-05,78
2024-09-06,71
2024-09-07,28
2024-09-08,28
2024-09-09,80
2024-09-10,81
2024-09-11,80
2024-09-12,89
2024-09-13,71
2024-09-14,28
2024-09-15,27
2024-09-16,76
