Time,bruins
2024-08-18,6
2024-08-19,6
2024-08-20,7
2024-08-21,6
2024-08-22,7
2024-08-23,6
2024-08-24,7
2024-08-25,7
2024-08-26,7
2024-08-27,8
2024-08-28,7
2024-08-29,6
2024-08-30,8
2024-08-31,9
2024-09-01,12
2024-09-02,8
2024-09-03,7
2024-09-04,8
2024-09-05,7
2024-09-06,9
2024-09-07,8
2024-09-08,9
2024-09-09,7
2024-09-10,8
2024-09-11,8
2024-09-12,9
2024-09-13,9
2024-09-14,11
2024-09-15,12
2024-09-16,9
2024-09-17,10
2024-09-18,12
2024-09-19,11
2024-09-20,11
2024-09-21,22
2024-09-22,34
2024-09-23,18
2024-09-24,18
2024-09-25,20
2024-09-26,19
2024-09-27,19
2024-09-28,21
2024-09-29,30
2024-09-30,17
2024-10-01,23
2024-10-02,25
2024-10-03,26
2024-10-04,28
2024-10-05,32
2024-10-06,27
2024-10-07,23
2024-10-08,55
2024-10-09,73
2024-10-10,42
2024-10-11,59
2024-10-12,65
2024-10-13,34
2024-10-14,66
2024-10-15,25
2024-10-16,29
2024-10-17,62
2024-10-18,26
2024-10-19,31
2024-10-20,55
2024-10-21,20
2024-10-22,27
2024-10-23,51
2024-10-24,33
2024-10-25,43
2024-10-26,39
2024-10-27,56
2024-10-28,20
2024-10-29,34
2024-10-30,42
2024-10-31,27
2024-11-01,47
2024-11-02,53
2024-11-03,47
2024-11-04,34
2024-11-05,26
2024-11-06,32
2024-11-07,24
2024-11-08,47
2024-11-09,42
2024-11-10,59
2024-11-11,21
2024-11-12,23
2024-11-13,45
2024-11-14,23
2024-11-15,46
2024-11-16,57
2024-11-17,27
2024-11-18,24
2024-11-19,61
2024-11-20,39
2024-11-21,32
2024-11-22,48
2024-11-23,30
2024-11-24,61
2024-11-25,22
2024-11-26,30
2024-11-27,51
2024-11-28,51
2024-11-29,39
2024-11-30,55
2024-12-01,70
2024-12-02,32
2024-12-03,30
2024-12-04,60
2024-12-05,48
2024-12-06,22
2024-12-07,58
2024-12-08,30
2024-12-09,19
2024-12-10,25
2024-12-11,41
2024-12-12,20
2024-12-13,38
2024-12-14,30
2024-12-15,44
2024-12-16,20
2024-12-17,22
2024-12-18,43
2024-12-19,22
2024-12-20,42
2024-12-21,30
2024-12-22,50
2024-12-23,25
2024-12-24,52
2024-12-25,19
2024-12-26,22
2024-12-27,27
2024-12-28,52
2024-12-29,46
2024-12-30,21
2024-12-31,47
2025-01-01,22
2025-01-02,21
2025-01-03,39
2025-01-04,26
2025-01-05,56
2025-01-06,31
2025-01-07,22
2025-01-08,40
2025-01-09,22
2025-01-10,39
2025-01-11,56
2025-01-12,25
2025-01-13,20
2025-01-14,24
2025-01-15,52
2025-01-16,21
2025-01-17,20
2025-01-18,51
2025-01-19,26
2025-01-20,46
2025-01-21,22
2025-01-22,25
2025-01-23,48
2025-01-24,42
2025-01-25,58
2025-01-26,27
2025-01-27,19
2025-01-28,22
2025-01-29,37
2025-01-30,24
2025-01-31,39
2025-02-01,57
2025-02-02,30
2025-02-03,18
2025-02-04,22
2025-02-05,44
2025-02-06,43
2025-02-07,19
2025-02-08,54
2025-02-09,26
2025-02-10,13
2025-02-11,14
2025-02-12,13
2025-02-13,12
2025-02-14,13
2025-02-15,17
2025-02-16,17
2025-02-17,12
2025-02-18,14
2025-02-19,13
2025-02-20,13
2025-02-21,26
2025-02-22,27
2025-02-23,51
2025-02-24,17
2025-02-25,22
2025-02-26,48
2025-02-27,23
2025-02-28,38
2025-03-01,52
2025-03-02,58
2025-03-03,22
2025-03-04,29
2025-03-05,41
2025-03-06,26
2025-03-07,100
2025-03-08,91
2025-03-09,44
2025-03-10,24
2025-03-11,34
2025-03-12,56
2025-03-13,28
2025-03-14,36
2025-03-15,35
2025-03-16,42
2025-03-17,26
2025-03-18,34
2025-03-19,18
2025-03-20,18
2025-03-21,30
2025-03-22,24
2025-03-23,43
2025-03-24,33
2025-03-25,17
2025-03-26,17
2025-03-27,29
2025-03-28,15
2025-03-29,25
2025-03-30,48
2025-03-31,17
2025-04-01,26
2025-04-02,35
2025-04-03,19
2025-04-04,28
2025-04-05,42
2025-04-06,47
2025-04-07,23
2025-04-08,17
2025-04-09,24
2025-04-10,21
2025-04-11,29
2025-04-12,17
2025-04-13,34
2025-04-14,15
2025-04-15,20
2025-04-16,29
2025-04-17,11
2025-04-18,10
2025-04-19,10
2025-04-20,11
2025-04-21,8
2025-04-22,8
2025-04-23,10
2025-04-24,8
2025-04-25,7
2025-04-26,8
2025-04-27,10
2025-04-28,8
2025-04-29,7
2025-04-30,6
2025-05-01,7
2025-05-02,8
2025-05-03,8
2025-05-04,9
2025-05-05,10
2025-05-06,10
2025-05-07,6
2025-05-08,8
2025-05-09,7
2025-05-10,9
2025-05-11,8
2025-05-12,8
2025-05-13,7
2025-05-14,7
