Time,silicon valley bank
2022-01-01,0
2022-01-02,0
2022-01-03,0
2022-01-04,0
2022-01-05,70
2022-01-06,49
2022-01-07,0
2022-01-08,0
2022-01-09,0
2022-01-10,42
2022-01-11,51
2022-01-12,50
2022-01-13,69
2022-01-14,0
2022-01-15,0
2022-01-16,0
2022-01-17,37
2022-01-18,38
2022-01-19,56
2022-01-20,53
2022-01-21,28
2022-01-22,0
2022-01-23,0
2022-01-24,36
2022-01-25,36
2022-01-26,57
2022-01-27,44
2022-01-28,49
2022-01-29,0
2022-01-30,0
2022-01-31,47
2022-02-01,43
2022-02-02,60
2022-02-03,56
2022-02-04,75
2022-02-05,0
2022-02-06,0
2022-02-07,33
2022-02-08,57
2022-02-09,39
2022-02-10,63
2022-02-11,53
2022-02-12,0
2022-02-13,0
2022-02-14,39
2022-02-15,65
2022-02-16,47
2022-02-17,51
2022-02-18,33
2022-02-19,0
2022-02-20,0
2022-02-21,0
2022-02-22,45
2022-02-23,38
2022-02-24,32
2022-02-25,51
2022-02-26,31
2022-02-27,28
2022-02-28,54
2022-03-01,45
2022-03-02,58
2022-03-03,56
2022-03-04,51
2022-03-05,0
2022-03-06,0
2022-03-07,0
2022-03-08,42
2022-03-09,52
2022-03-10,52
2022-03-11,50
2022-03-12,0
2022-03-13,0
2022-03-14,34
2022-03-15,43
2022-03-16,27
2022-03-17,53
2022-03-18,56
2022-03-19,0
2022-03-20,0
2022-03-21,56
2022-03-22,57
2022-03-23,47
2022-03-24,68
2022-03-25,47
2022-03-26,40
2022-03-27,0
2022-03-28,39
2022-03-29,43
2022-03-30,74
2022-03-31,48
2022-04-01,51
2022-04-02,28
2022-04-03,0
2022-04-04,67
2022-04-05,57
2022-04-06,54
2022-04-07,44
2022-04-08,48
2022-04-09,30
2022-04-10,0
2022-04-11,47
2022-04-12,73
2022-04-13,60
2022-04-14,47
2022-04-15,48
2022-04-16,31
2022-04-17,27
2022-04-18,61
2022-04-19,79
2022-04-20,63
2022-04-21,52
2022-04-22,63
2022-04-23,47
2022-04-24,25
2022-04-25,58
2022-04-26,59
2022-04-27,93
2022-04-28,58
2022-04-29,40
2022-04-30,32
2022-05-01,0
2022-05-02,60
2022-05-03,58
2022-05-04,60
2022-05-05,60
2022-05-06,52
2022-05-07,23
2022-05-08,24
2022-05-09,61
2022-05-10,53
2022-05-11,76
2022-05-12,73
2022-05-13,50
2022-05-14,0
2022-05-15,0
2022-05-16,100
2022-05-17,79
2022-05-18,56
2022-05-19,55
2022-05-20,43
2022-05-21,0
2022-05-22,0
2022-05-23,63
2022-05-24,72
2022-05-25,64
2022-05-26,69
2022-05-27,56
2022-05-28,0
2022-05-29,0
2022-05-30,0
2022-05-31,64
2022-06-01,46
2022-06-02,61
2022-06-03,53
2022-06-04,0
2022-06-05,0
2022-06-06,63
2022-06-07,42
2022-06-08,59
2022-06-09,53
2022-06-10,52
2022-06-11,31
2022-06-12,0
2022-06-13,73
2022-06-14,64
2022-06-15,55
2022-06-16,52
2022-06-17,39
2022-06-18,0
2022-06-19,0
2022-06-20,49
2022-06-21,70
2022-06-22,78
2022-06-23,50
2022-06-24,33
2022-06-25,31
2022-06-26,28
2022-06-27,68
2022-06-28,52
2022-06-29,60
2022-06-30,47
2022-07-01,49
2022-07-02,0
2022-07-03,0
2022-07-04,0
2022-07-05,47
2022-07-06,78
2022-07-07,70
2022-07-08,46
2022-07-09,0
2022-07-10,0
2022-07-11,60
2022-07-12,64
2022-07-13,58
2022-07-14,57
2022-07-15,51
2022-07-16,0
2022-07-17,0
2022-07-18,65
2022-07-19,93
2022-07-20,55
2022-07-21,55
2022-07-22,48
2022-07-23,40
2022-07-24,0
2022-07-25,79
2022-07-26,69
2022-07-27,62
2022-07-28,59
2022-07-29,50
2022-07-30,0
2022-07-31,0
2022-08-01,43
2022-08-02,65
2022-08-03,50
2022-08-04,62
2022-08-05,30
2022-08-06,46
2022-08-07,45
2022-08-08,60
2022-08-09,58
2022-08-10,69
2022-08-11,49
2022-08-12,35
2022-08-13,0
2022-08-14,0
2022-08-15,32
2022-08-16,49
2022-08-17,66
2022-08-18,79
2022-08-19,40
2022-08-20,53
2022-08-21,0
2022-08-22,57
2022-08-23,57
2022-08-24,53
2022-08-25,40
2022-08-26,42
2022-08-27,0
2022-08-28,0
2022-08-29,75
2022-08-30,44
2022-08-31,64
2022-09-01,65
2022-09-02,42
2022-09-03,0
2022-09-04,0
2022-09-05,0
2022-09-06,58
2022-09-07,91
2022-09-08,48
2022-09-09,37
2022-09-10,0
2022-09-11,0
2022-09-12,53
2022-09-13,51
2022-09-14,49
2022-09-15,55
2022-09-16,38
2022-09-17,0
2022-09-18,0
2022-09-19,63
2022-09-20,51
2022-09-21,37
2022-09-22,63
2022-09-23,59
2022-09-24,0
2022-09-25,0
2022-09-26,55
2022-09-27,51
