Time,silicon valley bank
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,56
2023-12-27,38
2023-12-28,77
2023-12-29,38
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,53
2024-01-03,56
2024-01-04,75
2024-01-05,91
2024-01-06,0
2024-01-07,0
2024-01-08,84
2024-01-09,38
2024-01-10,57
2024-01-11,46
2024-01-12,61
2024-01-13,0
2024-01-14,0
2024-01-15,41
2024-01-16,51
2024-01-17,0
2024-01-18,48
2024-01-19,59
2024-01-20,46
2024-01-21,0
2024-01-22,56
2024-01-23,86
2024-01-24,75
2024-01-25,89
2024-01-26,63
2024-01-27,0
2024-01-28,0
2024-01-29,40
2024-01-30,77
2024-01-31,34
2024-02-01,81
2024-02-02,45
2024-02-03,0
2024-02-04,0
2024-02-05,70
2024-02-06,64
2024-02-07,86
2024-02-08,76
2024-02-09,34
2024-02-10,0
2024-02-11,42
2024-02-12,84
2024-02-13,81
2024-02-14,63
2024-02-15,60
2024-02-16,53
2024-02-17,0
2024-02-18,48
2024-02-19,67
2024-02-20,63
2024-02-21,51
2024-02-22,49
2024-02-23,0
2024-02-24,0
2024-02-25,0
2024-02-26,45
2024-02-27,53
2024-02-28,64
2024-02-29,54
2024-03-01,77
2024-03-02,0
2024-03-03,47
2024-03-04,88
2024-03-05,52
2024-03-06,74
2024-03-07,82
2024-03-08,69
2024-03-09,41
2024-03-10,0
2024-03-11,68
2024-03-12,98
2024-03-13,80
2024-03-14,51
2024-03-15,62
2024-03-16,0
2024-03-17,57
2024-03-18,50
2024-03-19,89
2024-03-20,84
2024-03-21,44
2024-03-22,55
2024-03-23,37
2024-03-24,44
2024-03-25,77
2024-03-26,36
2024-03-27,56
2024-03-28,0
2024-03-29,44
2024-03-30,0
2024-03-31,0
2024-04-01,60
2024-04-02,61
2024-04-03,70
2024-04-04,53
2024-04-05,54
2024-04-06,0
2024-04-07,0
2024-04-08,44
2024-04-09,52
2024-04-10,48
2024-04-11,74
2024-04-12,42
2024-04-13,0
2024-04-14,0
2024-04-15,57
2024-04-16,60
2024-04-17,65
2024-04-18,48
2024-04-19,58
2024-04-20,0
2024-04-21,0
2024-04-22,67
2024-04-23,57
2024-04-24,51
2024-04-25,42
2024-04-26,52
2024-04-27,53
2024-04-28,0
2024-04-29,59
2024-04-30,82
2024-05-01,48
2024-05-02,63
2024-05-03,54
2024-05-04,59
2024-05-05,0
2024-05-06,56
2024-05-07,60
2024-05-08,44
2024-05-09,0
2024-05-10,0
2024-05-11,0
2024-05-12,0
2024-05-13,65
2024-05-14,0
2024-05-15,63
2024-05-16,45
2024-05-17,0
2024-05-18,0
2024-05-19,0
2024-05-20,0
2024-05-21,58
2024-05-22,0
2024-05-23,41
2024-05-24,0
2024-05-25,0
2024-05-26,0
2024-05-27,0
2024-05-28,37
2024-05-29,41
2024-05-30,44
2024-05-31,42
2024-06-01,0
2024-06-02,0
2024-06-03,71
2024-06-04,72
2024-06-05,0
2024-06-06,37
2024-06-07,45
2024-06-08,0
2024-06-09,0
2024-06-10,56
2024-06-11,54
2024-06-12,41
2024-06-13,43
2024-06-14,0
2024-06-15,0
2024-06-16,0
2024-06-17,54
2024-06-18,51
2024-06-19,0
2024-06-20,54
2024-06-21,0
2024-06-22,0
2024-06-23,0
2024-06-24,48
2024-06-25,47
2024-06-26,100
2024-06-27,0
2024-06-28,44
2024-06-29,0
2024-06-30,0
2024-07-01,55
2024-07-02,40
2024-07-03,40
2024-07-04,0
2024-07-05,0
2024-07-06,0
2024-07-07,0
2024-07-08,39
2024-07-09,39
2024-07-10,60
2024-07-11,72
2024-07-12,41
2024-07-13,0
2024-07-14,0
2024-07-15,0
2024-07-16,70
2024-07-17,40
2024-07-18,44
2024-07-19,50
2024-07-20,0
2024-07-21,43
2024-07-22,0
2024-07-23,0
2024-07-24,49
2024-07-25,51
2024-07-26,0
2024-07-27,0
2024-07-28,0
2024-07-29,44
2024-07-30,51
2024-07-31,52
2024-08-01,41
2024-08-02,45
2024-08-03,0
2024-08-04,0
2024-08-05,52
2024-08-06,37
2024-08-07,46
2024-08-08,45
2024-08-09,0
2024-08-10,0
2024-08-11,41
2024-08-12,60
2024-08-13,47
2024-08-14,73
2024-08-15,0
2024-08-16,0
2024-08-17,0
2024-08-18,0
2024-08-19,38
2024-08-20,42
2024-08-21,0
2024-08-22,0
2024-08-23,0
2024-08-24,0
2024-08-25,0
2024-08-26,47
2024-08-27,0
2024-08-28,48
2024-08-29,43
2024-08-30,42
2024-08-31,0
2024-09-01,0
2024-09-02,0
2024-09-03,46
2024-09-04,69
2024-09-05,36
2024-09-06,48
2024-09-07,0
2024-09-08,0
2024-09-09,57
2024-09-10,53
2024-09-11,0
2024-09-12,44
2024-09-13,61
2024-09-14,0
2024-09-15,0
2024-09-16,67
