Time,silicon valley bank
2023-04-26,61
2023-04-27,51
2023-04-28,89
2023-04-29,53
2023-04-30,51
2023-05-01,100
2023-05-02,76
2023-05-03,47
2023-05-04,60
2023-05-05,43
2023-05-06,21
2023-05-07,24
2023-05-08,46
2023-05-09,43
2023-05-10,36
2023-05-11,37
2023-05-12,25
2023-05-13,20
2023-05-14,13
2023-05-15,33
2023-05-16,42
2023-05-17,37
2023-05-18,44
2023-05-19,28
2023-05-20,10
2023-05-21,14
2023-05-22,25
2023-05-23,30
2023-05-24,27
2023-05-25,26
2023-05-26,20
2023-05-27,18
2023-05-28,13
2023-05-29,13
2023-05-30,19
2023-05-31,29
2023-06-01,20
2023-06-02,21
2023-06-03,0
2023-06-04,14
2023-06-05,27
2023-06-06,27
2023-06-07,22
2023-06-08,22
2023-06-09,15
2023-06-10,10
2023-06-11,9
2023-06-12,17
2023-06-13,16
2023-06-14,19
2023-06-15,22
2023-06-16,20
2023-06-17,13
2023-06-18,10
2023-06-19,13
2023-06-20,22
2023-06-21,18
2023-06-22,22
2023-06-23,22
2023-06-24,14
2023-06-25,12
2023-06-26,17
2023-06-27,22
2023-06-28,17
2023-06-29,10
2023-06-30,8
2023-07-01,8
2023-07-02,10
2023-07-03,9
2023-07-04,0
2023-07-05,12
2023-07-06,20
2023-07-07,14
2023-07-08,8
2023-07-09,8
2023-07-10,15
2023-07-11,18
2023-07-12,14
2023-07-13,20
2023-07-14,17
2023-07-15,8
2023-07-16,7
2023-07-17,14
2023-07-18,17
2023-07-19,11
2023-07-20,15
2023-07-21,16
2023-07-22,7
2023-07-23,8
2023-07-24,14
2023-07-25,17
2023-07-26,17
2023-07-27,16
2023-07-28,12
2023-07-29,0
2023-07-30,13
2023-07-31,17
2023-08-01,16
2023-08-02,12
2023-08-03,11
2023-08-04,12
2023-08-05,7
2023-08-06,0
2023-08-07,14
2023-08-08,14
2023-08-09,16
2023-08-10,15
2023-08-11,9
2023-08-12,10
2023-08-13,0
2023-08-14,10
2023-08-15,12
2023-08-16,0
2023-08-17,14
2023-08-18,10
2023-08-19,0
2023-08-20,0
2023-08-21,16
2023-08-22,15
2023-08-23,16
2023-08-24,12
2023-08-25,13
2023-08-26,0
2023-08-27,0
2023-08-28,14
2023-08-29,17
2023-08-30,11
2023-08-31,16
2023-09-01,10
2023-09-02,0
2023-09-03,7
2023-09-04,12
2023-09-05,13
2023-09-06,16
2023-09-07,14
2023-09-08,10
2023-09-09,0
2023-09-10,0
2023-09-11,12
2023-09-12,16
2023-09-13,17
2023-09-14,16
2023-09-15,9
2023-09-16,9
2023-09-17,0
2023-09-18,11
2023-09-19,14
2023-09-20,16
2023-09-21,13
2023-09-22,12
2023-09-23,7
2023-09-24,9
2023-09-25,13
2023-09-26,17
2023-09-27,10
2023-09-28,14
2023-09-29,0
2023-09-30,0
2023-10-01,10
2023-10-02,18
2023-10-03,15
2023-10-04,11
2023-10-05,13
2023-10-06,10
2023-10-07,7
2023-10-08,0
2023-10-09,8
2023-10-10,16
2023-10-11,14
2023-10-12,11
2023-10-13,10
2023-10-14,7
2023-10-15,0
2023-10-16,16
2023-10-17,15
2023-10-18,12
2023-10-19,18
2023-10-20,14
2023-10-21,0
2023-10-22,0
2023-10-23,20
2023-10-24,12
2023-10-25,9
2023-10-26,16
2023-10-27,10
2023-10-28,11
2023-10-29,0
2023-10-30,17
2023-10-31,14
2023-11-01,16
2023-11-02,11
2023-11-03,17
2023-11-04,0
2023-11-05,13
2023-11-06,15
2023-11-07,12
2023-11-08,18
2023-11-09,12
2023-11-10,10
2023-11-11,0
2023-11-12,0
2023-11-13,10
2023-11-14,15
2023-11-15,13
2023-11-16,11
2023-11-17,15
2023-11-18,0
2023-11-19,0
2023-11-20,13
2023-11-21,13
2023-11-22,14
2023-11-23,0
2023-11-24,0
2023-11-25,0
2023-11-26,0
2023-11-27,17
2023-11-28,15
2023-11-29,13
2023-11-30,14
2023-12-01,11
2023-12-02,0
2023-12-03,7
2023-12-04,15
2023-12-05,14
2023-12-06,12
2023-12-07,11
2023-12-08,14
2023-12-09,8
2023-12-10,0
2023-12-11,12
2023-12-12,17
2023-12-13,15
2023-12-14,11
2023-12-15,10
2023-12-16,0
2023-12-17,0
2023-12-18,11
2023-12-19,12
2023-12-20,10
2023-12-21,17
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,11
2023-12-27,8
2023-12-28,15
2023-12-29,8
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,10
2024-01-03,11
2024-01-04,15
2024-01-05,18
2024-01-06,0
2024-01-07,0
2024-01-08,17
2024-01-09,8
2024-01-10,11
2024-01-11,9
2024-01-12,12
2024-01-13,0
2024-01-14,0
2024-01-15,8
2024-01-16,10
2024-01-17,0
2024-01-18,10
2024-01-19,12
2024-01-20,9
