Time,adam sandler
2023-12-22,38
2023-12-23,41
2023-12-24,51
2023-12-25,55
2023-12-26,41
2023-12-27,38
2023-12-28,36
2023-12-29,44
2023-12-30,52
2023-12-31,41
2024-01-01,52
2024-01-02,32
2024-01-03,30
2024-01-04,33
2024-01-05,34
2024-01-06,43
2024-01-07,43
2024-01-08,28
2024-01-09,27
2024-01-10,25
2024-01-11,31
2024-01-12,29
2024-01-13,34
2024-01-14,43
2024-01-15,33
2024-01-16,35
2024-01-17,44
2024-01-18,36
2024-01-19,47
2024-01-20,52
2024-01-21,39
2024-01-22,31
2024-01-23,31
2024-01-24,30
2024-01-25,28
2024-01-26,25
2024-01-27,36
2024-01-28,37
2024-01-29,25
2024-01-30,25
2024-01-31,27
2024-02-01,29
2024-02-02,32
2024-02-03,45
2024-02-04,48
2024-02-05,29
2024-02-06,24
2024-02-07,27
2024-02-08,27
2024-02-09,29
2024-02-10,36
2024-02-11,42
2024-02-12,28
2024-02-13,29
2024-02-14,28
2024-02-15,33
2024-02-16,30
2024-02-17,40
2024-02-18,43
2024-02-19,100
2024-02-20,45
2024-02-21,34
2024-02-22,35
2024-02-23,30
2024-02-24,41
2024-02-25,49
2024-02-26,32
2024-02-27,37
2024-02-28,41
2024-02-29,37
2024-03-01,43
2024-03-02,80
2024-03-03,92
2024-03-04,64
2024-03-05,53
2024-03-06,63
2024-03-07,58
2024-03-08,48
2024-03-09,55
2024-03-10,64
2024-03-11,38
2024-03-12,37
2024-03-13,60
2024-03-14,59
2024-03-15,56
2024-03-16,67
2024-03-17,58
2024-03-18,36
2024-03-19,35
2024-03-20,33
2024-03-21,31
2024-03-22,38
2024-03-23,64
2024-03-24,98
2024-03-25,39
2024-03-26,54
2024-03-27,71
2024-03-28,51
2024-03-29,33
2024-03-30,38
2024-03-31,43
2024-04-01,32
2024-04-02,31
2024-04-03,37
2024-04-04,35
2024-04-05,34
2024-04-06,58
2024-04-07,56
2024-04-08,40
2024-04-09,33
2024-04-10,38
2024-04-11,40
2024-04-12,34
2024-04-13,43
2024-04-14,42
2024-04-15,33
2024-04-16,30
2024-04-17,30
2024-04-18,32
2024-04-19,36
2024-04-20,50
2024-04-21,55
2024-04-22,37
2024-04-23,34
2024-04-24,35
2024-04-25,34
2024-04-26,36
2024-04-27,39
2024-04-28,54
2024-04-29,36
2024-04-30,34
2024-05-01,33
2024-05-02,35
2024-05-03,39
2024-05-04,46
2024-05-05,50
2024-05-06,40
2024-05-07,32
2024-05-08,31
2024-05-09,34
2024-05-10,31
2024-05-11,39
2024-05-12,47
2024-05-13,38
2024-05-14,34
2024-05-15,32
2024-05-16,41
2024-05-17,48
2024-05-18,45
2024-05-19,51
2024-05-20,33
2024-05-21,27
2024-05-22,30
2024-05-23,28
2024-05-24,32
2024-05-25,38
2024-05-26,44
2024-05-27,43
2024-05-28,34
2024-05-29,31
2024-05-30,27
2024-05-31,31
2024-06-01,40
2024-06-02,49
2024-06-03,31
2024-06-04,30
2024-06-05,30
2024-06-06,32
2024-06-07,33
2024-06-08,44
2024-06-09,40
2024-06-10,28
2024-06-11,26
2024-06-12,27
2024-06-13,27
2024-06-14,28
2024-06-15,37
2024-06-16,43
2024-06-17,33
2024-06-18,31
2024-06-19,31
2024-06-20,30
2024-06-21,28
2024-06-22,33
2024-06-23,39
2024-06-24,30
2024-06-25,27
2024-06-26,26
2024-06-27,29
2024-06-28,27
2024-06-29,38
2024-06-30,40
2024-07-01,27
2024-07-02,25
2024-07-03,27
2024-07-04,38
2024-07-05,33
2024-07-06,42
2024-07-07,42
2024-07-08,30
2024-07-09,27
2024-07-10,26
2024-07-11,26
2024-07-12,32
2024-07-13,36
2024-07-14,40
2024-07-15,31
2024-07-16,28
2024-07-17,33
2024-07-18,33
2024-07-19,26
2024-07-20,34
2024-07-21,34
2024-07-22,26
2024-07-23,24
2024-07-24,24
2024-07-25,28
2024-07-26,30
2024-07-27,34
2024-07-28,38
2024-07-29,25
2024-07-30,27
2024-07-31,24
2024-08-01,22
2024-08-02,28
2024-08-03,34
2024-08-04,39
2024-08-05,26
2024-08-06,29
2024-08-07,29
2024-08-08,31
2024-08-09,32
2024-08-10,36
2024-08-11,45
2024-08-12,37
2024-08-13,56
2024-08-14,70
2024-08-15,67
2024-08-16,59
2024-08-17,56
2024-08-18,59
2024-08-19,48
2024-08-20,45
2024-08-21,56
2024-08-22,50
2024-08-23,48
2024-08-24,56
2024-08-25,67
2024-08-26,66
2024-08-27,63
2024-08-28,78
2024-08-29,71
2024-08-30,65
2024-08-31,74
2024-09-01,73
2024-09-02,74
2024-09-03,59
2024-09-04,41
2024-09-05,35
2024-09-06,34
2024-09-07,41
2024-09-08,44
2024-09-09,45
2024-09-10,57
2024-09-11,56
2024-09-12,41
2024-09-13,47
2024-09-14,47
2024-09-15,46
2024-09-16,47
