Time,electoral map
2023-12-22,6
2023-12-23,5
2023-12-24,4
2023-12-25,6
2023-12-26,6
2023-12-27,4
2023-12-28,5
2023-12-29,24
2023-12-30,4
2023-12-31,4
2024-01-01,5
2024-01-02,5
2024-01-03,7
2024-01-04,6
2024-01-05,7
2024-01-06,8
2024-01-07,4
2024-01-08,7
2024-01-09,7
2024-01-10,9
2024-01-11,8
2024-01-12,7
2024-01-13,4
2024-01-14,6
2024-01-15,5
2024-01-16,14
2024-01-17,11
2024-01-18,8
2024-01-19,7
2024-01-20,7
2024-01-21,8
2024-01-22,9
2024-01-23,12
2024-01-24,20
2024-01-25,9
2024-01-26,9
2024-01-27,7
2024-01-28,9
2024-01-29,9
2024-01-30,9
2024-01-31,9
2024-02-01,12
2024-02-02,12
2024-02-03,6
2024-02-04,10
2024-02-05,12
2024-02-06,11
2024-02-07,9
2024-02-08,10
2024-02-09,9
2024-02-10,6
2024-02-11,5
2024-02-12,9
2024-02-13,6
2024-02-14,8
2024-02-15,8
2024-02-16,6
2024-02-17,5
2024-02-18,6
2024-02-19,7
2024-02-20,8
2024-02-21,10
2024-02-22,9
2024-02-23,8
2024-02-24,7
2024-02-25,8
2024-02-26,11
2024-02-27,12
2024-02-28,12
2024-02-29,11
2024-03-01,8
2024-03-02,6
2024-03-03,9
2024-03-04,11
2024-03-05,14
2024-03-06,27
2024-03-07,11
2024-03-08,12
2024-03-09,7
2024-03-10,9
2024-03-11,8
2024-03-12,11
2024-03-13,11
2024-03-14,11
2024-03-15,12
2024-03-16,8
2024-03-17,8
2024-03-18,11
2024-03-19,11
2024-03-20,10
2024-03-21,6
2024-03-22,10
2024-03-23,7
2024-03-24,6
2024-03-25,6
2024-03-26,11
2024-03-27,13
2024-03-28,9
2024-03-29,6
2024-03-30,6
2024-03-31,5
2024-04-01,9
2024-04-02,7
2024-04-03,11
2024-04-04,9
2024-04-05,9
2024-04-06,5
2024-04-07,5
2024-04-08,8
2024-04-09,10
2024-04-10,13
2024-04-11,11
2024-04-12,7
2024-04-13,8
2024-04-14,8
2024-04-15,11
2024-04-16,11
2024-04-17,9
2024-04-18,9
2024-04-19,10
2024-04-20,9
2024-04-21,3
2024-04-22,8
2024-04-23,9
2024-04-24,11
2024-04-25,12
2024-04-26,7
2024-04-27,5
2024-04-28,5
2024-04-29,7
2024-04-30,10
2024-05-01,9
2024-05-02,7
2024-05-03,10
2024-05-04,4
2024-05-05,6
2024-05-06,9
2024-05-07,8
2024-05-08,8
2024-05-09,9
2024-05-10,5
2024-05-11,6
2024-05-12,8
2024-05-13,17
2024-05-14,12
2024-05-15,13
2024-05-16,12
2024-05-17,8
2024-05-18,5
2024-05-19,6
2024-05-20,8
2024-05-21,8
2024-05-22,9
2024-05-23,8
2024-05-24,9
2024-05-25,8
2024-05-26,8
2024-05-27,7
2024-05-28,8
2024-05-29,7
2024-05-30,10
2024-05-31,10
2024-06-01,6
2024-06-02,9
2024-06-03,9
2024-06-04,10
2024-06-05,10
2024-06-06,9
2024-06-07,9
2024-06-08,9
2024-06-09,10
2024-06-10,9
2024-06-11,7
2024-06-12,8
2024-06-13,9
2024-06-14,6
2024-06-15,7
2024-06-16,10
2024-06-17,9
2024-06-18,9
2024-06-19,9
2024-06-20,8
2024-06-21,8
2024-06-22,6
2024-06-23,6
2024-06-24,6
2024-06-25,9
2024-06-26,8
2024-06-27,10
2024-06-28,25
2024-06-29,16
2024-06-30,17
2024-07-01,16
2024-07-02,19
2024-07-03,21
2024-07-04,17
2024-07-05,16
2024-07-06,16
2024-07-07,19
2024-07-08,17
2024-07-09,13
2024-07-10,16
2024-07-11,16
2024-07-12,15
2024-07-13,17
2024-07-14,40
2024-07-15,46
2024-07-16,50
2024-07-17,47
2024-07-18,40
2024-07-19,39
2024-07-20,25
2024-07-21,61
2024-07-22,75
2024-07-23,71
2024-07-24,55
2024-07-25,56
2024-07-26,47
2024-07-27,43
2024-07-28,38
2024-07-29,38
2024-07-30,52
2024-07-31,62
2024-08-01,47
2024-08-02,46
2024-08-03,45
2024-08-04,49
2024-08-05,41
2024-08-06,100
2024-08-07,85
2024-08-08,68
2024-08-09,63
2024-08-10,69
2024-08-11,60
2024-08-12,57
2024-08-13,56
2024-08-14,60
2024-08-15,51
2024-08-16,49
2024-08-17,61
2024-08-18,56
2024-08-19,43
2024-08-20,52
2024-08-21,65
2024-08-22,54
2024-08-23,67
2024-08-24,52
2024-08-25,48
2024-08-26,51
2024-08-27,51
2024-08-28,47
2024-08-29,50
2024-08-30,34
2024-08-31,40
2024-09-01,37
2024-09-02,37
2024-09-03,46
2024-09-04,60
2024-09-05,48
2024-09-06,41
2024-09-07,31
2024-09-08,33
2024-09-09,43
2024-09-10,40
2024-09-11,68
2024-09-12,60
2024-09-13,60
2024-09-14,49
2024-09-15,39
2024-09-16,51
