Time,electoral map
2023-04-26,19
2023-04-27,13
2023-04-28,16
2023-04-29,0
2023-04-30,15
2023-05-01,20
2023-05-02,25
2023-05-03,19
2023-05-04,22
2023-05-05,15
2023-05-06,0
2023-05-07,10
2023-05-08,12
2023-05-09,16
2023-05-10,11
2023-05-11,14
2023-05-12,16
2023-05-13,14
2023-05-14,10
2023-05-15,16
2023-05-16,10
2023-05-17,12
2023-05-18,16
2023-05-19,14
2023-05-20,0
2023-05-21,11
2023-05-22,7
2023-05-23,17
2023-05-24,14
2023-05-25,21
2023-05-26,8
2023-05-27,0
2023-05-28,0
2023-05-29,11
2023-05-30,16
2023-05-31,11
2023-06-01,7
2023-06-02,8
2023-06-03,8
2023-06-04,0
2023-06-05,12
2023-06-06,9
2023-06-07,12
2023-06-08,14
2023-06-09,15
2023-06-10,11
2023-06-11,12
2023-06-12,11
2023-06-13,0
2023-06-14,13
2023-06-15,9
2023-06-16,9
2023-06-17,0
2023-06-18,0
2023-06-19,11
2023-06-20,8
2023-06-21,0
2023-06-22,0
2023-06-23,0
2023-06-24,0
2023-06-25,14
2023-06-26,11
2023-06-27,10
2023-06-28,12
2023-06-29,13
2023-06-30,14
2023-07-01,11
2023-07-02,0
2023-07-03,11
2023-07-04,0
2023-07-05,10
2023-07-06,0
2023-07-07,11
2023-07-08,12
2023-07-09,0
2023-07-10,0
2023-07-11,13
2023-07-12,0
2023-07-13,9
2023-07-14,9
2023-07-15,10
2023-07-16,12
2023-07-17,10
2023-07-18,16
2023-07-19,10
2023-07-20,14
2023-07-21,10
2023-07-22,0
2023-07-23,22
2023-07-24,18
2023-07-25,19
2023-07-26,13
2023-07-27,12
2023-07-28,14
2023-07-29,15
2023-07-30,0
2023-07-31,13
2023-08-01,18
2023-08-02,14
2023-08-03,19
2023-08-04,12
2023-08-05,10
2023-08-06,9
2023-08-07,11
2023-08-08,0
2023-08-09,13
2023-08-10,10
2023-08-11,12
2023-08-12,18
2023-08-13,11
2023-08-14,10
2023-08-15,10
2023-08-16,13
2023-08-17,48
2023-08-18,17
2023-08-19,14
2023-08-20,11
2023-08-21,16
2023-08-22,19
2023-08-23,18
2023-08-24,18
2023-08-25,18
2023-08-26,0
2023-08-27,16
2023-08-28,15
2023-08-29,14
2023-08-30,18
2023-08-31,15
2023-09-01,14
2023-09-02,9
2023-09-03,17
2023-09-04,10
2023-09-05,16
2023-09-06,14
2023-09-07,16
2023-09-08,14
2023-09-09,14
2023-09-10,21
2023-09-11,15
2023-09-12,21
2023-09-13,10
2023-09-14,11
2023-09-15,20
2023-09-16,18
2023-09-17,17
2023-09-18,21
2023-09-19,13
2023-09-20,17
2023-09-21,17
2023-09-22,18
2023-09-23,0
2023-09-24,10
2023-09-25,16
2023-09-26,16
2023-09-27,22
2023-09-28,18
2023-09-29,18
2023-09-30,15
2023-10-01,13
2023-10-02,24
2023-10-03,17
2023-10-04,32
2023-10-05,21
2023-10-06,17
2023-10-07,0
2023-10-08,0
2023-10-09,14
2023-10-10,16
2023-10-11,18
2023-10-12,24
2023-10-13,16
2023-10-14,9
2023-10-15,16
2023-10-16,22
2023-10-17,23
2023-10-18,19
2023-10-19,23
2023-10-20,22
2023-10-21,10
2023-10-22,14
2023-10-23,25
2023-10-24,18
2023-10-25,25
2023-10-26,17
2023-10-27,27
2023-10-28,0
2023-10-29,0
2023-10-30,22
2023-10-31,23
2023-11-01,21
2023-11-02,25
2023-11-03,16
2023-11-04,11
2023-11-05,15
2023-11-06,30
2023-11-07,38
2023-11-08,41
2023-11-09,43
2023-11-10,21
2023-11-11,13
2023-11-12,17
2023-11-13,30
2023-11-14,29
2023-11-15,12
2023-11-16,25
2023-11-17,15
2023-11-18,10
2023-11-19,13
2023-11-20,21
2023-11-21,22
2023-11-22,12
2023-11-23,13
2023-11-24,10
2023-11-25,11
2023-11-26,0
2023-11-27,22
2023-11-28,20
2023-11-29,25
2023-11-30,28
2023-12-01,31
2023-12-02,9
2023-12-03,9
2023-12-04,22
2023-12-05,24
2023-12-06,30
2023-12-07,21
2023-12-08,28
2023-12-09,13
2023-12-10,11
2023-12-11,24
2023-12-12,19
2023-12-13,21
2023-12-14,22
2023-12-15,20
2023-12-16,19
2023-12-17,0
2023-12-18,19
2023-12-19,28
2023-12-20,100
2023-12-21,29
2023-12-22,17
2023-12-23,17
2023-12-24,13
2023-12-25,19
2023-12-26,18
2023-12-27,12
2023-12-28,15
2023-12-29,75
2023-12-30,14
2023-12-31,14
2024-01-01,14
2024-01-02,16
2024-01-03,21
2024-01-04,18
2024-01-05,21
2024-01-06,24
2024-01-07,13
2024-01-08,22
2024-01-09,23
2024-01-10,28
2024-01-11,25
2024-01-12,22
2024-01-13,13
2024-01-14,20
2024-01-15,17
2024-01-16,44
2024-01-17,34
2024-01-18,25
2024-01-19,23
2024-01-20,23
