Time,electoral map
2022-01-01,0
2022-01-02,45
2022-01-03,0
2022-01-04,0
2022-01-05,75
2022-01-06,48
2022-01-07,43
2022-01-08,0
2022-01-09,36
2022-01-10,41
2022-01-11,61
2022-01-12,51
2022-01-13,45
2022-01-14,0
2022-01-15,0
2022-01-16,0
2022-01-17,33
2022-01-18,39
2022-01-19,0
2022-01-20,62
2022-01-21,82
2022-01-22,38
2022-01-23,0
2022-01-24,38
2022-01-25,37
2022-01-26,42
2022-01-27,39
2022-01-28,46
2022-01-29,32
2022-01-30,30
2022-01-31,35
2022-02-01,48
2022-02-02,37
2022-02-03,27
2022-02-04,0
2022-02-05,45
2022-02-06,38
2022-02-07,37
2022-02-08,38
2022-02-09,46
2022-02-10,51
2022-02-11,46
2022-02-12,34
2022-02-13,46
2022-02-14,0
2022-02-15,25
2022-02-16,25
2022-02-17,36
2022-02-18,46
2022-02-19,34
2022-02-20,24
2022-02-21,0
2022-02-22,32
2022-02-23,35
2022-02-24,39
2022-02-25,29
2022-02-26,24
2022-02-27,0
2022-02-28,33
2022-03-01,30
2022-03-02,31
2022-03-03,49
2022-03-04,26
2022-03-05,0
2022-03-06,0
2022-03-07,41
2022-03-08,38
2022-03-09,37
2022-03-10,39
2022-03-11,46
2022-03-12,0
2022-03-13,0
2022-03-14,35
2022-03-15,31
2022-03-16,31
2022-03-17,0
2022-03-18,36
2022-03-19,26
2022-03-20,30
2022-03-21,31
2022-03-22,21
2022-03-23,33
2022-03-24,44
2022-03-25,43
2022-03-26,31
2022-03-27,24
2022-03-28,47
2022-03-29,53
2022-03-30,33
2022-03-31,50
2022-04-01,48
2022-04-02,32
2022-04-03,31
2022-04-04,38
2022-04-05,49
2022-04-06,66
2022-04-07,52
2022-04-08,35
2022-04-09,23
2022-04-10,32
2022-04-11,45
2022-04-12,45
2022-04-13,50
2022-04-14,48
2022-04-15,35
2022-04-16,0
2022-04-17,26
2022-04-18,43
2022-04-19,46
2022-04-20,39
2022-04-21,46
2022-04-22,44
2022-04-23,24
2022-04-24,39
2022-04-25,46
2022-04-26,41
2022-04-27,41
2022-04-28,43
2022-04-29,40
2022-04-30,0
2022-05-01,32
2022-05-02,41
2022-05-03,48
2022-05-04,52
2022-05-05,48
2022-05-06,38
2022-05-07,33
2022-05-08,39
2022-05-09,64
2022-05-10,47
2022-05-11,62
2022-05-12,35
2022-05-13,34
2022-05-14,0
2022-05-15,27
2022-05-16,59
2022-05-17,46
2022-05-18,78
2022-05-19,40
2022-05-20,38
2022-05-21,23
2022-05-22,24
2022-05-23,44
2022-05-24,56
2022-05-25,34
2022-05-26,50
2022-05-27,33
2022-05-28,23
2022-05-29,33
2022-05-30,0
2022-05-31,42
2022-06-01,23
2022-06-02,35
2022-06-03,37
2022-06-04,0
2022-06-05,23
2022-06-06,26
2022-06-07,27
2022-06-08,20
2022-06-09,39
2022-06-10,35
2022-06-11,36
2022-06-12,34
2022-06-13,24
2022-06-14,100
2022-06-15,94
2022-06-16,30
2022-06-17,28
2022-06-18,32
2022-06-19,27
2022-06-20,39
2022-06-21,42
2022-06-22,36
2022-06-23,34
2022-06-24,53
2022-06-25,63
2022-06-26,36
2022-06-27,65
2022-06-28,62
2022-06-29,55
2022-06-30,54
2022-07-01,27
2022-07-02,32
2022-07-03,34
2022-07-04,43
2022-07-05,44
2022-07-06,30
2022-07-07,34
2022-07-08,33
2022-07-09,33
2022-07-10,54
2022-07-11,35
2022-07-12,25
2022-07-13,44
2022-07-14,36
2022-07-15,31
2022-07-16,26
2022-07-17,26
2022-07-18,27
2022-07-19,23
2022-07-20,28
2022-07-21,24
2022-07-22,38
2022-07-23,31
2022-07-24,27
2022-07-25,25
2022-07-26,29
2022-07-27,37
2022-07-28,26
2022-07-29,33
2022-07-30,27
2022-07-31,0
2022-08-01,0
2022-08-02,48
2022-08-03,55
2022-08-04,37
2022-08-05,0
2022-08-06,0
2022-08-07,24
2022-08-08,27
2022-08-09,35
2022-08-10,30
2022-08-11,23
2022-08-12,24
2022-08-13,25
2022-08-14,23
2022-08-15,0
2022-08-16,24
2022-08-17,48
2022-08-18,39
2022-08-19,28
2022-08-20,38
2022-08-21,0
2022-08-22,33
2022-08-23,28
2022-08-24,30
2022-08-25,51
2022-08-26,36
2022-08-27,26
2022-08-28,27
2022-08-29,37
2022-08-30,32
2022-08-31,34
2022-09-01,45
2022-09-02,0
2022-09-03,22
2022-09-04,36
2022-09-05,24
2022-09-06,34
2022-09-07,36
2022-09-08,36
2022-09-09,30
2022-09-10,0
2022-09-11,29
2022-09-12,39
2022-09-13,44
2022-09-14,47
2022-09-15,49
2022-09-16,43
2022-09-17,0
2022-09-18,0
2022-09-19,29
2022-09-20,49
2022-09-21,57
2022-09-22,44
2022-09-23,34
2022-09-24,0
2022-09-25,36
2022-09-26,49
2022-09-27,66
