Time,taco bell
2025-12-11,39
2025-12-12,49
2025-12-13,57
2025-12-14,57
2025-12-15,41
2025-12-16,40
2025-12-17,49
2025-12-18,59
2025-12-19,62
2025-12-20,76
2025-12-21,73
2025-12-22,61
2025-12-23,59
2025-12-24,75
2025-12-25,87
2025-12-26,65
2025-12-27,62
2025-12-28,66
2025-12-29,62
2025-12-30,64
2025-12-31,65
2026-01-01,100
2026-01-02,70
2026-01-03,65
2026-01-04,63
2026-01-05,48
2026-01-06,47
2026-01-07,49
2026-01-08,48
2026-01-09,54
2026-01-10,61
2026-01-11,64
2026-01-12,45
2026-01-13,48
2026-01-14,48
2026-01-15,49
2026-01-16,54
2026-01-17,65
2026-01-18,64
2026-01-19,55
2026-01-20,50
2026-01-21,48
2026-01-22,50
2026-01-23,55
2026-01-24,59
2026-01-25,56
2026-01-26,50
2026-01-27,49
2026-01-28,49
2026-01-29,48
2026-01-30,51
2026-01-31,60
2026-02-01,61
2026-02-02,42
2026-02-03,44
2026-02-04,43
2026-02-05,45
2026-02-06,47
2026-02-07,56
2026-02-08,56
2026-02-09,31
2026-02-10,36
2026-02-11,42
2026-02-12,42
2026-02-13,45
2026-02-14,52
2026-02-15,52
2026-02-16,47
2026-02-17,39
2026-02-18,41
2026-02-19,45
2026-02-20,46
2026-02-21,56
2026-02-22,53
2026-02-23,43
2026-02-24,46
2026-02-25,46
2026-02-26,44
2026-02-27,48
2026-02-28,66
2026-03-01,62
2026-03-02,44
2026-03-03,42
2026-03-04,48
2026-03-05,49
2026-03-06,50
2026-03-07,61
2026-03-08,61
2026-03-09,43
2026-03-10,46
2026-03-11,49
2026-03-12,51
2026-03-13,50
2026-03-14,62
2026-03-15,62
2026-03-16,48
2026-03-17,44
2026-03-18,49
2026-03-19,51
2026-03-20,52
2026-03-21,65
2026-03-22,67
2026-03-23,45
2026-03-24,48
2026-03-25,69
2026-03-26,62
2026-03-27,85
2026-03-28,89
2026-03-29,92
2026-03-30,78
2026-03-31,53
2026-04-01,49
2026-04-02,48
2026-04-03,56
2026-04-04,58
2026-04-05,68
2026-04-06,53
2026-04-07,50
2026-04-08,46
2026-04-09,48
2026-04-10,50
2026-04-11,60
2026-04-12,59
2026-04-13,40
2026-04-14,45
2026-04-15,48
2026-04-16,50
2026-04-17,52
2026-04-18,59
2026-04-19,63
2026-04-20,47
2026-04-21,45
2026-04-22,48
2026-04-23,47
2026-04-24,49
2026-04-25,61
2026-04-26,60
2026-04-27,42
2026-04-28,43
2026-04-29,47
2026-04-30,46
2026-05-01,50
2026-05-02,60
2026-05-03,61
2026-05-04,44
2026-05-05,56
2026-05-06,50
2026-05-07,41
2026-05-08,49
2026-05-09,56
2026-05-10,56
2026-05-11,40
2026-05-12,45
2026-05-13,47
2026-05-14,48
2026-05-15,50
2026-05-16,61
2026-05-17,60
2026-05-18,44
2026-05-19,44
2026-05-20,52
2026-05-21,53
2026-05-22,55
2026-05-23,62
2026-05-24,61
2026-05-25,61
2026-05-26,48
2026-05-27,49
2026-05-28,50
2026-05-29,52
2026-05-30,63
2026-05-31,56
