Time,dunkin donuts
2022-01-01,86
2022-01-02,52
2022-01-03,41
2022-01-04,44
2022-01-05,44
2022-01-06,39
2022-01-07,43
2022-01-08,55
2022-01-09,52
2022-01-10,38
2022-01-11,39
2022-01-12,42
2022-01-13,35
2022-01-14,40
2022-01-15,55
2022-01-16,49
2022-01-17,43
2022-01-18,38
2022-01-19,38
2022-01-20,40
2022-01-21,46
2022-01-22,58
2022-01-23,53
2022-01-24,47
2022-01-25,37
2022-01-26,37
2022-01-27,40
2022-01-28,47
2022-01-29,67
2022-01-30,56
2022-01-31,41
2022-02-01,40
2022-02-02,44
2022-02-03,44
2022-02-04,45
2022-02-05,57
2022-02-06,55
2022-02-07,41
2022-02-08,46
2022-02-09,42
2022-02-10,42
2022-02-11,48
2022-02-12,61
2022-02-13,61
2022-02-14,58
2022-02-15,41
2022-02-16,39
2022-02-17,41
2022-02-18,45
2022-02-19,52
2022-02-20,54
2022-02-21,46
2022-02-22,39
2022-02-23,44
2022-02-24,38
2022-02-25,44
2022-02-26,52
2022-02-27,55
2022-02-28,38
2022-03-01,41
2022-03-02,37
2022-03-03,43
2022-03-04,47
2022-03-05,53
2022-03-06,58
2022-03-07,44
2022-03-08,41
2022-03-09,41
2022-03-10,44
2022-03-11,45
2022-03-12,54
2022-03-13,55
2022-03-14,49
2022-03-15,43
2022-03-16,42
2022-03-17,47
2022-03-18,45
2022-03-19,52
2022-03-20,54
2022-03-21,44
2022-03-22,42
2022-03-23,39
2022-03-24,41
2022-03-25,41
2022-03-26,56
2022-03-27,51
2022-03-28,34
2022-03-29,34
2022-03-30,41
2022-03-31,40
2022-04-01,42
2022-04-02,56
2022-04-03,53
2022-04-04,34
2022-04-05,37
2022-04-06,37
2022-04-07,38
2022-04-08,42
2022-04-09,54
2022-04-10,53
2022-04-11,39
2022-04-12,40
2022-04-13,43
2022-04-14,43
2022-04-15,45
2022-04-16,54
2022-04-17,100
2022-04-18,40
2022-04-19,37
2022-04-20,38
2022-04-21,39
2022-04-22,40
2022-04-23,50
2022-04-24,56
2022-04-25,40
2022-04-26,36
2022-04-27,38
2022-04-28,41
2022-04-29,43
2022-04-30,60
2022-05-01,56
2022-05-02,42
2022-05-03,41
2022-05-04,41
2022-05-05,42
2022-05-06,48
2022-05-07,54
2022-05-08,68
2022-05-09,38
2022-05-10,43
2022-05-11,39
2022-05-12,44
2022-05-13,46
2022-05-14,59
2022-05-15,61
2022-05-16,40
2022-05-17,42
2022-05-18,45
2022-05-19,44
2022-05-20,46
2022-05-21,63
2022-05-22,59
2022-05-23,40
2022-05-24,40
2022-05-25,44
2022-05-26,44
2022-05-27,49
2022-05-28,56
2022-05-29,58
2022-05-30,70
2022-05-31,44
2022-06-01,43
2022-06-02,45
2022-06-03,94
2022-06-04,64
2022-06-05,54
2022-06-06,42
2022-06-07,44
2022-06-08,46
2022-06-09,43
2022-06-10,48
2022-06-11,52
2022-06-12,58
2022-06-13,43
2022-06-14,45
2022-06-15,44
2022-06-16,46
2022-06-17,47
2022-06-18,59
2022-06-19,63
2022-06-20,46
2022-06-21,47
2022-06-22,50
2022-06-23,48
2022-06-24,48
2022-06-25,58
2022-06-26,60
2022-06-27,47
2022-06-28,46
2022-06-29,47
2022-06-30,49
2022-07-01,51
2022-07-02,57
2022-07-03,58
2022-07-04,78
2022-07-05,45
2022-07-06,43
2022-07-07,48
2022-07-08,50
2022-07-09,57
2022-07-10,59
2022-07-11,43
2022-07-12,43
2022-07-13,46
2022-07-14,48
2022-07-15,47
2022-07-16,59
2022-07-17,56
2022-07-18,44
2022-07-19,46
2022-07-20,48
2022-07-21,48
2022-07-22,49
2022-07-23,59
2022-07-24,59
2022-07-25,48
2022-07-26,46
2022-07-27,46
2022-07-28,45
2022-07-29,54
2022-07-30,53
2022-07-31,59
2022-08-01,44
2022-08-02,43
2022-08-03,46
2022-08-04,47
2022-08-05,48
2022-08-06,52
2022-08-07,57
2022-08-08,44
2022-08-09,43
2022-08-10,47
2022-08-11,46
2022-08-12,49
2022-08-13,58
2022-08-14,63
2022-08-15,46
2022-08-16,44
2022-08-17,51
2022-08-18,51
2022-08-19,54
2022-08-20,64
2022-08-21,58
2022-08-22,42
2022-08-23,49
2022-08-24,46
2022-08-25,45
2022-08-26,49
2022-08-27,59
2022-08-28,58
2022-08-29,41
2022-08-30,43
2022-08-31,47
2022-09-01,49
2022-09-02,50
2022-09-03,58
2022-09-04,61
2022-09-05,69
2022-09-06,40
2022-09-07,40
2022-09-08,39
2022-09-09,47
2022-09-10,56
2022-09-11,54
2022-09-12,41
2022-09-13,40
2022-09-14,43
2022-09-15,40
2022-09-16,45
2022-09-17,59
2022-09-18,55
2022-09-19,37
2022-09-20,38
2022-09-21,38
2022-09-22,45
2022-09-23,42
2022-09-24,56
2022-09-25,60
2022-09-26,37
2022-09-27,41
