Time,march madness bracket
2023-04-26,56
2023-04-27,49
2023-04-28,71
2023-04-29,36
2023-04-30,49
2023-05-01,45
2023-05-02,0
2023-05-03,35
2023-05-04,53
2023-05-05,41
2023-05-06,43
2023-05-07,42
2023-05-08,48
2023-05-09,32
2023-05-10,0
2023-05-11,35
2023-05-12,30
2023-05-13,59
2023-05-14,58
2023-05-15,0
2023-05-16,40
2023-05-17,0
2023-05-18,43
2023-05-19,0
2023-05-20,0
2023-05-21,48
2023-05-22,0
2023-05-23,51
2023-05-24,0
2023-05-25,0
2023-05-26,0
2023-05-27,49
2023-05-28,0
2023-05-29,53
2023-05-30,37
2023-05-31,0
2023-06-01,0
2023-06-02,72
2023-06-03,0
2023-06-04,42
2023-06-05,34
2023-06-06,0
2023-06-07,0
2023-06-08,50
2023-06-09,0
2023-06-10,38
2023-06-11,39
2023-06-12,0
2023-06-13,39
2023-06-14,34
2023-06-15,30
2023-06-16,0
2023-06-17,49
2023-06-18,38
2023-06-19,44
2023-06-20,0
2023-06-21,0
2023-06-22,52
2023-06-23,45
2023-06-24,52
2023-06-25,0
2023-06-26,52
2023-06-27,34
2023-06-28,0
2023-06-29,32
2023-06-30,0
2023-07-01,0
2023-07-02,0
2023-07-03,0
2023-07-04,0
2023-07-05,0
2023-07-06,0
2023-07-07,0
2023-07-08,0
2023-07-09,0
2023-07-10,0
2023-07-11,33
2023-07-12,0
2023-07-13,0
2023-07-14,0
2023-07-15,0
2023-07-16,36
2023-07-17,0
2023-07-18,0
2023-07-19,0
2023-07-20,0
2023-07-21,0
2023-07-22,0
2023-07-23,0
2023-07-24,0
2023-07-25,0
2023-07-26,0
2023-07-27,0
2023-07-28,0
2023-07-29,0
2023-07-30,0
2023-07-31,0
2023-08-01,0
2023-08-02,0
2023-08-03,0
2023-08-04,49
2023-08-05,36
2023-08-06,0
2023-08-07,0
2023-08-08,0
2023-08-09,0
2023-08-10,0
2023-08-11,0
2023-08-12,0
2023-08-13,0
2023-08-14,0
2023-08-15,32
2023-08-16,0
2023-08-17,0
2023-08-18,0
2023-08-19,56
2023-08-20,0
2023-08-21,33
2023-08-22,0
2023-08-23,0
2023-08-24,0
2023-08-25,0
2023-08-26,0
2023-08-27,0
2023-08-28,34
2023-08-29,0
2023-08-30,43
2023-08-31,34
2023-09-01,0
2023-09-02,48
2023-09-03,0
2023-09-04,0
2023-09-05,0
2023-09-06,0
2023-09-07,40
2023-09-08,0
2023-09-09,0
2023-09-10,0
2023-09-11,39
2023-09-12,0
2023-09-13,0
2023-09-14,36
2023-09-15,0
2023-09-16,57
2023-09-17,0
2023-09-18,0
2023-09-19,0
2023-09-20,0
2023-09-21,0
2023-09-22,0
2023-09-23,0
2023-09-24,0
2023-09-25,0
2023-09-26,0
2023-09-27,39
2023-09-28,0
2023-09-29,0
2023-09-30,0
2023-10-01,0
2023-10-02,30
2023-10-03,51
2023-10-04,0
2023-10-05,0
2023-10-06,42
2023-10-07,40
2023-10-08,58
2023-10-09,71
2023-10-10,39
2023-10-11,0
2023-10-12,0
2023-10-13,0
2023-10-14,0
2023-10-15,0
2023-10-16,44
2023-10-17,31
2023-10-18,0
2023-10-19,0
2023-10-20,32
2023-10-21,0
2023-10-22,0
2023-10-23,31
2023-10-24,0
2023-10-25,33
2023-10-26,0
2023-10-27,34
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,34
2023-11-01,0
2023-11-02,32
2023-11-03,67
2023-11-04,0
2023-11-05,36
2023-11-06,36
2023-11-07,54
2023-11-08,48
2023-11-09,47
2023-11-10,39
2023-11-11,62
2023-11-12,54
2023-11-13,33
2023-11-14,74
2023-11-15,65
2023-11-16,0
2023-11-17,0
2023-11-18,52
2023-11-19,0
2023-11-20,77
2023-11-21,0
2023-11-22,100
2023-11-23,47
2023-11-24,39
2023-11-25,0
2023-11-26,41
2023-11-27,31
2023-11-28,43
2023-11-29,64
2023-11-30,40
2023-12-01,35
2023-12-02,62
2023-12-03,39
2023-12-04,41
2023-12-05,0
2023-12-06,50
2023-12-07,0
2023-12-08,29
2023-12-09,60
2023-12-10,37
2023-12-11,0
2023-12-12,37
2023-12-13,28
2023-12-14,42
2023-12-15,57
2023-12-16,0
2023-12-17,38
2023-12-18,51
2023-12-19,64
2023-12-20,0
2023-12-21,0
2023-12-22,45
2023-12-23,63
2023-12-24,0
2023-12-25,48
2023-12-26,0
2023-12-27,0
2023-12-28,0
2023-12-29,47
2023-12-30,45
2023-12-31,0
2024-01-01,56
2024-01-02,51
2024-01-03,78
2024-01-04,56
2024-01-05,46
2024-01-06,40
2024-01-07,94
2024-01-08,74
2024-01-09,78
2024-01-10,66
2024-01-11,73
2024-01-12,69
2024-01-13,69
2024-01-14,63
2024-01-15,68
2024-01-16,59
2024-01-17,75
2024-01-18,66
2024-01-19,62
2024-01-20,80
