Time,amber heard
2023-12-22,86
2023-12-23,89
2023-12-24,82
2023-12-25,77
2023-12-26,84
2023-12-27,71
2023-12-28,62
2023-12-29,59
2023-12-30,71
2023-12-31,66
2024-01-01,83
2024-01-02,100
2024-01-03,87
2024-01-04,84
2024-01-05,74
2024-01-06,80
2024-01-07,71
2024-01-08,53
2024-01-09,47
2024-01-10,40
2024-01-11,42
2024-01-12,40
2024-01-13,64
2024-01-14,49
2024-01-15,45
2024-01-16,35
2024-01-17,38
2024-01-18,28
2024-01-19,29
2024-01-20,36
2024-01-21,43
2024-01-22,31
2024-01-23,31
2024-01-24,48
2024-01-25,47
2024-01-26,46
2024-01-27,73
2024-01-28,74
2024-01-29,43
2024-01-30,38
2024-01-31,39
2024-02-01,38
2024-02-02,33
2024-02-03,46
2024-02-04,51
2024-02-05,36
2024-02-06,27
2024-02-07,30
2024-02-08,24
2024-02-09,27
2024-02-10,46
2024-02-11,42
2024-02-12,28
2024-02-13,26
2024-02-14,27
2024-02-15,34
2024-02-16,26
2024-02-17,39
2024-02-18,53
2024-02-19,31
2024-02-20,28
2024-02-21,28
2024-02-22,26
2024-02-23,27
2024-02-24,26
2024-02-25,42
2024-02-26,29
2024-02-27,35
2024-02-28,59
2024-02-29,49
2024-03-01,48
2024-03-02,66
2024-03-03,88
2024-03-04,62
2024-03-05,43
2024-03-06,36
2024-03-07,40
2024-03-08,31
2024-03-09,43
2024-03-10,51
2024-03-11,38
2024-03-12,32
2024-03-13,30
2024-03-14,32
2024-03-15,34
2024-03-16,48
2024-03-17,51
2024-03-18,33
2024-03-19,27
2024-03-20,32
2024-03-21,29
2024-03-22,30
2024-03-23,32
2024-03-24,48
2024-03-25,28
2024-03-26,26
2024-03-27,24
2024-03-28,25
2024-03-29,26
2024-03-30,34
2024-03-31,45
2024-04-01,33
2024-04-02,31
2024-04-03,27
2024-04-04,22
2024-04-05,28
2024-04-06,38
2024-04-07,33
2024-04-08,22
2024-04-09,29
2024-04-10,22
2024-04-11,24
2024-04-12,24
2024-04-13,31
2024-04-14,34
2024-04-15,33
2024-04-16,31
2024-04-17,23
2024-04-18,25
2024-04-19,25
2024-04-20,31
2024-04-21,38
2024-04-22,40
2024-04-23,36
2024-04-24,59
2024-04-25,63
2024-04-26,49
2024-04-27,47
2024-04-28,49
2024-04-29,27
2024-04-30,25
2024-05-01,26
2024-05-02,26
2024-05-03,35
2024-05-04,38
2024-05-05,41
2024-05-06,33
2024-05-07,33
2024-05-08,26
2024-05-09,27
2024-05-10,27
2024-05-11,26
2024-05-12,31
2024-05-13,25
2024-05-14,23
2024-05-15,26
2024-05-16,27
2024-05-17,34
2024-05-18,41
2024-05-19,38
2024-05-20,30
2024-05-21,27
2024-05-22,27
2024-05-23,26
2024-05-24,23
2024-05-25,37
2024-05-26,37
2024-05-27,38
2024-05-28,26
2024-05-29,28
2024-05-30,23
2024-05-31,20
2024-06-01,32
2024-06-02,44
2024-06-03,23
2024-06-04,22
2024-06-05,26
2024-06-06,22
2024-06-07,26
2024-06-08,31
2024-06-09,39
2024-06-10,27
2024-06-11,20
2024-06-12,26
2024-06-13,23
2024-06-14,29
2024-06-15,34
2024-06-16,33
2024-06-17,33
2024-06-18,27
2024-06-19,25
2024-06-20,19
2024-06-21,22
2024-06-22,26
2024-06-23,31
2024-06-24,27
2024-06-25,24
2024-06-26,22
2024-06-27,22
2024-06-28,24
2024-06-29,73
2024-06-30,48
2024-07-01,43
2024-07-02,49
2024-07-03,49
2024-07-04,40
2024-07-05,35
2024-07-06,39
2024-07-07,41
2024-07-08,26
2024-07-09,35
2024-07-10,24
2024-07-11,26
2024-07-12,33
2024-07-13,40
2024-07-14,37
2024-07-15,26
2024-07-16,32
2024-07-17,32
2024-07-18,26
2024-07-19,25
2024-07-20,23
2024-07-21,26
2024-07-22,23
2024-07-23,23
2024-07-24,20
2024-07-25,27
2024-07-26,47
2024-07-27,80
2024-07-28,78
2024-07-29,42
2024-07-30,32
2024-07-31,19
2024-08-01,22
2024-08-02,25
2024-08-03,28
2024-08-04,27
2024-08-05,23
2024-08-06,29
2024-08-07,28
2024-08-08,34
2024-08-09,29
2024-08-10,32
2024-08-11,31
2024-08-12,29
2024-08-13,32
2024-08-14,23
2024-08-15,25
2024-08-16,24
2024-08-17,28
2024-08-18,33
2024-08-19,24
2024-08-20,21
2024-08-21,21
2024-08-22,25
2024-08-23,28
2024-08-24,29
2024-08-25,35
2024-08-26,26
2024-08-27,26
2024-08-28,23
2024-08-29,21
2024-08-30,26
2024-08-31,32
2024-09-01,37
2024-09-02,35
2024-09-03,32
2024-09-04,29
2024-09-05,34
2024-09-06,26
2024-09-07,35
2024-09-08,33
2024-09-09,27
2024-09-10,22
2024-09-11,22
2024-09-12,22
2024-09-13,23
2024-09-14,25
2024-09-15,24
2024-09-16,24
