Time,amber heard
2022-08-29,49
2022-08-30,44
2022-08-31,40
2022-09-01,37
2022-09-02,47
2022-09-03,45
2022-09-04,57
2022-09-05,63
2022-09-06,55
2022-09-07,44
2022-09-08,42
2022-09-09,42
2022-09-10,41
2022-09-11,39
2022-09-12,44
2022-09-13,34
2022-09-14,36
2022-09-15,46
2022-09-16,46
2022-09-17,43
2022-09-18,43
2022-09-19,47
2022-09-20,44
2022-09-21,37
2022-09-22,42
2022-09-23,39
2022-09-24,36
2022-09-25,35
2022-09-26,33
2022-09-27,29
2022-09-28,34
2022-09-29,42
2022-09-30,48
2022-10-01,51
2022-10-02,53
2022-10-03,54
2022-10-04,47
2022-10-05,37
2022-10-06,40
2022-10-07,34
2022-10-08,43
2022-10-09,45
2022-10-10,37
2022-10-11,32
2022-10-12,34
2022-10-13,36
2022-10-14,31
2022-10-15,34
2022-10-16,35
2022-10-17,34
2022-10-18,32
2022-10-19,33
2022-10-20,34
2022-10-21,32
2022-10-22,34
2022-10-23,36
2022-10-24,35
2022-10-25,34
2022-10-26,36
2022-10-27,33
2022-10-28,31
2022-10-29,36
2022-10-30,34
2022-10-31,29
2022-11-01,28
2022-11-02,36
2022-11-03,58
2022-11-04,75
2022-11-05,53
2022-11-06,42
2022-11-07,32
2022-11-08,32
2022-11-09,32
2022-11-10,30
2022-11-11,31
2022-11-12,33
2022-11-13,36
2022-11-14,27
2022-11-15,25
2022-11-16,29
2022-11-17,31
2022-11-18,30
2022-11-19,36
2022-11-20,32
2022-11-21,25
2022-11-22,24
2022-11-23,28
2022-11-24,27
2022-11-25,26
2022-11-26,26
2022-11-27,38
2022-11-28,23
2022-11-29,27
2022-11-30,24
2022-12-01,24
2022-12-02,25
2022-12-03,25
2022-12-04,30
2022-12-05,38
2022-12-06,33
2022-12-07,31
2022-12-08,27
2022-12-09,24
2022-12-10,33
2022-12-11,43
2022-12-12,38
2022-12-13,30
2022-12-14,27
2022-12-15,25
2022-12-16,28
2022-12-17,29
2022-12-18,30
2022-12-19,100
2022-12-20,89
2022-12-21,49
2022-12-22,47
2022-12-23,55
2022-12-24,34
2022-12-25,33
2022-12-26,30
2022-12-27,36
2022-12-28,31
2022-12-29,35
2022-12-30,34
2022-12-31,34
2023-01-01,32
2023-01-02,29
2023-01-03,24
2023-01-04,25
2023-01-05,22
2023-01-06,24
2023-01-07,22
2023-01-08,25
2023-01-09,23
2023-01-10,27
2023-01-11,22
2023-01-12,23
2023-01-13,18
2023-01-14,23
2023-01-15,23
2023-01-16,22
2023-01-17,19
2023-01-18,17
2023-01-19,19
2023-01-20,23
2023-01-21,22
2023-01-22,25
2023-01-23,20
2023-01-24,18
2023-01-25,19
2023-01-26,17
2023-01-27,21
2023-01-28,20
2023-01-29,25
2023-01-30,22
2023-01-31,18
2023-02-01,18
2023-02-02,20
2023-02-03,23
2023-02-04,26
2023-02-05,26
2023-02-06,20
2023-02-07,27
2023-02-08,17
2023-02-09,20
2023-02-10,19
2023-02-11,26
2023-02-12,21
2023-02-13,20
2023-02-14,16
2023-02-15,16
2023-02-16,17
2023-02-17,21
2023-02-18,25
2023-02-19,24
2023-02-20,20
2023-02-21,22
2023-02-22,25
2023-02-23,18
2023-02-24,19
2023-02-25,24
2023-02-26,28
2023-02-27,20
2023-02-28,20
2023-03-01,23
2023-03-02,21
2023-03-03,29
2023-03-04,35
2023-03-05,34
2023-03-06,30
2023-03-07,27
2023-03-08,23
2023-03-09,20
2023-03-10,22
2023-03-11,22
2023-03-12,28
2023-03-13,24
2023-03-14,19
2023-03-15,17
2023-03-16,19
2023-03-17,18
2023-03-18,19
2023-03-19,23
2023-03-20,19
2023-03-21,20
2023-03-22,21
2023-03-23,22
2023-03-24,19
2023-03-25,24
2023-03-26,28
2023-03-27,22
2023-03-28,20
2023-03-29,21
2023-03-30,21
2023-03-31,19
2023-04-01,24
2023-04-02,25
2023-04-03,19
2023-04-04,18
2023-04-05,16
2023-04-06,19
2023-04-07,22
2023-04-08,22
2023-04-09,25
2023-04-10,20
2023-04-11,23
2023-04-12,23
2023-04-13,32
2023-04-14,24
2023-04-15,23
2023-04-16,32
2023-04-17,20
2023-04-18,19
2023-04-19,17
2023-04-20,18
2023-04-21,17
2023-04-22,24
2023-04-23,21
2023-04-24,19
2023-04-25,16
2023-04-26,34
2023-04-27,31
2023-04-28,26
2023-04-29,25
2023-04-30,23
2023-05-01,23
2023-05-02,21
2023-05-03,22
2023-05-04,24
2023-05-05,79
2023-05-06,54
2023-05-07,44
2023-05-08,36
2023-05-09,28
2023-05-10,33
2023-05-11,32
2023-05-12,25
2023-05-13,31
2023-05-14,35
2023-05-15,24
2023-05-16,28
2023-05-17,31
2023-05-18,30
2023-05-19,30
2023-05-20,27
2023-05-21,31
2023-05-22,24
2023-05-23,22
2023-05-24,19
2023-05-25,18
