Time,stock futures
2023-04-26,64
2023-04-27,64
2023-04-28,57
2023-04-29,7
2023-04-30,30
2023-05-01,80
2023-05-02,56
2023-05-03,62
2023-05-04,64
2023-05-05,62
2023-05-06,7
2023-05-07,32
2023-05-08,78
2023-05-09,61
2023-05-10,57
2023-05-11,59
2023-05-12,56
2023-05-13,7
2023-05-14,22
2023-05-15,70
2023-05-16,59
2023-05-17,59
2023-05-18,63
2023-05-19,62
2023-05-20,8
2023-05-21,29
2023-05-22,68
2023-05-23,60
2023-05-24,59
2023-05-25,67
2023-05-26,57
2023-05-27,8
2023-05-28,31
2023-05-29,67
2023-05-30,100
2023-05-31,66
2023-06-01,84
2023-06-02,73
2023-06-03,11
2023-06-04,42
2023-06-05,87
2023-06-06,63
2023-06-07,63
2023-06-08,58
2023-06-09,54
2023-06-10,8
2023-06-11,26
2023-06-12,80
2023-06-13,64
2023-06-14,62
2023-06-15,74
2023-06-16,65
2023-06-17,10
2023-06-18,20
2023-06-19,72
2023-06-20,74
2023-06-21,60
2023-06-22,55
2023-06-23,63
2023-06-24,11
2023-06-25,31
2023-06-26,71
2023-06-27,57
2023-06-28,53
2023-06-29,57
2023-06-30,51
2023-07-01,9
2023-07-02,26
2023-07-03,70
2023-07-04,28
2023-07-05,71
2023-07-06,65
2023-07-07,61
2023-07-08,8
2023-07-09,24
2023-07-10,68
2023-07-11,51
2023-07-12,60
2023-07-13,59
2023-07-14,62
2023-07-15,9
2023-07-16,24
2023-07-17,68
2023-07-18,57
2023-07-19,56
2023-07-20,58
2023-07-21,54
2023-07-22,10
2023-07-23,24
2023-07-24,67
2023-07-25,51
2023-07-26,53
2023-07-27,58
2023-07-28,47
2023-07-29,7
2023-07-30,26
2023-07-31,65
2023-08-01,55
2023-08-02,64
2023-08-03,66
2023-08-04,55
2023-08-05,9
2023-08-06,23
2023-08-07,67
2023-08-08,56
2023-08-09,55
2023-08-10,58
2023-08-11,52
2023-08-12,7
2023-08-13,22
2023-08-14,57
2023-08-15,53
2023-08-16,55
2023-08-17,51
2023-08-18,50
2023-08-19,9
2023-08-20,20
2023-08-21,60
2023-08-22,49
2023-08-23,54
2023-08-24,55
2023-08-25,46
2023-08-26,10
2023-08-27,17
2023-08-28,54
2023-08-29,49
2023-08-30,50
2023-08-31,46
2023-09-01,46
2023-09-02,8
2023-09-03,10
2023-09-04,30
2023-09-05,62
2023-09-06,52
2023-09-07,51
2023-09-08,37
2023-09-09,7
2023-09-10,17
2023-09-11,55
2023-09-12,44
2023-09-13,44
2023-09-14,42
2023-09-15,46
2023-09-16,7
2023-09-17,20
2023-09-18,52
2023-09-19,43
2023-09-20,43
2023-09-21,51
2023-09-22,49
2023-09-23,8
2023-09-24,19
2023-09-25,55
2023-09-26,52
2023-09-27,47
2023-09-28,47
2023-09-29,51
2023-09-30,10
2023-10-01,26
2023-10-02,60
2023-10-03,49
2023-10-04,57
2023-10-05,51
2023-10-06,47
2023-10-07,14
2023-10-08,42
2023-10-09,81
2023-10-10,58
2023-10-11,49
2023-10-12,50
2023-10-13,45
2023-10-14,12
2023-10-15,22
2023-10-16,53
2023-10-17,50
2023-10-18,47
2023-10-19,46
2023-10-20,44
2023-10-21,16
2023-10-22,27
2023-10-23,57
2023-10-24,53
2023-10-25,55
2023-10-26,53
2023-10-27,54
2023-10-28,9
2023-10-29,21
2023-10-30,57
2023-10-31,51
2023-11-01,51
2023-11-02,48
2023-11-03,58
2023-11-04,13
2023-11-05,22
2023-11-06,65
2023-11-07,48
2023-11-08,47
2023-11-09,50
2023-11-10,48
2023-11-11,8
2023-11-12,19
2023-11-13,63
2023-11-14,55
2023-11-15,61
2023-11-16,54
2023-11-17,46
2023-11-18,9
2023-11-19,16
2023-11-20,69
2023-11-21,51
2023-11-22,46
2023-11-23,17
2023-11-24,47
2023-11-25,7
2023-11-26,19
2023-11-27,55
2023-11-28,53
2023-11-29,47
2023-11-30,50
2023-12-01,42
2023-12-02,12
2023-12-03,17
2023-12-04,64
2023-12-05,43
2023-12-06,46
2023-12-07,44
2023-12-08,37
2023-12-09,10
2023-12-10,20
2023-12-11,62
2023-12-12,56
2023-12-13,52
2023-12-14,63
2023-12-15,55
2023-12-16,9
2023-12-17,20
2023-12-18,60
2023-12-19,47
2023-12-20,56
2023-12-21,54
2023-12-22,56
2023-12-23,7
2023-12-24,10
2023-12-25,23
2023-12-26,67
2023-12-27,49
2023-12-28,48
2023-12-29,47
2023-12-30,9
2023-12-31,7
2024-01-01,25
2024-01-02,71
2024-01-03,57
2024-01-04,54
2024-01-05,43
2024-01-06,9
2024-01-07,16
2024-01-08,54
2024-01-09,46
2024-01-10,46
2024-01-11,48
2024-01-12,45
2024-01-13,7
2024-01-14,10
2024-01-15,35
2024-01-16,53
2024-01-17,46
2024-01-18,43
2024-01-19,47
2024-01-20,10
