Time,stock futures
2022-08-29,71
2022-08-30,57
2022-08-31,58
2022-09-01,53
2022-09-02,41
2022-09-03,7
2022-09-04,12
2022-09-05,40
2022-09-06,61
2022-09-07,49
2022-09-08,48
2022-09-09,41
2022-09-10,8
2022-09-11,24
2022-09-12,53
2022-09-13,59
2022-09-14,66
2022-09-15,51
2022-09-16,51
2022-09-17,8
2022-09-18,25
2022-09-19,61
2022-09-20,46
2022-09-21,54
2022-09-22,55
2022-09-23,49
2022-09-24,11
2022-09-25,29
2022-09-26,74
2022-09-27,58
2022-09-28,60
2022-09-29,58
2022-09-30,53
2022-10-01,9
2022-10-02,31
2022-10-03,68
2022-10-04,59
2022-10-05,66
2022-10-06,57
2022-10-07,55
2022-10-08,9
2022-10-09,29
2022-10-10,66
2022-10-11,52
2022-10-12,52
2022-10-13,58
2022-10-14,55
2022-10-15,9
2022-10-16,23
2022-10-17,58
2022-10-18,55
2022-10-19,57
2022-10-20,52
2022-10-21,49
2022-10-22,8
2022-10-23,24
2022-10-24,66
2022-10-25,52
2022-10-26,58
2022-10-27,57
2022-10-28,49
2022-10-29,10
2022-10-30,28
2022-10-31,67
2022-11-01,49
2022-11-02,47
2022-11-03,52
2022-11-04,43
2022-11-05,7
2022-11-06,21
2022-11-07,58
2022-11-08,44
2022-11-09,57
2022-11-10,53
2022-11-11,61
2022-11-12,9
2022-11-13,27
2022-11-14,70
2022-11-15,50
2022-11-16,55
2022-11-17,54
2022-11-18,50
2022-11-19,6
2022-11-20,16
2022-11-21,58
2022-11-22,42
2022-11-23,43
2022-11-24,18
2022-11-25,40
2022-11-26,8
2022-11-27,18
2022-11-28,53
2022-11-29,44
2022-11-30,39
2022-12-01,49
2022-12-02,44
2022-12-03,6
2022-12-04,16
2022-12-05,55
2022-12-06,45
2022-12-07,44
2022-12-08,41
2022-12-09,41
2022-12-10,6
2022-12-11,16
2022-12-12,51
2022-12-13,48
2022-12-14,42
2022-12-15,46
2022-12-16,48
2022-12-17,8
2022-12-18,15
2022-12-19,54
2022-12-20,45
2022-12-21,43
2022-12-22,50
2022-12-23,40
2022-12-24,7
2022-12-25,9
2022-12-26,40
2022-12-27,61
2022-12-28,43
2022-12-29,42
2022-12-30,43
2022-12-31,5
2023-01-01,9
2023-01-02,34
2023-01-03,58
2023-01-04,40
2023-01-05,46
2023-01-06,41
2023-01-07,8
2023-01-08,19
2023-01-09,58
2023-01-10,47
2023-01-11,41
2023-01-12,51
2023-01-13,47
2023-01-14,7
2023-01-15,11
2023-01-16,37
2023-01-17,61
2023-01-18,39
2023-01-19,45
2023-01-20,39
2023-01-21,8
2023-01-22,17
2023-01-23,58
2023-01-24,48
2023-01-25,46
2023-01-26,46
2023-01-27,46
2023-01-28,7
2023-01-29,16
2023-01-30,57
2023-01-31,48
2023-02-01,45
2023-02-02,52
2023-02-03,56
2023-02-04,8
2023-02-05,20
2023-02-06,59
2023-02-07,50
2023-02-08,45
2023-02-09,48
2023-02-10,46
2023-02-11,5
2023-02-12,13
2023-02-13,48
2023-02-14,49
2023-02-15,41
2023-02-16,46
2023-02-17,41
2023-02-18,7
2023-02-19,10
2023-02-20,38
2023-02-21,54
2023-02-22,47
2023-02-23,44
2023-02-24,35
2023-02-25,7
2023-02-26,16
2023-02-27,54
2023-02-28,39
2023-03-01,40
2023-03-02,39
2023-03-03,37
2023-03-04,6
2023-03-05,16
2023-03-06,52
2023-03-07,36
2023-03-08,38
2023-03-09,39
2023-03-10,52
2023-03-11,11
2023-03-12,45
2023-03-13,100
2023-03-14,59
2023-03-15,60
2023-03-16,61
2023-03-17,53
2023-03-18,10
2023-03-19,33
2023-03-20,77
2023-03-21,47
2023-03-22,51
2023-03-23,53
2023-03-24,43
2023-03-25,7
2023-03-26,22
2023-03-27,58
2023-03-28,41
2023-03-29,39
2023-03-30,42
2023-03-31,45
2023-04-01,9
2023-04-02,25
2023-04-03,59
2023-04-04,44
2023-04-05,45
2023-04-06,42
2023-04-07,35
2023-04-08,9
2023-04-09,19
2023-04-10,55
2023-04-11,42
2023-04-12,42
2023-04-13,42
2023-04-14,40
2023-04-15,5
2023-04-16,17
2023-04-17,45
2023-04-18,37
2023-04-19,35
2023-04-20,36
2023-04-21,34
2023-04-22,6
2023-04-23,17
2023-04-24,40
2023-04-25,35
2023-04-26,38
2023-04-27,38
2023-04-28,34
2023-04-29,4
2023-04-30,18
2023-05-01,48
2023-05-02,33
2023-05-03,37
2023-05-04,38
2023-05-05,37
2023-05-06,4
2023-05-07,19
2023-05-08,47
2023-05-09,36
2023-05-10,34
2023-05-11,35
2023-05-12,34
2023-05-13,4
2023-05-14,13
2023-05-15,42
2023-05-16,35
2023-05-17,35
2023-05-18,38
2023-05-19,37
2023-05-20,5
2023-05-21,17
2023-05-22,41
2023-05-23,36
2023-05-24,35
2023-05-25,40
