Time,stock futures
2025-04-15,60
2025-04-16,57
2025-04-17,59
2025-04-18,36
2025-04-19,9
2025-04-20,29
2025-04-21,100
2025-04-22,78
2025-04-23,82
2025-04-24,58
2025-04-25,53
2025-04-26,9
2025-04-27,28
2025-04-28,82
2025-04-29,47
2025-04-30,58
2025-05-01,51
2025-05-02,47
2025-05-03,9
2025-05-04,28
2025-05-05,64
2025-05-06,39
2025-05-07,45
2025-05-08,42
2025-05-09,37
2025-05-10,6
2025-05-11,45
2025-05-12,99
2025-05-13,61
2025-05-14,48
2025-05-15,41
2025-05-16,37
2025-05-17,13
2025-05-18,33
2025-05-19,75
2025-05-20,39
2025-05-21,47
2025-05-22,41
2025-05-23,38
2025-05-24,7
2025-05-25,13
2025-05-26,42
2025-05-27,53
2025-05-28,41
2025-05-29,65
2025-05-30,39
2025-05-31,8
2025-06-01,25
2025-06-02,49
2025-06-03,34
2025-06-04,37
2025-06-05,34
2025-06-06,39
2025-06-07,6
2025-06-08,23
2025-06-09,53
2025-06-10,35
2025-06-11,47
2025-06-12,36
2025-06-13,62
2025-06-14,9
2025-06-15,28
2025-06-16,66
2025-06-17,40
2025-06-18,35
2025-06-19,35
2025-06-20,38
2025-06-21,6
2025-06-22,80
2025-06-23,73
2025-06-24,47
2025-06-25,38
2025-06-26,36
2025-06-27,39
2025-06-28,8
2025-06-29,22
2025-06-30,53
2025-07-01,33
2025-07-02,34
2025-07-03,40
2025-07-04,16
2025-07-05,13
2025-07-06,35
2025-07-07,87
2025-07-08,40
2025-07-09,36
2025-07-10,36
2025-07-11,38
2025-07-12,10
2025-07-13,26
2025-07-14,56
2025-07-15,39
2025-07-16,33
2025-07-17,34
2025-07-18,32
2025-07-19,8
2025-07-20,24
2025-07-21,44
2025-07-22,33
2025-07-23,39
2025-07-24,35
2025-07-25,32
2025-07-26,8
2025-07-27,36
2025-07-28,60
2025-07-29,38
2025-07-30,46
2025-07-31,52
2025-08-01,53
2025-08-02,10
2025-08-03,31
2025-08-04,72
2025-08-05,40
2025-08-06,37
2025-08-07,44
2025-08-08,33
2025-08-09,8
2025-08-10,24
2025-08-11,47
2025-08-12,36
2025-08-13,34
2025-08-14,59
2025-08-15,33
2025-08-16,7
2025-08-17,22
2025-08-18,51
2025-08-19,29
2025-08-20,34
2025-08-21,30
2025-08-22,29
2025-08-23,9
2025-08-24,22
2025-08-25,43
2025-08-26,32
2025-08-27,33
2025-08-28,32
2025-08-29,33
2025-08-30,12
2025-08-31,10
2025-09-01,26
2025-09-02,49
2025-09-03,32
2025-09-04,27
2025-09-05,29
2025-09-06,7
2025-09-07,17
2025-09-08,37
2025-09-09,27
2025-09-10,26
2025-09-11,30
2025-09-12,25
2025-09-13,6
2025-09-14,15
2025-09-15,34
2025-09-16,30
2025-09-17,29
2025-09-18,32
2025-09-19,29
2025-09-20,6
2025-09-21,16
2025-09-22,38
2025-09-23,30
2025-09-24,30
2025-09-25,29
2025-09-26,29
2025-09-27,7
2025-09-28,15
2025-09-29,35
2025-09-30,33
2025-10-01,35
2025-10-02,29
2025-10-03,28
2025-10-04,5
2025-10-05,13
2025-10-06,34
2025-10-07,27
2025-10-08,26
2025-10-09,29
2025-10-10,36
2025-10-11,28
2025-10-12,42
2025-10-13,71
2025-10-14,52
2025-10-15,41
2025-10-16,37
2025-10-17,53
2025-10-18,9
2025-10-19,21
2025-10-20,41
2025-10-21,33
2025-10-22,30
2025-10-23,32
2025-10-24,34
2025-10-25,9
2025-10-26,27
2025-10-27,50
2025-10-28,37
2025-10-29,37
2025-10-30,48
2025-10-31,34
2025-11-01,6
2025-11-02,18
2025-11-03,58
2025-11-04,44
2025-11-05,38
2025-11-06,36
2025-11-07,37
2025-11-08,8
2025-11-09,18
2025-11-10,52
2025-11-11,37
2025-11-12,35
2025-11-13,48
2025-11-14,53
2025-11-15,7
2025-11-16,20
2025-11-17,53
2025-11-18,42
2025-11-19,41
2025-11-20,45
2025-11-21,45
2025-11-22,8
2025-11-23,19
2025-11-24,46
2025-11-25,36
2025-11-26,35
2025-11-27,18
2025-11-28,40
2025-11-29,8
2025-11-30,20
2025-12-01,51
2025-12-02,32
2025-12-03,33
2025-12-04,33
2025-12-05,31
2025-12-06,8
2025-12-07,15
2025-12-08,36
2025-12-09,31
2025-12-10,30
2025-12-11,35
2025-12-12,32
2025-12-13,8
2025-12-14,15
2025-12-15,38
2025-12-16,30
2025-12-17,27
2025-12-18,32
2025-12-19,31
2025-12-20,6
2025-12-21,16
2025-12-22,40
2025-12-23,34
2025-12-24,27
2025-12-25,12
2025-12-26,39
2025-12-27,7
2025-12-28,16
2025-12-29,42
2025-12-30,28
2025-12-31,27
2026-01-01,12
2026-01-02,34
2026-01-03,15
2026-01-04,31
2026-01-05,53
2026-01-06,34
2026-01-07,32
2026-01-08,27
2026-01-09,32
