Time,the last of us
2023-04-26,61
2023-04-27,60
2023-04-28,57
2023-04-29,80
2023-04-30,89
2023-05-01,71
2023-05-02,62
2023-05-03,58
2023-05-04,56
2023-05-05,57
2023-05-06,68
2023-05-07,68
2023-05-08,73
2023-05-09,56
2023-05-10,53
2023-05-11,52
2023-05-12,55
2023-05-13,58
2023-05-14,63
2023-05-15,57
2023-05-16,49
2023-05-17,48
2023-05-18,47
2023-05-19,48
2023-05-20,58
2023-05-21,71
2023-05-22,53
2023-05-23,48
2023-05-24,49
2023-05-25,44
2023-05-26,50
2023-05-27,56
2023-05-28,60
2023-05-29,68
2023-05-30,52
2023-05-31,47
2023-06-01,43
2023-06-02,43
2023-06-03,49
2023-06-04,54
2023-06-05,49
2023-06-06,42
2023-06-07,41
2023-06-08,40
2023-06-09,40
2023-06-10,43
2023-06-11,50
2023-06-12,44
2023-06-13,41
2023-06-14,44
2023-06-15,50
2023-06-16,42
2023-06-17,48
2023-06-18,51
2023-06-19,47
2023-06-20,45
2023-06-21,40
2023-06-22,38
2023-06-23,41
2023-06-24,46
2023-06-25,51
2023-06-26,42
2023-06-27,40
2023-06-28,42
2023-06-29,44
2023-06-30,39
2023-07-01,35
2023-07-02,46
2023-07-03,42
2023-07-04,51
2023-07-05,41
2023-07-06,38
2023-07-07,38
2023-07-08,45
2023-07-09,46
2023-07-10,40
2023-07-11,34
2023-07-12,55
2023-07-13,58
2023-07-14,49
2023-07-15,53
2023-07-16,54
2023-07-17,47
2023-07-18,42
2023-07-19,39
2023-07-20,37
2023-07-21,37
2023-07-22,40
2023-07-23,50
2023-07-24,38
2023-07-25,35
2023-07-26,32
2023-07-27,34
2023-07-28,34
2023-07-29,39
2023-07-30,38
2023-07-31,30
2023-08-01,32
2023-08-02,32
2023-08-03,32
2023-08-04,31
2023-08-05,37
2023-08-06,37
2023-08-07,33
2023-08-08,32
2023-08-09,29
2023-08-10,30
2023-08-11,33
2023-08-12,36
2023-08-13,40
2023-08-14,34
2023-08-15,33
2023-08-16,33
2023-08-17,29
2023-08-18,31
2023-08-19,36
2023-08-20,37
2023-08-21,37
2023-08-22,30
2023-08-23,31
2023-08-24,30
2023-08-25,31
2023-08-26,33
2023-08-27,50
2023-08-28,34
2023-08-29,39
2023-08-30,39
2023-08-31,33
2023-09-01,35
2023-09-02,39
2023-09-03,41
2023-09-04,39
2023-09-05,35
2023-09-06,32
2023-09-07,34
2023-09-08,33
2023-09-09,36
2023-09-10,42
2023-09-11,33
2023-09-12,33
2023-09-13,29
2023-09-14,30
2023-09-15,32
2023-09-16,34
2023-09-17,41
2023-09-18,37
2023-09-19,34
2023-09-20,30
2023-09-21,34
2023-09-22,31
2023-09-23,35
2023-09-24,40
2023-09-25,40
2023-09-26,42
2023-09-27,39
2023-09-28,36
2023-09-29,33
2023-09-30,39
2023-10-01,38
2023-10-02,34
2023-10-03,32
2023-10-04,35
2023-10-05,31
2023-10-06,33
2023-10-07,34
2023-10-08,37
2023-10-09,33
2023-10-10,32
2023-10-11,32
2023-10-12,32
2023-10-13,33
2023-10-14,32
2023-10-15,38
2023-10-16,34
2023-10-17,32
2023-10-18,30
2023-10-19,32
2023-10-20,31
2023-10-21,32
2023-10-22,39
2023-10-23,35
2023-10-24,33
2023-10-25,32
2023-10-26,33
2023-10-27,30
2023-10-28,34
2023-10-29,33
2023-10-30,34
2023-10-31,33
2023-11-01,31
2023-11-02,32
2023-11-03,29
2023-11-04,31
2023-11-05,32
2023-11-06,32
2023-11-07,27
2023-11-08,30
2023-11-09,30
2023-11-10,28
2023-11-11,29
2023-11-12,31
2023-11-13,33
2023-11-14,30
2023-11-15,32
2023-11-16,35
2023-11-17,31
2023-11-18,64
2023-11-19,50
2023-11-20,40
2023-11-21,36
2023-11-22,36
2023-11-23,40
2023-11-24,46
2023-11-25,41
2023-11-26,46
2023-11-27,38
2023-11-28,38
2023-11-29,33
2023-11-30,33
2023-12-01,32
2023-12-02,36
2023-12-03,42
2023-12-04,41
2023-12-05,44
2023-12-06,40
2023-12-07,39
2023-12-08,43
2023-12-09,42
2023-12-10,47
2023-12-11,47
2023-12-12,43
2023-12-13,38
2023-12-14,42
2023-12-15,47
2023-12-16,41
2023-12-17,42
2023-12-18,39
2023-12-19,34
2023-12-20,37
2023-12-21,38
2023-12-22,34
2023-12-23,39
2023-12-24,41
2023-12-25,44
2023-12-26,50
2023-12-27,51
2023-12-28,53
2023-12-29,51
2023-12-30,49
2023-12-31,53
2024-01-01,60
2024-01-02,53
2024-01-03,48
2024-01-04,47
2024-01-05,45
2024-01-06,54
2024-01-07,76
2024-01-08,81
2024-01-09,73
2024-01-10,100
2024-01-11,75
2024-01-12,66
2024-01-13,63
2024-01-14,66
2024-01-15,65
2024-01-16,89
2024-01-17,70
2024-01-18,65
2024-01-19,80
2024-01-20,91
