Time,the last of us
2023-12-22,34
2023-12-23,37
2023-12-24,41
2023-12-25,45
2023-12-26,50
2023-12-27,50
2023-12-28,52
2023-12-29,50
2023-12-30,49
2023-12-31,53
2024-01-01,59
2024-01-02,53
2024-01-03,47
2024-01-04,48
2024-01-05,45
2024-01-06,52
2024-01-07,76
2024-01-08,81
2024-01-09,72
2024-01-10,100
2024-01-11,75
2024-01-12,66
2024-01-13,63
2024-01-14,67
2024-01-15,65
2024-01-16,87
2024-01-17,70
2024-01-18,66
2024-01-19,80
2024-01-20,91
2024-01-21,83
2024-01-22,67
2024-01-23,59
2024-01-24,57
2024-01-25,57
2024-01-26,53
2024-01-27,60
2024-01-28,62
2024-01-29,51
2024-01-30,46
2024-01-31,47
2024-02-01,48
2024-02-02,51
2024-02-03,71
2024-02-04,68
2024-02-05,56
2024-02-06,47
2024-02-07,46
2024-02-08,43
2024-02-09,44
2024-02-10,50
2024-02-11,49
2024-02-12,42
2024-02-13,41
2024-02-14,43
2024-02-15,42
2024-02-16,42
2024-02-17,47
2024-02-18,55
2024-02-19,54
2024-02-20,44
2024-02-21,43
2024-02-22,41
2024-02-23,41
2024-02-24,39
2024-02-25,71
2024-02-26,61
2024-02-27,48
2024-02-28,42
2024-02-29,41
2024-03-01,43
2024-03-02,47
2024-03-03,48
2024-03-04,46
2024-03-05,40
2024-03-06,34
2024-03-07,33
2024-03-08,34
2024-03-09,34
2024-03-10,38
2024-03-11,35
2024-03-12,32
2024-03-13,30
2024-03-14,32
2024-03-15,30
2024-03-16,36
2024-03-17,39
2024-03-18,41
2024-03-19,31
2024-03-20,34
2024-03-21,30
2024-03-22,31
2024-03-23,36
2024-03-24,42
2024-03-25,38
2024-03-26,34
2024-03-27,35
2024-03-28,33
2024-03-29,31
2024-03-30,34
2024-03-31,38
2024-04-01,35
2024-04-02,32
2024-04-03,32
2024-04-04,31
2024-04-05,33
2024-04-06,31
2024-04-07,39
2024-04-08,39
2024-04-09,33
2024-04-10,33
2024-04-11,33
2024-04-12,34
2024-04-13,35
2024-04-14,39
2024-04-15,36
2024-04-16,34
2024-04-17,31
2024-04-18,32
2024-04-19,34
2024-04-20,34
2024-04-21,38
2024-04-22,37
2024-04-23,32
2024-04-24,41
2024-04-25,35
2024-04-26,31
2024-04-27,32
2024-04-28,37
2024-04-29,34
2024-04-30,34
2024-05-01,32
2024-05-02,32
2024-05-03,30
2024-05-04,33
2024-05-05,37
2024-05-06,37
2024-05-07,29
2024-05-08,28
2024-05-09,29
2024-05-10,29
2024-05-11,27
2024-05-12,43
2024-05-13,36
2024-05-14,35
2024-05-15,41
2024-05-16,41
2024-05-17,34
2024-05-18,35
2024-05-19,40
2024-05-20,34
2024-05-21,33
2024-05-22,29
2024-05-23,31
2024-05-24,36
2024-05-25,40
2024-05-26,37
2024-05-27,39
2024-05-28,34
2024-05-29,33
2024-05-30,31
2024-05-31,28
2024-06-01,33
2024-06-02,40
2024-06-03,34
2024-06-04,32
2024-06-05,33
2024-06-06,33
2024-06-07,32
2024-06-08,35
2024-06-09,37
2024-06-10,37
2024-06-11,31
2024-06-12,30
2024-06-13,33
2024-06-14,30
2024-06-15,34
2024-06-16,40
2024-06-17,39
2024-06-18,35
2024-06-19,38
2024-06-20,34
2024-06-21,32
2024-06-22,37
2024-06-23,42
2024-06-24,37
2024-06-25,32
2024-06-26,31
2024-06-27,30
2024-06-28,30
2024-06-29,34
2024-06-30,36
2024-07-01,32
2024-07-02,29
2024-07-03,29
2024-07-04,35
2024-07-05,31
2024-07-06,33
2024-07-07,32
2024-07-08,30
2024-07-09,32
2024-07-10,33
2024-07-11,30
2024-07-12,28
2024-07-13,32
2024-07-14,34
2024-07-15,32
2024-07-16,31
2024-07-17,30
2024-07-18,26
2024-07-19,28
2024-07-20,29
2024-07-21,36
2024-07-22,30
2024-07-23,29
2024-07-24,28
2024-07-25,28
2024-07-26,30
2024-07-27,31
2024-07-28,34
2024-07-29,30
2024-07-30,28
2024-07-31,27
2024-08-01,25
2024-08-02,26
2024-08-03,29
2024-08-04,35
2024-08-05,62
2024-08-06,38
2024-08-07,37
2024-08-08,35
2024-08-09,35
2024-08-10,42
2024-08-11,43
2024-08-12,36
2024-08-13,33
2024-08-14,32
2024-08-15,32
2024-08-16,35
2024-08-17,42
2024-08-18,40
2024-08-19,36
2024-08-20,33
2024-08-21,31
2024-08-22,31
2024-08-23,29
2024-08-24,31
2024-08-25,39
2024-08-26,32
2024-08-27,31
2024-08-28,30
2024-08-29,31
2024-08-30,29
2024-08-31,30
2024-09-01,34
2024-09-02,33
2024-09-03,27
2024-09-04,28
2024-09-05,27
2024-09-06,28
2024-09-07,34
2024-09-08,31
2024-09-09,30
2024-09-10,29
2024-09-11,29
2024-09-12,29
2024-09-13,34
2024-09-14,39
2024-09-15,45
2024-09-16,35
