Time,scream
2023-12-22,49
2023-12-23,55
2023-12-24,60
2023-12-25,57
2023-12-26,50
2023-12-27,49
2023-12-28,51
2023-12-29,51
2023-12-30,56
2023-12-31,59
2024-01-01,54
2024-01-02,48
2024-01-03,46
2024-01-04,45
2024-01-05,47
2024-01-06,55
2024-01-07,55
2024-01-08,42
2024-01-09,41
2024-01-10,42
2024-01-11,41
2024-01-12,45
2024-01-13,52
2024-01-14,57
2024-01-15,51
2024-01-16,46
2024-01-17,44
2024-01-18,43
2024-01-19,47
2024-01-20,58
2024-01-21,61
2024-01-22,46
2024-01-23,43
2024-01-24,46
2024-01-25,46
2024-01-26,48
2024-01-27,55
2024-01-28,59
2024-01-29,46
2024-01-30,46
2024-01-31,46
2024-02-01,42
2024-02-02,45
2024-02-03,56
2024-02-04,58
2024-02-05,45
2024-02-06,43
2024-02-07,40
2024-02-08,43
2024-02-09,41
2024-02-10,54
2024-02-11,55
2024-02-12,50
2024-02-13,42
2024-02-14,41
2024-02-15,43
2024-02-16,39
2024-02-17,49
2024-02-18,58
2024-02-19,51
2024-02-20,45
2024-02-21,43
2024-02-22,44
2024-02-23,45
2024-02-24,50
2024-02-25,57
2024-02-26,43
2024-02-27,41
2024-02-28,41
2024-02-29,40
2024-03-01,41
2024-03-02,49
2024-03-03,55
2024-03-04,45
2024-03-05,42
2024-03-06,41
2024-03-07,45
2024-03-08,44
2024-03-09,52
2024-03-10,56
2024-03-11,46
2024-03-12,56
2024-03-13,100
2024-03-14,64
2024-03-15,47
2024-03-16,55
2024-03-17,57
2024-03-18,46
2024-03-19,47
2024-03-20,47
2024-03-21,44
2024-03-22,47
2024-03-23,59
2024-03-24,60
2024-03-25,54
2024-03-26,47
2024-03-27,46
2024-03-28,46
2024-03-29,49
2024-03-30,53
2024-03-31,52
2024-04-01,51
2024-04-02,44
2024-04-03,42
2024-04-04,44
2024-04-05,49
2024-04-06,52
2024-04-07,58
2024-04-08,45
2024-04-09,43
2024-04-10,48
2024-04-11,46
2024-04-12,49
2024-04-13,53
2024-04-14,57
2024-04-15,46
2024-04-16,47
2024-04-17,45
2024-04-18,45
2024-04-19,48
2024-04-20,56
2024-04-21,60
2024-04-22,46
2024-04-23,44
2024-04-24,45
2024-04-25,44
2024-04-26,50
2024-04-27,55
2024-04-28,62
2024-04-29,51
2024-04-30,46
2024-05-01,45
2024-05-02,47
2024-05-03,49
2024-05-04,56
2024-05-05,58
2024-05-06,50
2024-05-07,51
2024-05-08,49
2024-05-09,57
2024-05-10,74
2024-05-11,88
2024-05-12,98
2024-05-13,70
2024-05-14,61
2024-05-15,63
2024-05-16,54
2024-05-17,55
2024-05-18,70
2024-05-19,75
2024-05-20,55
2024-05-21,56
2024-05-22,56
2024-05-23,52
2024-05-24,53
2024-05-25,58
2024-05-26,67
2024-05-27,65
2024-05-28,53
2024-05-29,51
2024-05-30,52
2024-05-31,55
2024-06-01,59
2024-06-02,64
2024-06-03,53
2024-06-04,53
2024-06-05,50
2024-06-06,54
2024-06-07,52
2024-06-08,61
2024-06-09,60
2024-06-10,55
2024-06-11,54
2024-06-12,49
2024-06-13,49
2024-06-14,52
2024-06-15,58
2024-06-16,65
2024-06-17,51
2024-06-18,50
2024-06-19,52
2024-06-20,52
2024-06-21,52
2024-06-22,58
2024-06-23,61
2024-06-24,53
2024-06-25,49
2024-06-26,50
2024-06-27,48
2024-06-28,48
2024-06-29,57
2024-06-30,59
2024-07-01,51
2024-07-02,51
2024-07-03,55
2024-07-04,58
2024-07-05,55
2024-07-06,63
2024-07-07,65
2024-07-08,49
2024-07-09,53
2024-07-10,52
2024-07-11,53
2024-07-12,56
2024-07-13,53
2024-07-14,59
2024-07-15,47
2024-07-16,49
2024-07-17,51
2024-07-18,53
2024-07-19,55
2024-07-20,61
2024-07-21,63
2024-07-22,56
2024-07-23,52
2024-07-24,51
2024-07-25,94
2024-07-26,63
2024-07-27,68
2024-07-28,71
2024-07-29,52
2024-07-30,53
2024-07-31,52
2024-08-01,52
2024-08-02,51
2024-08-03,69
2024-08-04,67
2024-08-05,50
2024-08-06,54
2024-08-07,54
2024-08-08,52
2024-08-09,51
2024-08-10,63
2024-08-11,67
2024-08-12,53
2024-08-13,53
2024-08-14,53
2024-08-15,52
2024-08-16,52
2024-08-17,63
2024-08-18,69
2024-08-19,56
2024-08-20,51
2024-08-21,52
2024-08-22,52
2024-08-23,58
2024-08-24,69
2024-08-25,76
2024-08-26,57
2024-08-27,55
2024-08-28,55
2024-08-29,58
2024-08-30,64
2024-08-31,74
2024-09-01,88
2024-09-02,90
2024-09-03,62
2024-09-04,60
2024-09-05,63
2024-09-06,66
2024-09-07,88
2024-09-08,92
2024-09-09,66
2024-09-10,60
2024-09-11,62
2024-09-12,64
2024-09-13,77
2024-09-14,96
2024-09-15,91
2024-09-16,68
