Time,nashville weather
2022-01-01,93
2022-01-02,68
2022-01-03,56
2022-01-04,35
2022-01-05,57
2022-01-06,98
2022-01-07,63
2022-01-08,34
2022-01-09,31
2022-01-10,22
2022-01-11,25
2022-01-12,29
2022-01-13,42
2022-01-14,53
2022-01-15,82
2022-01-16,100
2022-01-17,45
2022-01-18,27
2022-01-19,36
2022-01-20,46
2022-01-21,30
2022-01-22,82
2022-01-23,31
2022-01-24,26
2022-01-25,17
2022-01-26,20
2022-01-27,20
2022-01-28,32
2022-01-29,29
2022-01-30,22
2022-01-31,24
2022-02-01,28
2022-02-02,44
2022-02-03,62
2022-02-04,55
2022-02-05,23
2022-02-06,22
2022-02-07,19
2022-02-08,18
2022-02-09,18
2022-02-10,17
2022-02-11,21
2022-02-12,22
2022-02-13,21
2022-02-14,18
2022-02-15,22
2022-02-16,27
2022-02-17,70
2022-02-18,32
2022-02-19,24
2022-02-20,24
2022-02-21,29
2022-02-22,42
2022-02-23,36
2022-02-24,37
2022-02-25,27
2022-02-26,28
2022-02-27,28
2022-02-28,20
2022-03-01,18
2022-03-02,18
2022-03-03,20
2022-03-04,20
2022-03-05,23
2022-03-06,27
2022-03-07,35
2022-03-08,24
2022-03-09,26
2022-03-10,31
2022-03-11,42
2022-03-12,54
2022-03-13,26
2022-03-14,21
2022-03-15,22
2022-03-16,23
2022-03-17,22
2022-03-18,30
2022-03-19,25
2022-03-20,23
2022-03-21,23
2022-03-22,34
2022-03-23,32
2022-03-24,21
2022-03-25,23
2022-03-26,22
2022-03-27,20
2022-03-28,21
2022-03-29,21
2022-03-30,48
2022-03-31,45
2022-04-01,20
2022-04-02,23
2022-04-03,22
2022-04-04,22
2022-04-05,25
2022-04-06,32
2022-04-07,23
2022-04-08,32
2022-04-09,27
2022-04-10,24
2022-04-11,30
2022-04-12,47
2022-04-13,45
2022-04-14,48
2022-04-15,23
2022-04-16,28
2022-04-17,23
2022-04-18,23
2022-04-19,17
2022-04-20,19
2022-04-21,20
2022-04-22,16
2022-04-23,13
2022-04-24,19
2022-04-25,27
2022-04-26,19
2022-04-27,17
2022-04-28,17
2022-04-29,19
2022-04-30,19
2022-05-01,22
2022-05-02,16
2022-05-03,24
2022-05-04,19
2022-05-05,29
2022-05-06,33
2022-05-07,22
2022-05-08,14
2022-05-09,16
2022-05-10,13
2022-05-11,14
2022-05-12,14
2022-05-13,18
2022-05-14,21
2022-05-15,21
2022-05-16,15
2022-05-17,12
2022-05-18,14
2022-05-19,16
2022-05-20,15
2022-05-21,29
2022-05-22,34
2022-05-23,21
2022-05-24,24
2022-05-25,25
2022-05-26,26
2022-05-27,22
2022-05-28,18
2022-05-29,12
2022-05-30,13
2022-05-31,11
2022-06-01,15
2022-06-02,18
2022-06-03,14
2022-06-04,12
2022-06-05,14
2022-06-06,24
2022-06-07,27
2022-06-08,24
2022-06-09,14
2022-06-10,17
2022-06-11,12
2022-06-12,16
2022-06-13,16
2022-06-14,18
2022-06-15,16
2022-06-16,16
2022-06-17,27
2022-06-18,14
2022-06-19,13
2022-06-20,14
2022-06-21,14
2022-06-22,16
2022-06-23,16
2022-06-24,14
2022-06-25,21
2022-06-26,50
2022-06-27,28
2022-06-28,16
2022-06-29,13
2022-06-30,24
2022-07-01,16
2022-07-02,23
2022-07-03,26
2022-07-04,16
2022-07-05,16
2022-07-06,21
2022-07-07,23
2022-07-08,23
2022-07-09,32
2022-07-10,17
2022-07-11,12
2022-07-12,16
2022-07-13,15
2022-07-14,11
2022-07-15,13
2022-07-16,13
2022-07-17,20
2022-07-18,23
2022-07-19,16
2022-07-20,16
2022-07-21,19
2022-07-22,13
2022-07-23,14
2022-07-24,17
2022-07-25,22
2022-07-26,26
2022-07-27,19
2022-07-28,30
2022-07-29,29
2022-07-30,24
2022-07-31,27
2022-08-01,18
2022-08-02,14
2022-08-03,14
2022-08-04,19
2022-08-05,22
2022-08-06,24
2022-08-07,27
2022-08-08,17
2022-08-09,19
2022-08-10,23
2022-08-11,18
2022-08-12,12
2022-08-13,11
2022-08-14,14
2022-08-15,12
2022-08-16,18
2022-08-17,15
2022-08-18,12
2022-08-19,16
2022-08-20,26
2022-08-21,19
2022-08-22,12
2022-08-23,12
2022-08-24,12
2022-08-25,12
2022-08-26,15
2022-08-27,12
2022-08-28,14
2022-08-29,21
2022-08-30,16
2022-08-31,11
2022-09-01,13
2022-09-02,20
2022-09-03,29
2022-09-04,25
2022-09-05,21
2022-09-06,18
2022-09-07,17
2022-09-08,16
2022-09-09,17
2022-09-10,26
2022-09-11,25
2022-09-12,15
2022-09-13,12
2022-09-14,13
2022-09-15,11
2022-09-16,12
2022-09-17,12
2022-09-18,12
2022-09-19,13
2022-09-20,16
2022-09-21,16
2022-09-22,18
2022-09-23,16
2022-09-24,23
2022-09-25,24
2022-09-26,18
2022-09-27,19
