Time,pizza hut
2022-01-01,92
2022-01-02,75
2022-01-03,51
2022-01-04,50
2022-01-05,45
2022-01-06,39
2022-01-07,59
2022-01-08,74
2022-01-09,69
2022-01-10,41
2022-01-11,37
2022-01-12,35
2022-01-13,44
2022-01-14,46
2022-01-15,73
2022-01-16,67
2022-01-17,43
2022-01-18,32
2022-01-19,34
2022-01-20,36
2022-01-21,53
2022-01-22,77
2022-01-23,65
2022-01-24,46
2022-01-25,29
2022-01-26,33
2022-01-27,40
2022-01-28,58
2022-01-29,75
2022-01-30,73
2022-01-31,41
2022-02-01,41
2022-02-02,43
2022-02-03,53
2022-02-04,68
2022-02-05,74
2022-02-06,70
2022-02-07,40
2022-02-08,37
2022-02-09,51
2022-02-10,38
2022-02-11,59
2022-02-12,72
2022-02-13,100
2022-02-14,57
2022-02-15,46
2022-02-16,37
2022-02-17,40
2022-02-18,55
2022-02-19,72
2022-02-20,67
2022-02-21,49
2022-02-22,38
2022-02-23,42
2022-02-24,46
2022-02-25,58
2022-02-26,73
2022-02-27,71
2022-02-28,42
2022-03-01,40
2022-03-02,41
2022-03-03,43
2022-03-04,55
2022-03-05,72
2022-03-06,67
2022-03-07,41
2022-03-08,37
2022-03-09,40
2022-03-10,42
2022-03-11,54
2022-03-12,67
2022-03-13,66
2022-03-14,46
2022-03-15,43
2022-03-16,45
2022-03-17,47
2022-03-18,61
2022-03-19,73
2022-03-20,68
2022-03-21,44
2022-03-22,42
2022-03-23,44
2022-03-24,46
2022-03-25,56
2022-03-26,71
2022-03-27,69
2022-03-28,38
2022-03-29,38
2022-03-30,42
2022-03-31,44
2022-04-01,56
2022-04-02,80
2022-04-03,69
2022-04-04,42
2022-04-05,42
2022-04-06,40
2022-04-07,43
2022-04-08,57
2022-04-09,71
2022-04-10,65
2022-04-11,43
2022-04-12,38
2022-04-13,41
2022-04-14,46
2022-04-15,61
2022-04-16,68
2022-04-17,69
2022-04-18,44
2022-04-19,39
2022-04-20,41
2022-04-21,43
2022-04-22,55
2022-04-23,71
2022-04-24,67
2022-04-25,41
2022-04-26,36
2022-04-27,38
2022-04-28,44
2022-04-29,57
2022-04-30,75
2022-05-01,72
2022-05-02,39
2022-05-03,39
2022-05-04,40
2022-05-05,42
2022-05-06,53
2022-05-07,68
2022-05-08,72
2022-05-09,37
2022-05-10,35
2022-05-11,38
2022-05-12,41
2022-05-13,56
2022-05-14,71
2022-05-15,66
2022-05-16,37
2022-05-17,36
2022-05-18,37
2022-05-19,41
2022-05-20,56
2022-05-21,70
2022-05-22,69
2022-05-23,40
2022-05-24,38
2022-05-25,42
2022-05-26,45
2022-05-27,57
2022-05-28,68
2022-05-29,69
2022-05-30,66
2022-05-31,42
2022-06-01,44
2022-06-02,45
2022-06-03,62
2022-06-04,79
2022-06-05,71
2022-06-06,47
2022-06-07,43
2022-06-08,43
2022-06-09,46
2022-06-10,58
2022-06-11,67
2022-06-12,66
2022-06-13,45
2022-06-14,47
2022-06-15,45
2022-06-16,48
2022-06-17,56
2022-06-18,71
2022-06-19,65
2022-06-20,45
2022-06-21,42
2022-06-22,45
2022-06-23,49
2022-06-24,58
2022-06-25,71
2022-06-26,71
2022-06-27,46
2022-06-28,43
2022-06-29,46
2022-06-30,51
2022-07-01,62
2022-07-02,71
2022-07-03,70
2022-07-04,72
2022-07-05,50
2022-07-06,44
2022-07-07,47
2022-07-08,58
2022-07-09,74
2022-07-10,64
2022-07-11,45
2022-07-12,48
2022-07-13,44
2022-07-14,47
2022-07-15,57
2022-07-16,68
2022-07-17,66
2022-07-18,44
2022-07-19,44
2022-07-20,44
2022-07-21,46
2022-07-22,58
2022-07-23,67
2022-07-24,67
2022-07-25,44
2022-07-26,43
2022-07-27,44
2022-07-28,47
2022-07-29,60
2022-07-30,67
2022-07-31,67
2022-08-01,47
2022-08-02,43
2022-08-03,46
2022-08-04,45
2022-08-05,59
2022-08-06,66
2022-08-07,65
2022-08-08,42
2022-08-09,41
2022-08-10,43
2022-08-11,45
2022-08-12,54
2022-08-13,66
2022-08-14,63
2022-08-15,41
2022-08-16,39
2022-08-17,40
2022-08-18,42
2022-08-19,53
2022-08-20,65
2022-08-21,61
2022-08-22,37
2022-08-23,38
2022-08-24,38
2022-08-25,40
2022-08-26,51
2022-08-27,61
2022-08-28,61
2022-08-29,38
2022-08-30,38
2022-08-31,40
2022-09-01,43
2022-09-02,55
2022-09-03,70
2022-09-04,66
2022-09-05,62
2022-09-06,38
2022-09-07,35
2022-09-08,41
2022-09-09,49
2022-09-10,63
2022-09-11,62
2022-09-12,34
2022-09-13,32
2022-09-14,35
2022-09-15,39
2022-09-16,50
2022-09-17,63
2022-09-18,62
2022-09-19,36
2022-09-20,32
2022-09-21,33
2022-09-22,38
2022-09-23,50
2022-09-24,64
2022-09-25,64
2022-09-26,35
2022-09-27,33
