Time,pizza hut
2024-08-18,66
2024-08-19,41
2024-08-20,39
2024-08-21,38
2024-08-22,45
2024-08-23,59
2024-08-24,70
2024-08-25,71
2024-08-26,40
2024-08-27,37
2024-08-28,41
2024-08-29,45
2024-08-30,66
2024-08-31,80
2024-09-01,75
2024-09-02,68
2024-09-03,41
2024-09-04,39
2024-09-05,46
2024-09-06,58
2024-09-07,73
2024-09-08,76
2024-09-09,39
2024-09-10,36
2024-09-11,38
2024-09-12,42
2024-09-13,55
2024-09-14,73
2024-09-15,65
2024-09-16,37
2024-09-17,35
2024-09-18,36
2024-09-19,37
2024-09-20,51
2024-09-21,68
2024-09-22,62
2024-09-23,35
2024-09-24,34
2024-09-25,35
2024-09-26,42
2024-09-27,60
2024-09-28,75
2024-09-29,68
2024-09-30,37
2024-10-01,35
2024-10-02,39
2024-10-03,42
2024-10-04,48
2024-10-05,65
2024-10-06,61
2024-10-07,35
2024-10-08,35
2024-10-09,37
2024-10-10,40
2024-10-11,55
2024-10-12,72
2024-10-13,63
2024-10-14,39
2024-10-15,36
2024-10-16,35
2024-10-17,36
2024-10-18,48
2024-10-19,60
2024-10-20,54
2024-10-21,34
2024-10-22,34
2024-10-23,36
2024-10-24,39
2024-10-25,49
2024-10-26,63
2024-10-27,59
2024-10-28,34
2024-10-29,33
2024-10-30,37
2024-10-31,50
2024-11-01,58
2024-11-02,59
2024-11-03,52
2024-11-04,33
2024-11-05,32
2024-11-06,25
2024-11-07,31
2024-11-08,45
2024-11-09,54
2024-11-10,54
2024-11-11,36
2024-11-12,34
2024-11-13,36
2024-11-14,38
2024-11-15,44
2024-11-16,61
2024-11-17,52
2024-11-18,32
2024-11-19,29
2024-11-20,34
2024-11-21,36
2024-11-22,43
2024-11-23,55
2024-11-24,57
2024-11-25,38
2024-11-26,36
2024-11-27,47
2024-11-28,45
2024-11-29,40
2024-11-30,53
2024-12-01,59
2024-12-02,36
2024-12-03,31
2024-12-04,34
2024-12-05,36
2024-12-06,48
2024-12-07,60
2024-12-08,60
2024-12-09,32
2024-12-10,34
2024-12-11,36
2024-12-12,39
2024-12-13,44
2024-12-14,63
2024-12-15,64
2024-12-16,36
2024-12-17,35
2024-12-18,37
2024-12-19,41
2024-12-20,50
2024-12-21,67
2024-12-22,61
2024-12-23,49
2024-12-24,83
2024-12-25,77
2024-12-26,50
2024-12-27,55
2024-12-28,60
2024-12-29,61
2024-12-30,45
2024-12-31,65
2025-01-01,76
2025-01-02,40
2025-01-03,44
2025-01-04,53
2025-01-05,58
2025-01-06,40
2025-01-07,33
2025-01-08,34
2025-01-09,36
2025-01-10,46
2025-01-11,59
2025-01-12,56
2025-01-13,33
2025-01-14,36
2025-01-15,31
2025-01-16,34
2025-01-17,44
2025-01-18,62
2025-01-19,58
2025-01-20,46
2025-01-21,38
2025-01-22,36
2025-01-23,35
2025-01-24,39
2025-01-25,53
2025-01-26,61
2025-01-27,34
2025-01-28,30
2025-01-29,31
2025-01-30,33
2025-01-31,42
2025-02-01,59
2025-02-02,52
2025-02-03,30
2025-02-04,32
2025-02-05,34
2025-02-06,34
2025-02-07,42
2025-02-08,57
2025-02-09,100
2025-02-10,32
2025-02-11,30
2025-02-12,31
2025-02-13,38
2025-02-14,64
2025-02-15,77
2025-02-16,52
2025-02-17,37
2025-02-18,32
2025-02-19,36
2025-02-20,37
2025-02-21,42
2025-02-22,59
2025-02-23,56
2025-02-24,33
2025-02-25,31
2025-02-26,33
2025-02-27,36
2025-02-28,42
2025-03-01,63
2025-03-02,55
2025-03-03,38
2025-03-04,33
2025-03-05,38
2025-03-06,35
2025-03-07,40
2025-03-08,57
2025-03-09,53
2025-03-10,32
2025-03-11,33
2025-03-12,33
2025-03-13,35
2025-03-14,54
2025-03-15,57
2025-03-16,52
2025-03-17,30
2025-03-18,32
2025-03-19,36
2025-03-20,36
2025-03-21,40
2025-03-22,50
2025-03-23,51
2025-03-24,31
2025-03-25,35
2025-03-26,35
2025-03-27,38
2025-03-28,51
2025-03-29,65
2025-03-30,63
2025-03-31,38
2025-04-01,33
2025-04-02,37
2025-04-03,38
2025-04-04,45
2025-04-05,64
2025-04-06,57
2025-04-07,36
2025-04-08,31
2025-04-09,33
2025-04-10,40
2025-04-11,46
2025-04-12,55
2025-04-13,48
2025-04-14,31
2025-04-15,31
2025-04-16,34
2025-04-17,38
2025-04-18,50
2025-04-19,56
2025-04-20,53
2025-04-21,33
2025-04-22,31
2025-04-23,33
2025-04-24,35
2025-04-25,44
2025-04-26,52
2025-04-27,49
2025-04-28,32
2025-04-29,33
2025-04-30,31
2025-05-01,38
2025-05-02,45
2025-05-03,59
2025-05-04,53
2025-05-05,31
2025-05-06,30
2025-05-07,30
2025-05-08,33
2025-05-09,42
2025-05-10,49
2025-05-11,53
2025-05-12,35
2025-05-13,32
2025-05-14,31
