Time,pizza hut
2022-08-29,38
2022-08-30,38
2022-08-31,40
2022-09-01,44
2022-09-02,55
2022-09-03,71
2022-09-04,67
2022-09-05,63
2022-09-06,39
2022-09-07,35
2022-09-08,42
2022-09-09,50
2022-09-10,64
2022-09-11,63
2022-09-12,34
2022-09-13,32
2022-09-14,36
2022-09-15,39
2022-09-16,50
2022-09-17,64
2022-09-18,63
2022-09-19,37
2022-09-20,33
2022-09-21,34
2022-09-22,38
2022-09-23,51
2022-09-24,65
2022-09-25,65
2022-09-26,35
2022-09-27,33
2022-09-28,37
2022-09-29,42
2022-09-30,56
2022-10-01,68
2022-10-02,63
2022-10-03,37
2022-10-04,34
2022-10-05,36
2022-10-06,38
2022-10-07,52
2022-10-08,65
2022-10-09,64
2022-10-10,38
2022-10-11,33
2022-10-12,34
2022-10-13,39
2022-10-14,50
2022-10-15,66
2022-10-16,62
2022-10-17,34
2022-10-18,34
2022-10-19,43
2022-10-20,43
2022-10-21,51
2022-10-22,70
2022-10-23,69
2022-10-24,40
2022-10-25,38
2022-10-26,41
2022-10-27,47
2022-10-28,64
2022-10-29,74
2022-10-30,73
2022-10-31,58
2022-11-01,49
2022-11-02,43
2022-11-03,45
2022-11-04,59
2022-11-05,76
2022-11-06,63
2022-11-07,38
2022-11-08,38
2022-11-09,36
2022-11-10,43
2022-11-11,56
2022-11-12,69
2022-11-13,64
2022-11-14,38
2022-11-15,38
2022-11-16,37
2022-11-17,42
2022-11-18,58
2022-11-19,79
2022-11-20,70
2022-11-21,42
2022-11-22,41
2022-11-23,51
2022-11-24,46
2022-11-25,43
2022-11-26,61
2022-11-27,63
2022-11-28,37
2022-11-29,36
2022-11-30,37
2022-12-01,42
2022-12-02,53
2022-12-03,73
2022-12-04,70
2022-12-05,38
2022-12-06,37
2022-12-07,37
2022-12-08,41
2022-12-09,50
2022-12-10,68
2022-12-11,72
2022-12-12,41
2022-12-13,35
2022-12-14,38
2022-12-15,43
2022-12-16,51
2022-12-17,69
2022-12-18,67
2022-12-19,44
2022-12-20,43
2022-12-21,46
2022-12-22,55
2022-12-23,64
2022-12-24,87
2022-12-25,68
2022-12-26,62
2022-12-27,52
2022-12-28,50
2022-12-29,53
2022-12-30,65
2022-12-31,79
2023-01-01,78
2023-01-02,58
2023-01-03,38
2023-01-04,37
2023-01-05,38
2023-01-06,49
2023-01-07,63
2023-01-08,58
2023-01-09,36
2023-01-10,34
2023-01-11,38
2023-01-12,40
2023-01-13,50
2023-01-14,65
2023-01-15,65
2023-01-16,45
2023-01-17,34
2023-01-18,32
2023-01-19,35
2023-01-20,50
2023-01-21,68
2023-01-22,67
2023-01-23,36
2023-01-24,33
2023-01-25,36
2023-01-26,37
2023-01-27,48
2023-01-28,68
2023-01-29,69
2023-01-30,37
2023-01-31,38
2023-02-01,41
2023-02-02,45
2023-02-03,56
2023-02-04,70
2023-02-05,65
2023-02-06,37
2023-02-07,36
2023-02-08,39
2023-02-09,44
2023-02-10,54
2023-02-11,69
2023-02-12,100
2023-02-13,39
2023-02-14,49
2023-02-15,43
2023-02-16,39
2023-02-17,53
2023-02-18,67
2023-02-19,63
2023-02-20,43
2023-02-21,34
2023-02-22,37
2023-02-23,42
2023-02-24,54
2023-02-25,70
2023-02-26,67
2023-02-27,40
2023-02-28,34
2023-03-01,39
2023-03-02,42
2023-03-03,52
2023-03-04,65
2023-03-05,63
2023-03-06,36
2023-03-07,34
2023-03-08,38
2023-03-09,39
2023-03-10,51
2023-03-11,62
2023-03-12,64
2023-03-13,38
2023-03-14,41
2023-03-15,38
2023-03-16,41
2023-03-17,53
2023-03-18,63
2023-03-19,60
2023-03-20,35
2023-03-21,32
2023-03-22,33
2023-03-23,37
2023-03-24,52
2023-03-25,61
2023-03-26,59
2023-03-27,35
2023-03-28,33
2023-03-29,36
2023-03-30,38
2023-03-31,52
2023-04-01,67
2023-04-02,61
2023-04-03,35
2023-04-04,31
2023-04-05,36
2023-04-06,41
2023-04-07,52
2023-04-08,57
2023-04-09,55
2023-04-10,34
2023-04-11,33
2023-04-12,38
2023-04-13,37
2023-04-14,48
2023-04-15,59
2023-04-16,58
2023-04-17,32
2023-04-18,30
2023-04-19,33
2023-04-20,36
2023-04-21,50
2023-04-22,61
2023-04-23,58
2023-04-24,30
2023-04-25,32
2023-04-26,34
2023-04-27,37
2023-04-28,49
2023-04-29,61
2023-04-30,58
2023-05-01,34
2023-05-02,33
2023-05-03,31
2023-05-04,37
2023-05-05,44
2023-05-06,56
2023-05-07,56
2023-05-08,32
2023-05-09,27
2023-05-10,33
2023-05-11,34
2023-05-12,48
2023-05-13,58
2023-05-14,52
2023-05-15,33
2023-05-16,31
2023-05-17,32
2023-05-18,39
2023-05-19,50
2023-05-20,60
2023-05-21,64
2023-05-22,37
2023-05-23,33
2023-05-24,38
2023-05-25,43
