Time,google
2022-01-01,29
2022-01-02,30
2022-01-03,37
2022-01-04,46
2022-01-05,43
2022-01-06,36
2022-01-07,39
2022-01-08,33
2022-01-09,31
2022-01-10,42
2022-01-11,44
2022-01-12,44
2022-01-13,49
2022-01-14,35
2022-01-15,32
2022-01-16,28
2022-01-17,31
2022-01-18,38
2022-01-19,42
2022-01-20,41
2022-01-21,40
2022-01-22,33
2022-01-23,31
2022-01-24,44
2022-01-25,39
2022-01-26,40
2022-01-27,40
2022-01-28,44
2022-01-29,33
2022-01-30,32
2022-01-31,44
2022-02-01,47
2022-02-02,47
2022-02-03,45
2022-02-04,43
2022-02-05,33
2022-02-06,32
2022-02-07,46
2022-02-08,46
2022-02-09,45
2022-02-10,38
2022-02-11,43
2022-02-12,35
2022-02-13,32
2022-02-14,41
2022-02-15,47
2022-02-16,47
2022-02-17,44
2022-02-18,43
2022-02-19,33
2022-02-20,34
2022-02-21,39
2022-02-22,43
2022-02-23,43
2022-02-24,44
2022-02-25,41
2022-02-26,36
2022-02-27,35
2022-02-28,44
2022-03-01,47
2022-03-02,46
2022-03-03,44
2022-03-04,45
2022-03-05,33
2022-03-06,34
2022-03-07,44
2022-03-08,45
2022-03-09,45
2022-03-10,44
2022-03-11,41
2022-03-12,33
2022-03-13,33
2022-03-14,42
2022-03-15,43
2022-03-16,41
2022-03-17,40
2022-03-18,41
2022-03-19,32
2022-03-20,32
2022-03-21,44
2022-03-22,44
2022-03-23,41
2022-03-24,45
2022-03-25,55
2022-03-26,35
2022-03-27,36
2022-03-28,57
2022-03-29,59
2022-03-30,42
2022-03-31,58
2022-04-01,59
2022-04-02,35
2022-04-03,36
2022-04-04,58
2022-04-05,58
2022-04-06,56
2022-04-07,58
2022-04-08,54
2022-04-09,36
2022-04-10,35
2022-04-11,58
2022-04-12,61
2022-04-13,56
2022-04-14,54
2022-04-15,43
2022-04-16,34
2022-04-17,35
2022-04-18,52
2022-04-19,56
2022-04-20,59
2022-04-21,58
2022-04-22,55
2022-04-23,35
2022-04-24,34
2022-04-25,62
2022-04-26,60
2022-04-27,57
2022-04-28,58
2022-04-29,55
2022-04-30,38
2022-05-01,36
2022-05-02,59
2022-05-03,58
2022-05-04,58
2022-05-05,57
2022-05-06,53
2022-05-07,34
2022-05-08,35
2022-05-09,57
2022-05-10,58
2022-05-11,58
2022-05-12,61
2022-05-13,54
2022-05-14,34
2022-05-15,34
2022-05-16,57
2022-05-17,58
2022-05-18,57
2022-05-19,59
2022-05-20,53
2022-05-21,34
2022-05-22,34
2022-05-23,54
2022-05-24,54
2022-05-25,52
2022-05-26,51
2022-05-27,47
2022-05-28,33
2022-05-29,32
2022-05-30,33
2022-05-31,51
2022-06-01,52
2022-06-02,47
2022-06-03,47
2022-06-04,32
2022-06-05,35
2022-06-06,48
2022-06-07,47
2022-06-08,48
2022-06-09,44
2022-06-10,43
2022-06-11,33
2022-06-12,32
2022-06-13,44
2022-06-14,45
2022-06-15,43
2022-06-16,44
2022-06-17,39
2022-06-18,31
2022-06-19,30
2022-06-20,38
2022-06-21,42
2022-06-22,41
2022-06-23,42
2022-06-24,38
2022-06-25,32
2022-06-26,31
2022-06-27,40
2022-06-28,40
2022-06-29,41
2022-06-30,40
2022-07-01,38
2022-07-02,31
2022-07-03,30
2022-07-04,31
2022-07-05,37
2022-07-06,39
2022-07-07,39
2022-07-08,39
2022-07-09,31
2022-07-10,32
2022-07-11,41
2022-07-12,39
2022-07-13,40
2022-07-14,39
2022-07-15,38
2022-07-16,32
2022-07-17,31
2022-07-18,40
2022-07-19,40
2022-07-20,43
2022-07-21,41
2022-07-22,38
2022-07-23,31
2022-07-24,32
2022-07-25,40
2022-07-26,43
2022-07-27,40
2022-07-28,41
2022-07-29,39
2022-07-30,30
2022-07-31,33
2022-08-01,39
2022-08-02,42
2022-08-03,42
2022-08-04,41
2022-08-05,40
2022-08-06,31
2022-08-07,31
2022-08-08,42
2022-08-09,44
2022-08-10,44
2022-08-11,44
2022-08-12,43
2022-08-13,31
2022-08-14,33
2022-08-15,47
2022-08-16,100
2022-08-17,60
2022-08-18,51
2022-08-19,49
2022-08-20,32
2022-08-21,33
2022-08-22,52
2022-08-23,54
2022-08-24,54
2022-08-25,55
2022-08-26,52
2022-08-27,33
2022-08-28,34
2022-08-29,56
2022-08-30,56
2022-08-31,54
2022-09-01,56
2022-09-02,52
2022-09-03,32
2022-09-04,32
2022-09-05,34
2022-09-06,57
2022-09-07,59
2022-09-08,60
2022-09-09,57
2022-09-10,32
2022-09-11,34
2022-09-12,60
2022-09-13,62
2022-09-14,59
2022-09-15,61
2022-09-16,57
2022-09-17,34
2022-09-18,34
2022-09-19,58
2022-09-20,61
2022-09-21,61
2022-09-22,59
2022-09-23,56
2022-09-24,34
2022-09-25,33
2022-09-26,54
2022-09-27,59
