Time,breaking news
2024-08-18,54
2024-08-19,59
2024-08-20,60
2024-08-21,58
2024-08-22,56
2024-08-23,56
2024-08-24,49
2024-08-25,54
2024-08-26,54
2024-08-27,55
2024-08-28,55
2024-08-29,52
2024-08-30,53
2024-08-31,44
2024-09-01,51
2024-09-02,51
2024-09-03,52
2024-09-04,62
2024-09-05,56
2024-09-06,54
2024-09-07,48
2024-09-08,52
2024-09-09,50
2024-09-10,54
2024-09-11,63
2024-09-12,62
2024-09-13,55
2024-09-14,49
2024-09-15,73
2024-09-16,63
2024-09-17,61
2024-09-18,61
2024-09-19,59
2024-09-20,57
2024-09-21,49
2024-09-22,51
2024-09-23,57
2024-09-24,55
2024-09-25,55
2024-09-26,57
2024-09-27,67
2024-09-28,58
2024-09-29,51
2024-09-30,57
2024-10-01,75
2024-10-02,67
2024-10-03,63
2024-10-04,59
2024-10-05,52
2024-10-06,53
2024-10-07,57
2024-10-08,59
2024-10-09,59
2024-10-10,63
2024-10-11,53
2024-10-12,51
2024-10-13,48
2024-10-14,52
2024-10-15,54
2024-10-16,52
2024-10-17,56
2024-10-18,51
2024-10-19,47
2024-10-20,50
2024-10-21,53
2024-10-22,53
2024-10-23,55
2024-10-24,53
2024-10-25,54
2024-10-26,51
2024-10-27,50
2024-10-28,55
2024-10-29,52
2024-10-30,50
2024-10-31,55
2024-11-01,55
2024-11-02,50
2024-11-03,52
2024-11-04,57
2024-11-05,74
2024-11-06,79
2024-11-07,59
2024-11-08,55
2024-11-09,51
2024-11-10,50
2024-11-11,51
2024-11-12,54
2024-11-13,54
2024-11-14,50
2024-11-15,48
2024-11-16,43
2024-11-17,44
2024-11-18,50
2024-11-19,52
2024-11-20,55
2024-11-21,55
2024-11-22,50
2024-11-23,42
2024-11-24,41
2024-11-25,45
2024-11-26,46
2024-11-27,46
2024-11-28,41
2024-11-29,43
2024-11-30,38
2024-12-01,41
2024-12-02,42
2024-12-03,46
2024-12-04,51
2024-12-05,55
2024-12-06,49
2024-12-07,43
2024-12-08,52
2024-12-09,56
2024-12-10,52
2024-12-11,48
2024-12-12,49
2024-12-13,48
2024-12-14,44
2024-12-15,47
2024-12-16,59
2024-12-17,56
2024-12-18,51
2024-12-19,49
2024-12-20,56
2024-12-21,47
2024-12-22,47
2024-12-23,47
2024-12-24,48
2024-12-25,45
2024-12-26,50
2024-12-27,50
2024-12-28,43
2024-12-29,46
2024-12-30,49
2024-12-31,47
2025-01-01,71
2025-01-02,79
2025-01-03,58
2025-01-04,48
2025-01-05,48
2025-01-06,52
2025-01-07,51
2025-01-08,59
2025-01-09,60
2025-01-10,58
2025-01-11,51
2025-01-12,50
2025-01-13,52
2025-01-14,54
2025-01-15,53
2025-01-16,51
2025-01-17,49
2025-01-18,47
2025-01-19,45
2025-01-20,61
2025-01-21,62
2025-01-22,59
2025-01-23,56
2025-01-24,53
2025-01-25,51
2025-01-26,47
2025-01-27,56
2025-01-28,60
2025-01-29,61
2025-01-30,100
2025-01-31,63
2025-02-01,75
2025-02-02,63
2025-02-03,65
2025-02-04,58
2025-02-05,63
2025-02-06,60
2025-02-07,57
2025-02-08,51
2025-02-09,51
2025-02-10,54
2025-02-11,56
2025-02-12,54
2025-02-13,56
2025-02-14,53
2025-02-15,48
2025-02-16,50
2025-02-17,57
2025-02-18,55
2025-02-19,57
2025-02-20,57
2025-02-21,52
2025-02-22,49
2025-02-23,52
2025-02-24,54
2025-02-25,56
2025-02-26,55
2025-02-27,57
2025-02-28,63
2025-03-01,60
2025-03-02,52
2025-03-03,54
2025-03-04,59
2025-03-05,59
2025-03-06,54
2025-03-07,50
2025-03-08,47
2025-03-09,48
2025-03-10,55
2025-03-11,55
2025-03-12,55
2025-03-13,57
2025-03-14,57
2025-03-15,49
2025-03-16,52
2025-03-17,52
2025-03-18,53
2025-03-19,58
2025-03-20,51
2025-03-21,49
2025-03-22,42
2025-03-23,43
2025-03-24,46
2025-03-25,51
2025-03-26,50
2025-03-27,50
2025-03-28,50
2025-03-29,47
2025-03-30,49
2025-03-31,49
2025-04-01,50
2025-04-02,54
2025-04-03,53
2025-04-04,53
2025-04-05,47
2025-04-06,45
2025-04-07,54
2025-04-08,52
2025-04-09,60
2025-04-10,56
2025-04-11,56
2025-04-12,44
2025-04-13,44
2025-04-14,54
2025-04-15,55
2025-04-16,51
2025-04-17,58
2025-04-18,51
2025-04-19,45
2025-04-20,44
2025-04-21,57
2025-04-22,51
2025-04-23,50
2025-04-24,48
2025-04-25,47
2025-04-26,41
2025-04-27,45
2025-04-28,48
2025-04-29,51
2025-04-30,47
2025-05-01,50
2025-05-02,47
2025-05-03,41
2025-05-04,41
2025-05-05,48
2025-05-06,50
2025-05-07,53
2025-05-08,56
2025-05-09,47
2025-05-10,44
2025-05-11,43
2025-05-12,48
2025-05-13,47
2025-05-14,44
