Time,breaking news
2023-04-26,61
2023-04-27,67
2023-04-28,60
2023-04-29,58
2023-04-30,61
2023-05-01,63
2023-05-02,64
2023-05-03,65
2023-05-04,65
2023-05-05,60
2023-05-06,61
2023-05-07,68
2023-05-08,61
2023-05-09,74
2023-05-10,69
2023-05-11,65
2023-05-12,61
2023-05-13,62
2023-05-14,60
2023-05-15,71
2023-05-16,63
2023-05-17,66
2023-05-18,63
2023-05-19,62
2023-05-20,57
2023-05-21,60
2023-05-22,61
2023-05-23,62
2023-05-24,69
2023-05-25,63
2023-05-26,65
2023-05-27,57
2023-05-28,62
2023-05-29,62
2023-05-30,63
2023-05-31,63
2023-06-01,75
2023-06-02,61
2023-06-03,58
2023-06-04,62
2023-06-05,60
2023-06-06,64
2023-06-07,68
2023-06-08,64
2023-06-09,74
2023-06-10,63
2023-06-11,63
2023-06-12,67
2023-06-13,69
2023-06-14,63
2023-06-15,65
2023-06-16,66
2023-06-17,62
2023-06-18,61
2023-06-19,65
2023-06-20,67
2023-06-21,78
2023-06-22,96
2023-06-23,71
2023-06-24,79
2023-06-25,76
2023-06-26,69
2023-06-27,68
2023-06-28,65
2023-06-29,65
2023-06-30,67
2023-07-01,61
2023-07-02,65
2023-07-03,62
2023-07-04,66
2023-07-05,69
2023-07-06,63
2023-07-07,61
2023-07-08,60
2023-07-09,56
2023-07-10,61
2023-07-11,61
2023-07-12,60
2023-07-13,66
2023-07-14,64
2023-07-15,58
2023-07-16,63
2023-07-17,63
2023-07-18,68
2023-07-19,66
2023-07-20,64
2023-07-21,64
2023-07-22,60
2023-07-23,63
2023-07-24,65
2023-07-25,66
2023-07-26,68
2023-07-27,70
2023-07-28,66
2023-07-29,61
2023-07-30,61
2023-07-31,65
2023-08-01,71
2023-08-02,68
2023-08-03,69
2023-08-04,66
2023-08-05,62
2023-08-06,66
2023-08-07,70
2023-08-08,64
2023-08-09,74
2023-08-10,66
2023-08-11,65
2023-08-12,61
2023-08-13,66
2023-08-14,63
2023-08-15,73
2023-08-16,68
2023-08-17,73
2023-08-18,74
2023-08-19,63
2023-08-20,68
2023-08-21,74
2023-08-22,65
2023-08-23,75
2023-08-24,69
2023-08-25,65
2023-08-26,65
2023-08-27,65
2023-08-28,73
2023-08-29,71
2023-08-30,75
2023-08-31,65
2023-09-01,61
2023-09-02,60
2023-09-03,60
2023-09-04,60
2023-09-05,60
2023-09-06,61
2023-09-07,62
2023-09-08,62
2023-09-09,58
2023-09-10,58
2023-09-11,57
2023-09-12,62
2023-09-13,70
2023-09-14,63
2023-09-15,59
2023-09-16,53
2023-09-17,55
2023-09-18,66
2023-09-19,60
2023-09-20,57
2023-09-21,60
2023-09-22,57
2023-09-23,58
2023-09-24,57
2023-09-25,57
2023-09-26,58
2023-09-27,61
2023-09-28,63
2023-09-29,61
2023-09-30,63
2023-10-01,59
2023-10-02,65
2023-10-03,67
2023-10-04,70
2023-10-05,67
2023-10-06,59
2023-10-07,73
2023-10-08,76
2023-10-09,82
2023-10-10,80
2023-10-11,82
2023-10-12,77
2023-10-13,96
2023-10-14,80
2023-10-15,74
2023-10-16,73
2023-10-17,75
2023-10-18,78
2023-10-19,80
2023-10-20,77
2023-10-21,82
2023-10-22,67
2023-10-23,69
2023-10-24,69
2023-10-25,72
2023-10-26,100
2023-10-27,82
2023-10-28,80
2023-10-29,72
2023-10-30,81
2023-10-31,66
2023-11-01,67
2023-11-02,64
2023-11-03,63
2023-11-04,62
2023-11-05,62
2023-11-06,64
2023-11-07,69
2023-11-08,68
2023-11-09,68
2023-11-10,61
2023-11-11,58
2023-11-12,60
2023-11-13,66
2023-11-14,65
2023-11-15,72
2023-11-16,65
2023-11-17,64
2023-11-18,54
2023-11-19,61
2023-11-20,61
2023-11-21,61
2023-11-22,68
2023-11-23,55
2023-11-24,58
2023-11-25,55
2023-11-26,56
2023-11-27,56
2023-11-28,59
2023-11-29,58
2023-11-30,62
2023-12-01,55
2023-12-02,51
2023-12-03,53
2023-12-04,65
2023-12-05,58
2023-12-06,64
2023-12-07,58
2023-12-08,56
2023-12-09,56
2023-12-10,58
2023-12-11,56
2023-12-12,60
2023-12-13,61
2023-12-14,57
2023-12-15,55
2023-12-16,51
2023-12-17,53
2023-12-18,56
2023-12-19,58
2023-12-20,61
2023-12-21,63
2023-12-22,60
2023-12-23,55
2023-12-24,54
2023-12-25,57
2023-12-26,62
2023-12-27,59
2023-12-28,57
2023-12-29,63
2023-12-30,54
2023-12-31,58
2024-01-01,66
2024-01-02,62
2024-01-03,60
2024-01-04,65
2024-01-05,61
2024-01-06,54
2024-01-07,54
2024-01-08,58
2024-01-09,64
2024-01-10,70
2024-01-11,81
2024-01-12,63
2024-01-13,55
2024-01-14,55
2024-01-15,59
2024-01-16,63
2024-01-17,59
2024-01-18,60
2024-01-19,55
2024-01-20,52
