Time,amazon.com
2022-01-01,67.0
2022-01-02,76.0
2022-01-03,70.0
2022-01-04,86.0
2022-01-05,77.0
2022-01-06,65.0
2022-01-07,71.0
2022-01-08,74.0
2022-01-09,76.0
2022-01-10,68.0
2022-01-11,69.0
2022-01-12,66.0
2022-01-13,57.0
2022-01-14,61.0
2022-01-15,73.0
2022-01-16,72.0
2022-01-17,65.0
2022-01-18,59.0
2022-01-19,61.0
2022-01-20,62.0
2022-01-21,64.0
2022-01-22,67.0
2022-01-23,66.0
2022-01-24,78.0
2022-01-25,59.0
2022-01-26,61.0
2022-01-27,60.0
2022-01-28,64.0
2022-01-29,75.0
2022-01-30,73.0
2022-01-31,66.0
2022-02-01,68.0
2022-02-02,64.0
2022-02-03,67.0
2022-02-04,67.0
2022-02-05,77.0
2022-02-06,77.0
2022-02-07,68.0
2022-02-08,67.0
2022-02-09,61.0
2022-02-10,76.0
2022-02-11,65.0
2022-02-12,91.0
2022-02-13,65.0
2022-02-14,54.0
2022-02-15,62.0
2022-02-16,62.0
2022-02-17,60.0
2022-02-18,66.0
2022-02-19,70.0
2022-02-20,72.0
2022-02-21,68.0
2022-02-22,65.0
2022-02-23,64.0
2022-02-24,62.0
2022-02-25,64.0
2022-02-26,66.0
2022-02-27,70.0
2022-02-28,67.0
2022-03-01,66.0
2022-03-02,63.0
2022-03-03,62.0
2022-03-04,64.0
2022-03-05,68.0
2022-03-06,69.0
2022-03-07,66.0
2022-03-08,65.0
2022-03-09,63.0
2022-03-10,63.0
2022-03-11,61.0
2022-03-12,68.0
2022-03-13,66.0
2022-03-14,62.0
2022-03-15,63.0
2022-03-16,63.0
2022-03-17,57.0
2022-03-18,60.0
2022-03-19,68.0
2022-03-20,68.0
2022-03-21,61.0
2022-03-22,62.0
2022-03-23,64.0
2022-03-24,61.0
2022-03-25,58.0
2022-03-26,63.0
2022-03-27,67.0
2022-03-28,64.0
2022-03-29,56.0
2022-03-30,62.0
2022-03-31,55.0
2022-04-01,57.0
2022-04-02,68.0
2022-04-03,68.0
2022-04-04,62.0
2022-04-05,58.0
2022-04-06,60.0
2022-04-07,61.0
2022-04-08,59.0
2022-04-09,68.0
2022-04-10,68.0
2022-04-11,62.0
2022-04-12,57.0
2022-04-13,61.0
2022-04-14,58.0
2022-04-15,58.0
2022-04-16,63.0
2022-04-17,60.0
2022-04-18,59.0
2022-04-19,60.0
2022-04-20,55.0
2022-04-21,58.0
2022-04-22,59.0
2022-04-23,64.0
2022-04-24,64.0
2022-04-25,63.0
2022-04-26,60.0
2022-04-27,55.0
2022-04-28,62.0
2022-04-29,56.0
2022-04-30,63.0
2022-05-01,70.0
2022-05-02,59.0
2022-05-03,61.0
2022-05-04,65.0
2022-05-05,60.0
2022-05-06,58.0
2022-05-07,67.0
2022-05-08,65.0
2022-05-09,58.0
2022-05-10,62.0
2022-05-11,57.0
2022-05-12,58.0
2022-05-13,59.0
2022-05-14,69.0
2022-05-15,70.0
2022-05-16,60.0
2022-05-17,62.0
2022-05-18,61.0
2022-05-19,61.0
2022-05-20,61.0
2022-05-21,68.0
2022-05-22,69.0
2022-05-23,62.0
2022-05-24,62.0
2022-05-25,56.0
2022-05-26,60.0
2022-05-27,62.0
2022-05-28,66.0
2022-05-29,66.0
2022-05-30,69.0
2022-05-31,63.0
2022-06-01,63.0
2022-06-02,62.0
2022-06-03,67.0
2022-06-04,71.0
2022-06-05,73.0
2022-06-06,68.0
2022-06-07,67.0
2022-06-08,67.0
2022-06-09,63.0
2022-06-10,67.0
2022-06-11,67.0
2022-06-12,67.0
2022-06-13,68.0
2022-06-14,65.0
2022-06-15,65.0
2022-06-16,68.0
2022-06-17,66.0
2022-06-18,67.0
2022-06-19,68.0
2022-06-20,69.0
2022-06-21,67.0
2022-06-22,67.0
2022-06-23,66.0
2022-06-24,61.0
2022-06-25,67.0
2022-06-26,70.0
2022-06-27,66.0
2022-06-28,66.0
2022-06-29,65.0
2022-06-30,64.0
2022-07-01,67.0
2022-07-02,71.0
2022-07-03,66.0
2022-07-04,65.0
2022-07-05,65.0
2022-07-06,67.0
2022-07-07,73.0
2022-07-08,72.0
2022-07-09,77.0
2022-07-10,74.0
2022-07-11,74.0
2022-07-12,92.0
2022-07-13,100.0
2022-07-14,77.0
2022-07-15,70.0
2022-07-16,74.0
2022-07-17,76.0
2022-07-18,71.0
2022-07-19,70.0
2022-07-20,67.0
2022-07-21,69.0
2022-07-22,66.0
2022-07-23,66.0
2022-07-24,72.0
2022-07-25,68.0
2022-07-26,67.0
2022-07-27,62.0
2022-07-28,66.0
2022-07-29,69.0
2022-07-30,67.0
2022-07-31,73.0
2022-08-01,69.0
2022-08-02,67.0
2022-08-03,66.0
2022-08-04,71.0
2022-08-05,69.0
2022-08-06,71.0
2022-08-07,73.0
2022-08-08,71.0
2022-08-09,69.0
2022-08-10,64.0
2022-08-11,64.0
