Time,subway
2022-08-29,72
2022-08-30,83
2022-08-31,82
2022-09-01,87
2022-09-02,91
2022-09-03,88
2022-09-04,80
2022-09-05,84
2022-09-06,71
2022-09-07,74
2022-09-08,74
2022-09-09,81
2022-09-10,77
2022-09-11,72
2022-09-12,71
2022-09-13,75
2022-09-14,76
2022-09-15,80
2022-09-16,75
2022-09-17,82
2022-09-18,71
2022-09-19,71
2022-09-20,76
2022-09-21,76
2022-09-22,74
2022-09-23,79
2022-09-24,77
2022-09-25,69
2022-09-26,68
2022-09-27,75
2022-09-28,75
2022-09-29,78
2022-09-30,83
2022-10-01,78
2022-10-02,68
2022-10-03,69
2022-10-04,75
2022-10-05,77
2022-10-06,78
2022-10-07,85
2022-10-08,79
2022-10-09,74
2022-10-10,69
2022-10-11,70
2022-10-12,71
2022-10-13,76
2022-10-14,73
2022-10-15,72
2022-10-16,72
2022-10-17,69
2022-10-18,71
2022-10-19,69
2022-10-20,73
2022-10-21,76
2022-10-22,82
2022-10-23,70
2022-10-24,66
2022-10-25,69
2022-10-26,67
2022-10-27,70
2022-10-28,74
2022-10-29,69
2022-10-30,66
2022-10-31,63
2022-11-01,69
2022-11-02,69
2022-11-03,80
2022-11-04,79
2022-11-05,75
2022-11-06,66
2022-11-07,66
2022-11-08,62
2022-11-09,65
2022-11-10,69
2022-11-11,71
2022-11-12,63
2022-11-13,59
2022-11-14,62
2022-11-15,63
2022-11-16,66
2022-11-17,65
2022-11-18,66
2022-11-19,68
2022-11-20,62
2022-11-21,59
2022-11-22,63
2022-11-23,65
2022-11-24,49
2022-11-25,42
2022-11-26,51
2022-11-27,58
2022-11-28,58
2022-11-29,61
2022-11-30,63
2022-12-01,70
2022-12-02,69
2022-12-03,68
2022-12-04,64
2022-12-05,63
2022-12-06,69
2022-12-07,69
2022-12-08,68
2022-12-09,66
2022-12-10,66
2022-12-11,60
2022-12-12,63
2022-12-13,64
2022-12-14,63
2022-12-15,66
2022-12-16,67
2022-12-17,65
2022-12-18,60
2022-12-19,66
2022-12-20,68
2022-12-21,67
2022-12-22,63
2022-12-23,56
2022-12-24,58
2022-12-25,53
2022-12-26,57
2022-12-27,67
2022-12-28,71
2022-12-29,74
2022-12-30,69
2022-12-31,72
2023-01-01,72
2023-01-02,70
2023-01-03,63
2023-01-04,67
2023-01-05,68
2023-01-06,66
2023-01-07,70
2023-01-08,71
2023-01-09,62
2023-01-10,68
2023-01-11,70
2023-01-12,72
2023-01-13,71
2023-01-14,68
2023-01-15,64
2023-01-16,65
2023-01-17,65
2023-01-18,63
2023-01-19,68
2023-01-20,65
2023-01-21,65
2023-01-22,63
2023-01-23,65
2023-01-24,66
2023-01-25,65
2023-01-26,70
2023-01-27,68
2023-01-28,68
2023-01-29,59
2023-01-30,62
2023-01-31,65
2023-02-01,70
2023-02-02,71
2023-02-03,72
2023-02-04,72
2023-02-05,71
2023-02-06,72
2023-02-07,72
2023-02-08,72
2023-02-09,71
2023-02-10,75
2023-02-11,75
2023-02-12,70
2023-02-13,58
2023-02-14,82
2023-02-15,89
2023-02-16,71
2023-02-17,80
2023-02-18,80
2023-02-19,74
2023-02-20,70
2023-02-21,70
2023-02-22,69
2023-02-23,69
2023-02-24,71
2023-02-25,73
2023-02-26,78
2023-02-27,73
2023-02-28,67
2023-03-01,74
2023-03-02,76
2023-03-03,77
2023-03-04,78
2023-03-05,81
2023-03-06,78
2023-03-07,94
2023-03-08,82
2023-03-09,80
2023-03-10,77
2023-03-11,83
2023-03-12,78
2023-03-13,70
2023-03-14,72
2023-03-15,73
2023-03-16,75
2023-03-17,74
2023-03-18,75
2023-03-19,75
2023-03-20,70
2023-03-21,73
2023-03-22,70
2023-03-23,75
2023-03-24,77
2023-03-25,72
2023-03-26,75
2023-03-27,70
2023-03-28,70
2023-03-29,73
2023-03-30,75
2023-03-31,73
2023-04-01,76
2023-04-02,70
2023-04-03,70
2023-04-04,71
2023-04-05,74
2023-04-06,73
2023-04-07,73
2023-04-08,72
2023-04-09,75
2023-04-10,70
2023-04-11,72
2023-04-12,74
2023-04-13,74
2023-04-14,76
2023-04-15,73
2023-04-16,75
2023-04-17,66
2023-04-18,66
2023-04-19,72
2023-04-20,70
2023-04-21,79
2023-04-22,72
2023-04-23,72
2023-04-24,68
2023-04-25,67
2023-04-26,69
2023-04-27,73
2023-04-28,71
2023-04-29,75
2023-04-30,73
2023-05-01,70
2023-05-02,70
2023-05-03,82
2023-05-04,100
2023-05-05,96
2023-05-06,87
2023-05-07,85
2023-05-08,84
2023-05-09,76
2023-05-10,76
2023-05-11,81
2023-05-12,90
2023-05-13,82
2023-05-14,75
2023-05-15,74
2023-05-16,76
2023-05-17,76
2023-05-18,81
2023-05-19,81
2023-05-20,77
2023-05-21,77
2023-05-22,74
2023-05-23,76
2023-05-24,76
2023-05-25,81
