Time,google slides
2023-12-22,23
2023-12-23,11
2023-12-24,10
2023-12-25,9
2023-12-26,11
2023-12-27,11
2023-12-28,12
2023-12-29,12
2023-12-30,11
2023-12-31,11
2024-01-01,12
2024-01-02,30
2024-01-03,47
2024-01-04,57
2024-01-05,51
2024-01-06,16
2024-01-07,20
2024-01-08,66
2024-01-09,65
2024-01-10,75
2024-01-11,72
2024-01-12,64
2024-01-13,17
2024-01-14,15
2024-01-15,24
2024-01-16,57
2024-01-17,76
2024-01-18,75
2024-01-19,63
2024-01-20,20
2024-01-21,22
2024-01-22,69
2024-01-23,74
2024-01-24,78
2024-01-25,76
2024-01-26,74
2024-01-27,22
2024-01-28,24
2024-01-29,77
2024-01-30,85
2024-01-31,86
2024-02-01,91
2024-02-02,80
2024-02-03,22
2024-02-04,27
2024-02-05,85
2024-02-06,79
2024-02-07,90
2024-02-08,86
2024-02-09,74
2024-02-10,25
2024-02-11,28
2024-02-12,72
2024-02-13,82
2024-02-14,81
2024-02-15,92
2024-02-16,65
2024-02-17,24
2024-02-18,24
2024-02-19,42
2024-02-20,78
2024-02-21,81
2024-02-22,85
2024-02-23,72
2024-02-24,25
2024-02-25,30
2024-02-26,93
2024-02-27,91
2024-02-28,90
2024-02-29,91
2024-03-01,78
2024-03-02,24
2024-03-03,29
2024-03-04,82
2024-03-05,84
2024-03-06,80
2024-03-07,84
2024-03-08,66
2024-03-09,23
2024-03-10,25
2024-03-11,69
2024-03-12,66
2024-03-13,70
2024-03-14,69
2024-03-15,58
2024-03-16,20
2024-03-17,24
2024-03-18,75
2024-03-19,79
2024-03-20,81
2024-03-21,71
2024-03-22,62
2024-03-23,21
2024-03-24,26
2024-03-25,65
2024-03-26,69
2024-03-27,66
2024-03-28,62
2024-03-29,33
2024-03-30,18
2024-03-31,19
2024-04-01,54
2024-04-02,69
2024-04-03,68
2024-04-04,65
2024-04-05,58
2024-04-06,21
2024-04-07,26
2024-04-08,65
2024-04-09,81
2024-04-10,79
2024-04-11,79
2024-04-12,66
2024-04-13,24
2024-04-14,29
2024-04-15,86
2024-04-16,87
2024-04-17,94
2024-04-18,91
2024-04-19,77
2024-04-20,27
2024-04-21,36
2024-04-22,91
2024-04-23,95
2024-04-24,91
2024-04-25,92
2024-04-26,76
2024-04-27,25
2024-04-28,34
2024-04-29,95
2024-04-30,93
2024-05-01,96
2024-05-02,92
2024-05-03,78
2024-05-04,23
2024-05-05,31
2024-05-06,97
2024-05-07,97
2024-05-08,94
2024-05-09,95
2024-05-10,80
2024-05-11,22
2024-05-12,25
2024-05-13,100
2024-05-14,97
2024-05-15,98
2024-05-16,91
2024-05-17,73
2024-05-18,23
2024-05-19,27
2024-05-20,84
2024-05-21,79
2024-05-22,74
2024-05-23,70
2024-05-24,60
2024-05-25,17
2024-05-26,15
2024-05-27,20
2024-05-28,67
2024-05-29,64
2024-05-30,61
2024-05-31,52
2024-06-01,17
2024-06-02,19
2024-06-03,55
2024-06-04,51
2024-06-05,49
2024-06-06,47
2024-06-07,36
2024-06-08,14
2024-06-09,16
2024-06-10,39
2024-06-11,35
2024-06-12,33
2024-06-13,28
2024-06-14,21
2024-06-15,12
2024-06-16,12
2024-06-17,22
2024-06-18,23
2024-06-19,16
2024-06-20,21
2024-06-21,18
2024-06-22,11
2024-06-23,12
2024-06-24,20
2024-06-25,22
2024-06-26,20
2024-06-27,20
2024-06-28,16
2024-06-29,11
2024-06-30,11
2024-07-01,19
2024-07-02,18
2024-07-03,17
2024-07-04,8
2024-07-05,11
2024-07-06,10
2024-07-07,11
2024-07-08,21
2024-07-09,20
2024-07-10,22
2024-07-11,20
2024-07-12,18
2024-07-13,11
2024-07-14,12
2024-07-15,20
2024-07-16,21
2024-07-17,24
2024-07-18,23
2024-07-19,18
2024-07-20,11
2024-07-21,12
2024-07-22,22
2024-07-23,25
2024-07-24,25
2024-07-25,23
2024-07-26,19
2024-07-27,11
2024-07-28,13
2024-07-29,23
2024-07-30,26
2024-07-31,25
2024-08-01,25
2024-08-02,22
2024-08-03,13
2024-08-04,15
2024-08-05,28
2024-08-06,30
2024-08-07,32
2024-08-08,35
2024-08-09,33
2024-08-10,15
2024-08-11,20
2024-08-12,39
2024-08-13,46
2024-08-14,49
2024-08-15,55
2024-08-16,55
2024-08-17,17
2024-08-18,22
2024-08-19,56
2024-08-20,61
2024-08-21,65
2024-08-22,66
2024-08-23,62
2024-08-24,21
2024-08-25,25
2024-08-26,68
2024-08-27,73
2024-08-28,82
2024-08-29,76
2024-08-30,63
2024-08-31,17
2024-09-01,18
2024-09-02,26
2024-09-03,68
2024-09-04,77
2024-09-05,79
2024-09-06,72
2024-09-07,23
2024-09-08,29
2024-09-09,78
2024-09-10,78
2024-09-11,72
2024-09-12,86
2024-09-13,72
2024-09-14,22
2024-09-15,27
2024-09-16,80
