Time,google slides
2023-04-26,92
2023-04-27,89
2023-04-28,74
2023-04-29,22
2023-04-30,29
2023-05-01,97
2023-05-02,92
2023-05-03,90
2023-05-04,91
2023-05-05,80
2023-05-06,20
2023-05-07,25
2023-05-08,97
2023-05-09,97
2023-05-10,96
2023-05-11,98
2023-05-12,84
2023-05-13,19
2023-05-14,22
2023-05-15,100
2023-05-16,94
2023-05-17,97
2023-05-18,88
2023-05-19,79
2023-05-20,20
2023-05-21,22
2023-05-22,83
2023-05-23,81
2023-05-24,74
2023-05-25,64
2023-05-26,44
2023-05-27,13
2023-05-28,12
2023-05-29,18
2023-05-30,57
2023-05-31,52
2023-06-01,48
2023-06-02,40
2023-06-03,14
2023-06-04,16
2023-06-05,47
2023-06-06,41
2023-06-07,39
2023-06-08,36
2023-06-09,30
2023-06-10,11
2023-06-11,14
2023-06-12,32
2023-06-13,29
2023-06-14,27
2023-06-15,24
2023-06-16,18
2023-06-17,9
2023-06-18,10
2023-06-19,14
2023-06-20,20
2023-06-21,19
2023-06-22,17
2023-06-23,15
2023-06-24,9
2023-06-25,10
2023-06-26,18
2023-06-27,18
2023-06-28,17
2023-06-29,16
2023-06-30,14
2023-07-01,8
2023-07-02,8
2023-07-03,11
2023-07-04,8
2023-07-05,14
2023-07-06,16
2023-07-07,14
2023-07-08,10
2023-07-09,10
2023-07-10,16
2023-07-11,16
2023-07-12,16
2023-07-13,16
2023-07-14,15
2023-07-15,9
2023-07-16,10
2023-07-17,18
2023-07-18,16
2023-07-19,16
2023-07-20,15
2023-07-21,13
2023-07-22,8
2023-07-23,9
2023-07-24,16
2023-07-25,17
2023-07-26,17
2023-07-27,16
2023-07-28,14
2023-07-29,9
2023-07-30,10
2023-07-31,17
2023-08-01,19
2023-08-02,20
2023-08-03,21
2023-08-04,19
2023-08-05,9
2023-08-06,11
2023-08-07,23
2023-08-08,25
2023-08-09,27
2023-08-10,30
2023-08-11,29
2023-08-12,11
2023-08-13,13
2023-08-14,35
2023-08-15,40
2023-08-16,45
2023-08-17,46
2023-08-18,44
2023-08-19,13
2023-08-20,17
2023-08-21,43
2023-08-22,51
2023-08-23,54
2023-08-24,57
2023-08-25,47
2023-08-26,13
2023-08-27,18
2023-08-28,55
2023-08-29,61
2023-08-30,63
2023-08-31,67
2023-09-01,50
2023-09-02,12
2023-09-03,13
2023-09-04,20
2023-09-05,64
2023-09-06,69
2023-09-07,74
2023-09-08,70
2023-09-09,16
2023-09-10,20
2023-09-11,74
2023-09-12,73
2023-09-13,78
2023-09-14,76
2023-09-15,61
2023-09-16,16
2023-09-17,22
2023-09-18,72
2023-09-19,76
2023-09-20,74
2023-09-21,78
2023-09-22,60
2023-09-23,17
2023-09-24,21
2023-09-25,62
2023-09-26,77
2023-09-27,72
2023-09-28,79
2023-09-29,62
2023-09-30,17
2023-10-01,22
2023-10-02,73
2023-10-03,76
2023-10-04,75
2023-10-05,73
2023-10-06,55
2023-10-07,16
2023-10-08,18
2023-10-09,55
2023-10-10,65
2023-10-11,62
2023-10-12,69
2023-10-13,53
2023-10-14,16
2023-10-15,22
2023-10-16,67
2023-10-17,74
2023-10-18,72
2023-10-19,68
2023-10-20,56
2023-10-21,15
2023-10-22,22
2023-10-23,65
2023-10-24,67
2023-10-25,70
2023-10-26,68
2023-10-27,57
2023-10-28,15
2023-10-29,21
2023-10-30,70
2023-10-31,65
2023-11-01,69
2023-11-02,71
2023-11-03,56
2023-11-04,18
2023-11-05,24
2023-11-06,67
2023-11-07,67
2023-11-08,72
2023-11-09,67
2023-11-10,41
2023-11-11,19
2023-11-12,24
2023-11-13,70
2023-11-14,75
2023-11-15,81
2023-11-16,74
2023-11-17,59
2023-11-18,19
2023-11-19,21
2023-11-20,45
2023-11-21,42
2023-11-22,23
2023-11-23,14
2023-11-24,14
2023-11-25,16
2023-11-26,23
2023-11-27,74
2023-11-28,82
2023-11-29,85
2023-11-30,82
2023-12-01,70
2023-12-02,24
2023-12-03,32
2023-12-04,92
2023-12-05,91
2023-12-06,91
2023-12-07,87
2023-12-08,82
2023-12-09,27
2023-12-10,32
2023-12-11,89
2023-12-12,88
2023-12-13,82
2023-12-14,67
2023-12-15,56
2023-12-16,15
2023-12-17,17
2023-12-18,47
2023-12-19,42
2023-12-20,41
2023-12-21,28
2023-12-22,16
2023-12-23,8
2023-12-24,7
2023-12-25,6
2023-12-26,8
2023-12-27,8
2023-12-28,8
2023-12-29,8
2023-12-30,7
2023-12-31,8
2024-01-01,8
2024-01-02,21
2024-01-03,32
2024-01-04,39
2024-01-05,36
2024-01-06,11
2024-01-07,14
2024-01-08,46
2024-01-09,45
2024-01-10,52
2024-01-11,50
2024-01-12,44
2024-01-13,12
2024-01-14,11
2024-01-15,17
2024-01-16,40
2024-01-17,53
2024-01-18,52
2024-01-19,44
2024-01-20,14
