Time,google slides
2025-04-15,78
2025-04-16,77
2025-04-17,67
2025-04-18,42
2025-04-19,23
2025-04-20,25
2025-04-21,75
2025-04-22,89
2025-04-23,88
2025-04-24,81
2025-04-25,76
2025-04-26,26
2025-04-27,36
2025-04-28,99
2025-04-29,95
2025-04-30,93
2025-05-01,97
2025-05-02,73
2025-05-03,25
2025-05-04,33
2025-05-05,96
2025-05-06,96
2025-05-07,95
2025-05-08,91
2025-05-09,84
2025-05-10,25
2025-05-11,28
2025-05-12,100
2025-05-13,97
2025-05-14,95
2025-05-15,93
2025-05-16,75
2025-05-17,23
2025-05-18,26
2025-05-19,83
2025-05-20,83
2025-05-21,80
2025-05-22,72
2025-05-23,59
2025-05-24,17
2025-05-25,16
2025-05-26,22
2025-05-27,65
2025-05-28,64
2025-05-29,64
2025-05-30,55
2025-05-31,18
2025-06-01,19
2025-06-02,56
2025-06-03,55
2025-06-04,51
2025-06-05,48
2025-06-06,36
2025-06-07,15
2025-06-08,17
2025-06-09,42
2025-06-10,40
2025-06-11,34
2025-06-12,33
2025-06-13,25
2025-06-14,13
2025-06-15,15
2025-06-16,25
2025-06-17,23
2025-06-18,23
2025-06-19,17
2025-06-20,19
2025-06-21,11
2025-06-22,13
2025-06-23,20
2025-06-24,22
2025-06-25,20
2025-06-26,21
2025-06-27,18
2025-06-28,12
2025-06-29,12
2025-06-30,19
2025-07-01,18
2025-07-02,20
2025-07-03,16
2025-07-04,10
2025-07-05,9
2025-07-06,13
2025-07-07,20
2025-07-08,23
2025-07-09,23
2025-07-10,22
2025-07-11,19
2025-07-12,13
2025-07-13,13
2025-07-14,24
2025-07-15,23
2025-07-16,23
2025-07-17,23
2025-07-18,20
2025-07-19,14
2025-07-20,15
2025-07-21,25
2025-07-22,25
2025-07-23,24
2025-07-24,25
2025-07-25,21
2025-07-26,14
2025-07-27,15
2025-07-28,27
2025-07-29,30
2025-07-30,29
2025-07-31,30
2025-08-01,25
2025-08-02,14
2025-08-03,15
2025-08-04,29
2025-08-05,32
2025-08-06,36
2025-08-07,39
2025-08-08,33
2025-08-09,17
2025-08-10,19
2025-08-11,41
2025-08-12,45
2025-08-13,49
2025-08-14,54
2025-08-15,53
2025-08-16,18
2025-08-17,22
2025-08-18,58
2025-08-19,63
2025-08-20,66
2025-08-21,73
2025-08-22,61
2025-08-23,19
2025-08-24,25
2025-08-25,71
2025-08-26,78
2025-08-27,78
2025-08-28,74
2025-08-29,63
2025-08-30,17
2025-08-31,19
2025-09-01,27
2025-09-02,73
2025-09-03,75
2025-09-04,78
2025-09-05,71
2025-09-06,23
2025-09-07,27
2025-09-08,83
2025-09-09,78
2025-09-10,82
2025-09-11,77
2025-09-12,69
2025-09-13,22
2025-09-14,27
2025-09-15,77
2025-09-16,81
2025-09-17,80
2025-09-18,77
2025-09-19,66
2025-09-20,22
2025-09-21,26
2025-09-22,74
2025-09-23,72
2025-09-24,77
2025-09-25,83
2025-09-26,71
2025-09-27,22
2025-09-28,28
2025-09-29,82
2025-09-30,81
2025-10-01,75
2025-10-02,74
2025-10-03,70
2025-10-04,21
2025-10-05,28
2025-10-06,75
2025-10-07,76
2025-10-08,78
2025-10-09,82
2025-10-10,60
2025-10-11,18
2025-10-12,25
2025-10-13,60
2025-10-14,78
2025-10-15,81
2025-10-16,79
2025-10-17,69
2025-10-18,22
2025-10-19,30
2025-10-20,78
2025-10-21,80
2025-10-22,81
2025-10-23,82
2025-10-24,74
2025-10-25,23
2025-10-26,29
2025-10-27,78
2025-10-28,82
2025-10-29,82
2025-10-30,80
2025-10-31,64
2025-11-01,20
2025-11-02,27
2025-11-03,76
2025-11-04,69
2025-11-05,81
2025-11-06,82
2025-11-07,73
2025-11-08,24
2025-11-09,30
2025-11-10,74
2025-11-11,67
2025-11-12,90
2025-11-13,89
2025-11-14,77
2025-11-15,26
2025-11-16,34
2025-11-17,94
2025-11-18,81
2025-11-19,84
2025-11-20,84
2025-11-21,69
2025-11-22,25
2025-11-23,25
2025-11-24,56
2025-11-25,49
2025-11-26,27
2025-11-27,16
2025-11-28,17
2025-11-29,20
2025-11-30,30
2025-12-01,79
2025-12-02,85
2025-12-03,88
2025-12-04,86
2025-12-05,73
2025-12-06,30
2025-12-07,33
2025-12-08,85
2025-12-09,82
2025-12-10,96
2025-12-11,82
2025-12-12,74
2025-12-13,26
2025-12-14,24
2025-12-15,68
2025-12-16,71
2025-12-17,66
2025-12-18,59
2025-12-19,40
2025-12-20,15
2025-12-21,14
2025-12-22,20
2025-12-23,14
2025-12-24,10
2025-12-25,10
2025-12-26,9
2025-12-27,9
2025-12-28,9
2025-12-29,11
2025-12-30,10
2025-12-31,12
2026-01-01,10
2026-01-02,11
2026-01-03,12
2026-01-04,14
2026-01-05,38
2026-01-06,53
2026-01-07,62
2026-01-08,60
2026-01-09,59
