Time,ice cream near me
2022-08-29,43
2022-08-30,35
2022-08-31,33
2022-09-01,34
2022-09-02,40
2022-09-03,72
2022-09-04,92
2022-09-05,77
2022-09-06,33
2022-09-07,29
2022-09-08,28
2022-09-09,32
2022-09-10,61
2022-09-11,59
2022-09-12,29
2022-09-13,25
2022-09-14,28
2022-09-15,28
2022-09-16,34
2022-09-17,64
2022-09-18,66
2022-09-19,30
2022-09-20,26
2022-09-21,26
2022-09-22,25
2022-09-23,28
2022-09-24,55
2022-09-25,59
2022-09-26,30
2022-09-27,23
2022-09-28,23
2022-09-29,21
2022-09-30,26
2022-10-01,45
2022-10-02,51
2022-10-03,26
2022-10-04,22
2022-10-05,24
2022-10-06,25
2022-10-07,29
2022-10-08,51
2022-10-09,57
2022-10-10,35
2022-10-11,25
2022-10-12,22
2022-10-13,23
2022-10-14,27
2022-10-15,50
2022-10-16,49
2022-10-17,24
2022-10-18,18
2022-10-19,17
2022-10-20,19
2022-10-21,25
2022-10-22,47
2022-10-23,51
2022-10-24,24
2022-10-25,18
2022-10-26,18
2022-10-27,19
2022-10-28,20
2022-10-29,36
2022-10-30,41
2022-10-31,19
2022-11-01,16
2022-11-02,17
2022-11-03,18
2022-11-04,19
2022-11-05,41
2022-11-06,42
2022-11-07,21
2022-11-08,16
2022-11-09,14
2022-11-10,16
2022-11-11,22
2022-11-12,37
2022-11-13,36
2022-11-14,17
2022-11-15,14
2022-11-16,14
2022-11-17,14
2022-11-18,15
2022-11-19,27
2022-11-20,30
2022-11-21,20
2022-11-22,17
2022-11-23,21
2022-11-24,25
2022-11-25,26
2022-11-26,31
2022-11-27,32
2022-11-28,15
2022-11-29,13
2022-11-30,13
2022-12-01,13
2022-12-02,15
2022-12-03,27
2022-12-04,31
2022-12-05,16
2022-12-06,14
2022-12-07,14
2022-12-08,17
2022-12-09,17
2022-12-10,28
2022-12-11,33
2022-12-12,17
2022-12-13,15
2022-12-14,14
2022-12-15,15
2022-12-16,16
2022-12-17,26
2022-12-18,30
2022-12-19,19
2022-12-20,18
2022-12-21,18
2022-12-22,16
2022-12-23,18
2022-12-24,16
2022-12-25,20
2022-12-26,23
2022-12-27,26
2022-12-28,29
2022-12-29,30
2022-12-30,32
2022-12-31,38
2023-01-01,44
2023-01-02,38
2023-01-03,21
2023-01-04,22
2023-01-05,19
2023-01-06,20
2023-01-07,35
2023-01-08,43
2023-01-09,20
2023-01-10,16
2023-01-11,18
2023-01-12,18
2023-01-13,19
2023-01-14,37
2023-01-15,42
2023-01-16,36
2023-01-17,18
2023-01-18,17
2023-01-19,17
2023-01-20,19
2023-01-21,38
2023-01-22,41
2023-01-23,22
2023-01-24,16
2023-01-25,16
2023-01-26,18
2023-01-27,18
2023-01-28,41
2023-01-29,42
2023-01-30,19
2023-01-31,16
2023-02-01,17
2023-02-02,18
2023-02-03,21
2023-02-04,38
2023-02-05,46
2023-02-06,22
2023-02-07,18
2023-02-08,19
2023-02-09,19
2023-02-10,26
2023-02-11,43
2023-02-12,42
2023-02-13,18
2023-02-14,23
2023-02-15,26
2023-02-16,20
2023-02-17,25
2023-02-18,47
2023-02-19,58
2023-02-20,44
2023-02-21,26
2023-02-22,20
2023-02-23,23
2023-02-24,24
2023-02-25,43
2023-02-26,57
2023-02-27,26
2023-02-28,20
2023-03-01,24
2023-03-02,22
2023-03-03,23
2023-03-04,52
2023-03-05,65
2023-03-06,29
2023-03-07,26
2023-03-08,25
2023-03-09,24
2023-03-10,27
2023-03-11,52
2023-03-12,58
2023-03-13,34
2023-03-14,28
2023-03-15,29
2023-03-16,32
2023-03-17,35
2023-03-18,57
2023-03-19,60
2023-03-20,33
2023-03-21,30
2023-03-22,28
2023-03-23,31
2023-03-24,38
2023-03-25,65
2023-03-26,83
2023-03-27,37
2023-03-28,32
2023-03-29,32
2023-03-30,29
2023-03-31,35
2023-04-01,63
2023-04-02,78
2023-04-03,42
2023-04-04,39
2023-04-05,37
2023-04-06,39
2023-04-07,45
2023-04-08,64
2023-04-09,78
2023-04-10,45
2023-04-11,37
2023-04-12,44
2023-04-13,48
2023-04-14,56
2023-04-15,84
2023-04-16,87
2023-04-17,35
2023-04-18,29
2023-04-19,32
2023-04-20,34
2023-04-21,44
2023-04-22,68
2023-04-23,71
2023-04-24,36
2023-04-25,28
2023-04-26,32
2023-04-27,32
2023-04-28,37
2023-04-29,69
2023-04-30,69
2023-05-01,36
2023-05-02,28
2023-05-03,28
2023-05-04,33
2023-05-05,39
2023-05-06,78
2023-05-07,96
2023-05-08,45
2023-05-09,36
2023-05-10,41
2023-05-11,44
2023-05-12,47
2023-05-13,82
2023-05-14,100
2023-05-15,50
2023-05-16,41
2023-05-17,39
2023-05-18,43
2023-05-19,49
2023-05-20,80
2023-05-21,92
2023-05-22,51
2023-05-23,43
2023-05-24,40
2023-05-25,43
