Time,ice cream near me
2024-08-18,75
2024-08-19,39
2024-08-20,34
2024-08-21,32
2024-08-22,34
2024-08-23,39
2024-08-24,68
2024-08-25,74
2024-08-26,36
2024-08-27,31
2024-08-28,30
2024-08-29,26
2024-08-30,37
2024-08-31,67
2024-09-01,84
2024-09-02,76
2024-09-03,32
2024-09-04,26
2024-09-05,25
2024-09-06,28
2024-09-07,51
2024-09-08,58
2024-09-09,27
2024-09-10,23
2024-09-11,22
2024-09-12,27
2024-09-13,31
2024-09-14,56
2024-09-15,53
2024-09-16,23
2024-09-17,22
2024-09-18,22
2024-09-19,24
2024-09-20,29
2024-09-21,56
2024-09-22,54
2024-09-23,23
2024-09-24,19
2024-09-25,21
2024-09-26,21
2024-09-27,24
2024-09-28,46
2024-09-29,49
2024-09-30,26
2024-10-01,22
2024-10-02,22
2024-10-03,22
2024-10-04,28
2024-10-05,52
2024-10-06,54
2024-10-07,24
2024-10-08,20
2024-10-09,22
2024-10-10,21
2024-10-11,30
2024-10-12,52
2024-10-13,52
2024-10-14,28
2024-10-15,19
2024-10-16,18
2024-10-17,21
2024-10-18,25
2024-10-19,45
2024-10-20,49
2024-10-21,24
2024-10-22,22
2024-10-23,20
2024-10-24,20
2024-10-25,23
2024-10-26,42
2024-10-27,40
2024-10-28,18
2024-10-29,18
2024-10-30,16
2024-10-31,16
2024-11-01,23
2024-11-02,35
2024-11-03,34
2024-11-04,19
2024-11-05,18
2024-11-06,13
2024-11-07,16
2024-11-08,20
2024-11-09,37
2024-11-10,37
2024-11-11,24
2024-11-12,18
2024-11-13,14
2024-11-14,17
2024-11-15,18
2024-11-16,31
2024-11-17,36
2024-11-18,18
2024-11-19,16
2024-11-20,17
2024-11-21,16
2024-11-22,16
2024-11-23,27
2024-11-24,35
2024-11-25,22
2024-11-26,19
2024-11-27,22
2024-11-28,28
2024-11-29,26
2024-11-30,23
2024-12-01,27
2024-12-02,14
2024-12-03,12
2024-12-04,11
2024-12-05,13
2024-12-06,13
2024-12-07,24
2024-12-08,27
2024-12-09,15
2024-12-10,14
2024-12-11,15
2024-12-12,14
2024-12-13,16
2024-12-14,27
2024-12-15,31
2024-12-16,17
2024-12-17,15
2024-12-18,16
2024-12-19,17
2024-12-20,20
2024-12-21,24
2024-12-22,28
2024-12-23,21
2024-12-24,23
2024-12-25,28
2024-12-26,26
2024-12-27,28
2024-12-28,37
2024-12-29,41
2024-12-30,33
2024-12-31,33
2025-01-01,39
2025-01-02,30
2025-01-03,25
2025-01-04,30
2025-01-05,34
2025-01-06,16
2025-01-07,14
2025-01-08,14
2025-01-09,14
2025-01-10,16
2025-01-11,27
2025-01-12,28
2025-01-13,16
2025-01-14,14
2025-01-15,15
2025-01-16,15
2025-01-17,18
2025-01-18,34
2025-01-19,34
2025-01-20,22
2025-01-21,16
2025-01-22,15
2025-01-23,14
2025-01-24,17
2025-01-25,32
2025-01-26,36
2025-01-27,18
2025-01-28,16
2025-01-29,19
2025-01-30,17
2025-01-31,21
2025-02-01,38
2025-02-02,41
2025-02-03,20
2025-02-04,19
2025-02-05,18
2025-02-06,18
2025-02-07,21
2025-02-08,35
2025-02-09,35
2025-02-10,17
2025-02-11,15
2025-02-12,15
2025-02-13,16
2025-02-14,22
2025-02-15,41
2025-02-16,40
2025-02-17,26
2025-02-18,18
2025-02-19,18
2025-02-20,19
2025-02-21,19
2025-02-22,39
2025-02-23,44
2025-02-24,23
2025-02-25,23
2025-02-26,23
2025-02-27,20
2025-02-28,25
2025-03-01,51
2025-03-02,49
2025-03-03,27
2025-03-04,22
2025-03-05,22
2025-03-06,21
2025-03-07,23
2025-03-08,51
2025-03-09,63
2025-03-10,34
2025-03-11,35
2025-03-12,31
2025-03-13,32
2025-03-14,39
2025-03-15,65
2025-03-16,67
2025-03-17,34
2025-03-18,35
2025-03-19,39
2025-03-20,36
2025-03-21,36
2025-03-22,67
2025-03-23,70
2025-03-24,34
2025-03-25,33
2025-03-26,31
2025-03-27,33
2025-03-28,38
2025-03-29,72
2025-03-30,67
2025-03-31,33
2025-04-01,29
2025-04-02,26
2025-04-03,26
2025-04-04,34
2025-04-05,64
2025-04-06,65
2025-04-07,30
2025-04-08,22
2025-04-09,23
2025-04-10,26
2025-04-11,33
2025-04-12,65
2025-04-13,65
2025-04-14,37
2025-04-15,33
2025-04-16,31
2025-04-17,35
2025-04-18,51
2025-04-19,71
2025-04-20,79
2025-04-21,35
2025-04-22,33
2025-04-23,36
2025-04-24,36
2025-04-25,38
2025-04-26,66
2025-04-27,74
2025-04-28,44
2025-04-29,32
2025-04-30,34
2025-05-01,34
2025-05-02,39
2025-05-03,67
2025-05-04,66
2025-05-05,34
2025-05-06,31
2025-05-07,33
2025-05-08,35
2025-05-09,36
2025-05-10,73
2025-05-11,100
2025-05-12,46
2025-05-13,33
2025-05-14,33
