Time,meat loaf
2022-08-29,59
2022-08-30,58
2022-08-31,44
2022-09-01,46
2022-09-02,32
2022-09-03,49
2022-09-04,61
2022-09-05,67
2022-09-06,40
2022-09-07,50
2022-09-08,46
2022-09-09,45
2022-09-10,61
2022-09-11,66
2022-09-12,46
2022-09-13,60
2022-09-14,44
2022-09-15,49
2022-09-16,45
2022-09-17,60
2022-09-18,78
2022-09-19,49
2022-09-20,54
2022-09-21,62
2022-09-22,54
2022-09-23,50
2022-09-24,58
2022-09-25,56
2022-09-26,47
2022-09-27,74
2022-09-28,62
2022-09-29,58
2022-09-30,56
2022-10-01,57
2022-10-02,76
2022-10-03,56
2022-10-04,63
2022-10-05,46
2022-10-06,51
2022-10-07,44
2022-10-08,56
2022-10-09,67
2022-10-10,58
2022-10-11,52
2022-10-12,54
2022-10-13,62
2022-10-14,52
2022-10-15,59
2022-10-16,78
2022-10-17,60
2022-10-18,61
2022-10-19,58
2022-10-20,57
2022-10-21,46
2022-10-22,58
2022-10-23,75
2022-10-24,57
2022-10-25,69
2022-10-26,55
2022-10-27,55
2022-10-28,54
2022-10-29,62
2022-10-30,85
2022-10-31,59
2022-11-01,53
2022-11-02,62
2022-11-03,58
2022-11-04,51
2022-11-05,46
2022-11-06,60
2022-11-07,51
2022-11-08,51
2022-11-09,48
2022-11-10,47
2022-11-11,64
2022-11-12,55
2022-11-13,80
2022-11-14,56
2022-11-15,61
2022-11-16,69
2022-11-17,66
2022-11-18,50
2022-11-19,63
2022-11-20,69
2022-11-21,59
2022-11-22,55
2022-11-23,59
2022-11-24,61
2022-11-25,29
2022-11-26,48
2022-11-27,54
2022-11-28,40
2022-11-29,40
2022-11-30,50
2022-12-01,43
2022-12-02,40
2022-12-03,53
2022-12-04,74
2022-12-05,53
2022-12-06,43
2022-12-07,47
2022-12-08,54
2022-12-09,36
2022-12-10,48
2022-12-11,82
2022-12-12,57
2022-12-13,46
2022-12-14,50
2022-12-15,47
2022-12-16,49
2022-12-17,53
2022-12-18,67
2022-12-19,56
2022-12-20,55
2022-12-21,49
2022-12-22,58
2022-12-23,46
2022-12-24,52
2022-12-25,61
2022-12-26,45
2022-12-27,55
2022-12-28,54
2022-12-29,65
2022-12-30,61
2022-12-31,80
2023-01-01,95
2023-01-02,73
2023-01-03,59
2023-01-04,68
2023-01-05,61
2023-01-06,50
2023-01-07,68
2023-01-08,74
2023-01-09,56
2023-01-10,61
2023-01-11,61
2023-01-12,55
2023-01-13,45
2023-01-14,62
2023-01-15,74
2023-01-16,66
2023-01-17,67
2023-01-18,63
2023-01-19,47
2023-01-20,51
2023-01-21,74
2023-01-22,100
2023-01-23,79
2023-01-24,60
2023-01-25,55
2023-01-26,54
2023-01-27,57
2023-01-28,65
2023-01-29,74
2023-01-30,69
2023-01-31,55
2023-02-01,60
2023-02-02,51
2023-02-03,45
2023-02-04,59
2023-02-05,76
2023-02-06,55
2023-02-07,55
2023-02-08,45
2023-02-09,48
2023-02-10,41
2023-02-11,68
2023-02-12,61
2023-02-13,41
2023-02-14,47
2023-02-15,46
2023-02-16,56
2023-02-17,46
2023-02-18,46
2023-02-19,72
2023-02-20,54
2023-02-21,54
2023-02-22,44
2023-02-23,51
2023-02-24,48
2023-02-25,44
2023-02-26,84
2023-02-27,72
2023-02-28,43
2023-03-01,43
2023-03-02,56
2023-03-03,44
2023-03-04,52
2023-03-05,70
2023-03-06,52
2023-03-07,54
2023-03-08,59
2023-03-09,53
2023-03-10,51
2023-03-11,46
2023-03-12,64
2023-03-13,54
2023-03-14,59
2023-03-15,46
2023-03-16,43
2023-03-17,47
2023-03-18,56
2023-03-19,68
2023-03-20,58
2023-03-21,61
2023-03-22,57
2023-03-23,48
2023-03-24,50
2023-03-25,64
2023-03-26,70
2023-03-27,50
2023-03-28,53
2023-03-29,52
2023-03-30,49
2023-03-31,41
2023-04-01,53
2023-04-02,69
2023-04-03,51
2023-04-04,49
2023-04-05,46
2023-04-06,48
2023-04-07,38
2023-04-08,52
2023-04-09,49
2023-04-10,40
2023-04-11,44
2023-04-12,43
2023-04-13,37
2023-04-14,41
2023-04-15,35
2023-04-16,81
2023-04-17,58
2023-04-18,48
2023-04-19,50
2023-04-20,44
2023-04-21,40
2023-04-22,50
2023-04-23,84
2023-04-24,53
2023-04-25,49
2023-04-26,45
2023-04-27,50
2023-04-28,44
2023-04-29,40
2023-04-30,73
2023-05-01,53
2023-05-02,47
2023-05-03,47
2023-05-04,49
2023-05-05,45
2023-05-06,52
2023-05-07,65
2023-05-08,48
2023-05-09,42
2023-05-10,48
2023-05-11,33
2023-05-12,44
2023-05-13,43
2023-05-14,44
2023-05-15,49
2023-05-16,41
2023-05-17,54
2023-05-18,46
2023-05-19,40
2023-05-20,52
2023-05-21,54
2023-05-22,55
2023-05-23,56
2023-05-24,36
2023-05-25,43
