Time,news
2023-12-22,48
2023-12-23,42
2023-12-24,42
2023-12-25,42
2023-12-26,45
2023-12-27,44
2023-12-28,48
2023-12-29,45
2023-12-30,41
2023-12-31,43
2024-01-01,50
2024-01-02,49
2024-01-03,51
2024-01-04,50
2024-01-05,50
2024-01-06,43
2024-01-07,43
2024-01-08,50
2024-01-09,60
2024-01-10,56
2024-01-11,52
2024-01-12,55
2024-01-13,45
2024-01-14,44
2024-01-15,53
2024-01-16,57
2024-01-17,51
2024-01-18,49
2024-01-19,51
2024-01-20,42
2024-01-21,43
2024-01-22,50
2024-01-23,49
2024-01-24,52
2024-01-25,49
2024-01-26,45
2024-01-27,40
2024-01-28,39
2024-01-29,44
2024-01-30,46
2024-01-31,42
2024-02-01,46
2024-02-02,43
2024-02-03,37
2024-02-04,37
2024-02-05,42
2024-02-06,48
2024-02-07,44
2024-02-08,47
2024-02-09,46
2024-02-10,39
2024-02-11,35
2024-02-12,44
2024-02-13,42
2024-02-14,46
2024-02-15,47
2024-02-16,46
2024-02-17,37
2024-02-18,37
2024-02-19,41
2024-02-20,42
2024-02-21,43
2024-02-22,45
2024-02-23,44
2024-02-24,36
2024-02-25,38
2024-02-26,42
2024-02-27,42
2024-02-28,44
2024-02-29,41
2024-03-01,41
2024-03-02,36
2024-03-03,36
2024-03-04,41
2024-03-05,45
2024-03-06,47
2024-03-07,43
2024-03-08,46
2024-03-09,35
2024-03-10,36
2024-03-11,47
2024-03-12,49
2024-03-13,47
2024-03-14,49
2024-03-15,49
2024-03-16,40
2024-03-17,41
2024-03-18,47
2024-03-19,43
2024-03-20,44
2024-03-21,43
2024-03-22,54
2024-03-23,44
2024-03-24,40
2024-03-25,44
2024-03-26,57
2024-03-27,49
2024-03-28,46
2024-03-29,42
2024-03-30,37
2024-03-31,40
2024-04-01,47
2024-04-02,45
2024-04-03,45
2024-04-04,43
2024-04-05,47
2024-04-06,35
2024-04-07,36
2024-04-08,48
2024-04-09,42
2024-04-10,41
2024-04-11,44
2024-04-12,41
2024-04-13,41
2024-04-14,51
2024-04-15,46
2024-04-16,46
2024-04-17,43
2024-04-18,44
2024-04-19,46
2024-04-20,36
2024-04-21,36
2024-04-22,42
2024-04-23,43
2024-04-24,44
2024-04-25,43
2024-04-26,45
2024-04-27,39
2024-04-28,40
2024-04-29,42
2024-04-30,45
2024-05-01,44
2024-05-02,42
2024-05-03,41
2024-05-04,35
2024-05-05,35
2024-05-06,43
2024-05-07,44
2024-05-08,43
2024-05-09,43
2024-05-10,41
2024-05-11,36
2024-05-12,33
2024-05-13,40
2024-05-14,42
2024-05-15,40
2024-05-16,40
2024-05-17,41
2024-05-18,36
2024-05-19,37
2024-05-20,44
2024-05-21,42
2024-05-22,42
2024-05-23,41
2024-05-24,38
2024-05-25,34
2024-05-26,37
2024-05-27,36
2024-05-28,46
2024-05-29,48
2024-05-30,63
2024-05-31,51
2024-06-01,37
2024-06-02,38
2024-06-03,41
2024-06-04,43
2024-06-05,41
2024-06-06,42
2024-06-07,40
2024-06-08,35
2024-06-09,37
2024-06-10,42
2024-06-11,44
2024-06-12,42
2024-06-13,42
2024-06-14,39
2024-06-15,34
2024-06-16,35
2024-06-17,41
2024-06-18,42
2024-06-19,44
2024-06-20,41
2024-06-21,40
2024-06-22,36
2024-06-23,36
2024-06-24,43
2024-06-25,44
2024-06-26,43
2024-06-27,43
2024-06-28,53
2024-06-29,39
2024-06-30,38
2024-07-01,49
2024-07-02,45
2024-07-03,46
2024-07-04,41
2024-07-05,45
2024-07-06,41
2024-07-07,41
2024-07-08,43
2024-07-09,44
2024-07-10,41
2024-07-11,47
2024-07-12,42
2024-07-13,79
2024-07-14,100
2024-07-15,53
2024-07-16,51
2024-07-17,44
2024-07-18,49
2024-07-19,58
2024-07-20,42
2024-07-21,78
2024-07-22,54
2024-07-23,51
2024-07-24,48
2024-07-25,48
2024-07-26,45
2024-07-27,38
2024-07-28,40
2024-07-29,47
2024-07-30,47
2024-07-31,45
2024-08-01,47
2024-08-02,44
2024-08-03,39
2024-08-04,41
2024-08-05,58
2024-08-06,53
2024-08-07,51
2024-08-08,50
2024-08-09,45
2024-08-10,37
2024-08-11,39
2024-08-12,43
2024-08-13,45
2024-08-14,47
2024-08-15,47
2024-08-16,42
2024-08-17,38
2024-08-18,39
2024-08-19,44
2024-08-20,46
2024-08-21,45
2024-08-22,45
2024-08-23,44
2024-08-24,38
2024-08-25,40
2024-08-26,43
2024-08-27,45
2024-08-28,44
2024-08-29,44
2024-08-30,43
2024-08-31,36
2024-09-01,41
2024-09-02,38
2024-09-03,43
2024-09-04,46
2024-09-05,41
2024-09-06,39
2024-09-07,34
2024-09-08,37
2024-09-09,43
2024-09-10,44
2024-09-11,60
2024-09-12,49
2024-09-13,43
2024-09-14,36
2024-09-15,45
2024-09-16,49
