Time,news
2023-04-26,79
2023-04-27,76
2023-04-28,72
2023-04-29,70
2023-04-30,66
2023-05-01,72
2023-05-02,72
2023-05-03,75
2023-05-04,74
2023-05-05,71
2023-05-06,66
2023-05-07,69
2023-05-08,73
2023-05-09,79
2023-05-10,78
2023-05-11,77
2023-05-12,74
2023-05-13,66
2023-05-14,64
2023-05-15,72
2023-05-16,74
2023-05-17,74
2023-05-18,73
2023-05-19,70
2023-05-20,63
2023-05-21,61
2023-05-22,68
2023-05-23,74
2023-05-24,74
2023-05-25,74
2023-05-26,68
2023-05-27,61
2023-05-28,66
2023-05-29,64
2023-05-30,72
2023-05-31,74
2023-06-01,74
2023-06-02,69
2023-06-03,62
2023-06-04,61
2023-06-05,73
2023-06-06,75
2023-06-07,77
2023-06-08,75
2023-06-09,81
2023-06-10,69
2023-06-11,64
2023-06-12,74
2023-06-13,85
2023-06-14,77
2023-06-15,74
2023-06-16,75
2023-06-17,65
2023-06-18,68
2023-06-19,77
2023-06-20,79
2023-06-21,91
2023-06-22,100
2023-06-23,84
2023-06-24,82
2023-06-25,75
2023-06-26,81
2023-06-27,84
2023-06-28,76
2023-06-29,78
2023-06-30,75
2023-07-01,71
2023-07-02,73
2023-07-03,73
2023-07-04,73
2023-07-05,79
2023-07-06,76
2023-07-07,72
2023-07-08,65
2023-07-09,62
2023-07-10,73
2023-07-11,70
2023-07-12,69
2023-07-13,73
2023-07-14,77
2023-07-15,64
2023-07-16,67
2023-07-17,76
2023-07-18,76
2023-07-19,77
2023-07-20,77
2023-07-21,72
2023-07-22,61
2023-07-23,64
2023-07-24,71
2023-07-25,74
2023-07-26,76
2023-07-27,74
2023-07-28,74
2023-07-29,70
2023-07-30,64
2023-07-31,76
2023-08-01,79
2023-08-02,75
2023-08-03,78
2023-08-04,72
2023-08-05,69
2023-08-06,66
2023-08-07,81
2023-08-08,78
2023-08-09,81
2023-08-10,76
2023-08-11,77
2023-08-12,64
2023-08-13,66
2023-08-14,71
2023-08-15,79
2023-08-16,76
2023-08-17,77
2023-08-18,72
2023-08-19,67
2023-08-20,72
2023-08-21,79
2023-08-22,77
2023-08-23,80
2023-08-24,89
2023-08-25,81
2023-08-26,67
2023-08-27,70
2023-08-28,82
2023-08-29,82
2023-08-30,80
2023-08-31,77
2023-09-01,66
2023-09-02,61
2023-09-03,62
2023-09-04,63
2023-09-05,72
2023-09-06,69
2023-09-07,69
2023-09-08,68
2023-09-09,60
2023-09-10,60
2023-09-11,74
2023-09-12,73
2023-09-13,76
2023-09-14,71
2023-09-15,72
2023-09-16,59
2023-09-17,58
2023-09-18,71
2023-09-19,71
2023-09-20,74
2023-09-21,71
2023-09-22,67
2023-09-23,58
2023-09-24,61
2023-09-25,64
2023-09-26,71
2023-09-27,71
2023-09-28,72
2023-09-29,70
2023-09-30,61
2023-10-01,61
2023-10-02,68
2023-10-03,74
2023-10-04,79
2023-10-05,71
2023-10-06,66
2023-10-07,82
2023-10-08,90
2023-10-09,100
2023-10-10,94
2023-10-11,94
2023-10-12,93
2023-10-13,97
2023-10-14,77
2023-10-15,77
2023-10-16,83
2023-10-17,82
2023-10-18,84
2023-10-19,81
2023-10-20,82
2023-10-21,66
2023-10-22,71
2023-10-23,76
2023-10-24,78
2023-10-25,74
2023-10-26,98
2023-10-27,84
2023-10-28,70
2023-10-29,70
2023-10-30,78
2023-10-31,79
2023-11-01,81
2023-11-02,73
2023-11-03,72
2023-11-04,61
2023-11-05,62
2023-11-06,73
2023-11-07,78
2023-11-08,84
2023-11-09,74
2023-11-10,65
2023-11-11,61
2023-11-12,61
2023-11-13,70
2023-11-14,71
2023-11-15,73
2023-11-16,71
2023-11-17,66
2023-11-18,60
2023-11-19,61
2023-11-20,64
2023-11-21,69
2023-11-22,69
2023-11-23,58
2023-11-24,59
2023-11-25,59
2023-11-26,60
2023-11-27,61
2023-11-28,64
2023-11-29,67
2023-11-30,67
2023-12-01,66
2023-12-02,52
2023-12-03,56
2023-12-04,66
2023-12-05,67
2023-12-06,71
2023-12-07,70
2023-12-08,69
2023-12-09,63
2023-12-10,62
2023-12-11,67
2023-12-12,68
2023-12-13,70
2023-12-14,67
2023-12-15,63
2023-12-16,59
2023-12-17,60
2023-12-18,70
2023-12-19,70
2023-12-20,70
2023-12-21,68
2023-12-22,67
2023-12-23,60
2023-12-24,59
2023-12-25,59
2023-12-26,64
2023-12-27,62
2023-12-28,68
2023-12-29,64
2023-12-30,58
2023-12-31,60
2024-01-01,71
2024-01-02,69
2024-01-03,72
2024-01-04,71
2024-01-05,70
2024-01-06,61
2024-01-07,60
2024-01-08,71
2024-01-09,85
2024-01-10,79
2024-01-11,73
2024-01-12,77
2024-01-13,64
2024-01-14,62
2024-01-15,74
2024-01-16,81
2024-01-17,72
2024-01-18,69
2024-01-19,72
2024-01-20,60
