"query","search interest","increase percent"
"amanda aldridge",20,"Breakout"
"us open leaderboard",2,"1,750%"
"ryan grantham",2,"1,650%"
"lauren boebert",2,"600%"
"us open",13,"400%"
"juneteenth holiday",4,"170%"
"klay thompson",2,"150%"
"juneteenth",16,"150%"
"steph curry",4,"130%"
"what is juneteenth",3,"130%"
"severe thunderstorm watch",1,"80%"
"severe thunderstorm warning",3,"70%"
"dow jones today",3,"60%"
"golden state warriors",5,"60%"
"chick fil a",4,"50%"
"dow jones",10,"50%"
"stanley cup finals",1,"50%"
"ups tracking",4,"40%"
"warriors",26,"40%"
"dow",12,"40%"
"wells fargo",8,"30%"
"usps tracking",5,"30%"
"nba finals",15,"30%"
"fedex tracking",3,"30%"
"usps",11,"30%"
"yahoo finance",3,"30%"
"ticketmaster",2,"30%"
"fathers day",7,"30%"
"stock market today",2,"30%"
"yankees",6,"30%"
"phillies",3,"30%"
"warriors vs celtics",7,"30%"
"chase",11,"30%"
"outlook email",2,"30%"
"bank of america",6,"30%"
"outlook",8,"20%"
"linkedin",7,"20%"
"maps",14,"20%"
"gmail login",4,"20%"
"fedex",8,"20%"
"yahoo",24,"20%"
"disney plus",3,"20%"
"spectrum",6,"20%"
"office 365",2,"20%"
"google maps",9,"20%"
"celtics",22,"20%"
"blooket",2,"20%"
"boston celtics",3,"20%"
"capital one login",1,"20%"
"msn",5,"20%"
