"query","search interest","increase percent"
"jesse williams",5,"4,000%"
"young thug",5,"2,700%"
"rico charge",2,"2,350%"
"newprofilepic",2,"1,700%"
"gunna",2,"1,150%"
"candy montgomery",1,"200%"
"candy hulu",2,"180%"
"vicky white",3,"170%"
"abcya",2,"160%"
"dow jones today",2,"150%"
"gimkit",3,"140%"
"math playground",2,"130%"
"cool math games",5,"130%"
"dow jones",7,"130%"
"blooket",8,"130%"
"snake game",4,"120%"
"google classroom",11,"110%"
"clever",3,"100%"
"prodigy",4,"90%"
"google slides",4,"90%"
"ncedcloud",1,"90%"
"2048",1,"90%"
"yahoo finance",2,"90%"
"kahoot",5,"90%"
"bitcoin price",5,"90%"
"quizlet live",1,"90%"
"bitcoin",8,"80%"
"djia",1,"80%"
"carvana",2,"80%"
"google docs",9,"70%"
"office 365",2,"70%"
"outlook",7,"70%"
"stock market",4,"60%"
"ups tracking",3,"60%"
"linkedin",6,"60%"
"fedex tracking",2,"60%"
"epic",5,"50%"
"google sheets",2,"50%"
"google drive",4,"50%"
"quest diagnostics",1,"50%"
"docs",11,"50%"
"canva",2,"50%"
"snake",11,"50%"
"google maps",9,"40%"
"casey white",2,"40%"
"golden state warriors",2,"40%"
"fidelity",3,"40%"
"celtics",8,"40%"
"google translate",14,"40%"
"calculator",28,"40%"
