"query","search interest","increase percent"
"you",100,"-20%"
"weather",73,"-8%"
"google",58,"30%"
"oscars",46,"140%"
"youtube",36,"-20%"
"amazon",35,"-20%"
"news",32,"-7%"
"facebook",26,"-20%"
"oscars 2023",25,"100%"
"translate",17,"20%"
"everything everywhere all at once",17,"400%"
"walmart",17,"-30%"
"calculator",17,"40%"
"yahoo",15,"30%"
"gmail",13,"30%"
"last of us",12,"100%"
"nba",12,"-50%"
"wordle",12,"-20%"
"oscar winners",12,"4,750%"
"march madness",12,"20%"
"flights",11,"-20%"
"instagram",10,"-20%"
"oscar winners 2023",10,"Breakout"
"ncaa bracket",9,"30%"
"twitter",9,"-10%"
"nfl",9,"20%"
"jamie lee curtis",9,"1,050%"
"google translate",9,"30%"
"target",9,"-30%"
"craigslist",8,"-30%"
"the last of us",8,"100%"
"maps",8,"20%"
"home depot",8,"-30%"
"netflix",8,"-30%"
"brendan fraser",7,"1,050%"
"chase",7,"1%"
"traductor",7,"-4%"
"ups",7,"30%"
"costco",7,"-40%"
"svb",6,"-10%"
"usps",6,"50%"
"espn",6,"-20%"
"food near me",6,"-40%"
"tiempo",6,"0%"
"fox news",6,"-4%"
"weather tomorrow",6,"-20%"
"ke huy quan",6,"1,800%"
"cvs",6,"-9%"
"march madness bracket",6,"50%"
"lowes",6,"-30%"
