"query","search interest","increase percent"
"sport climbing combined olympics",11,"Breakout"
"sailing olympics",13,"Breakout"
"artistic swimming olympics",13,"Breakout"
"gymnastics rings olympics",6,"Breakout"
"sailing olympics 2024",4,"Breakout"
"hurricane debby",3,"3,950%"
"tropical storm debby",2,"2,200%"
"tim walz",8,"1,600%"
"tropical storm warning",1,"1,400%"
"gabby thomas",1,"1,150%"
"noah lyles",3,"850%"
"stock market",4,"450%"
"hurricane",10,"350%"
"hurricane tracker",1,"250%"
"iran",2,"200%"
"it ends with us",2,"200%"
"imane khelif",4,"190%"
"noaa hurricane",1,"150%"
"trap movie",1,"140%"
"spirit halloween",1,"140%"
"harris vp",1,"130%"
"national hurricane center",1,"120%"
"weather channel",2,"110%"
"medal count",17,"90%"
"real madrid",3,"90%"
"dow jones",3,"90%"
"olympic medal count",9,"90%"
"s&p 500",1,"80%"
"dow jones today",1,"70%"
"nfl",6,"50%"
"medal count olympics",4,"50%"
"severe thunderstorm warning",1,"50%"
"weather",58,"40%"
"nvidia stock",1,"40%"
"summer olympic games schedule and results",1,"40%"
"victoria secret",1,"30%"
"american airlines",3,"30%"
"bitcoin price",1,"30%"
"olympics 2024 schedule and results",1,"30%"
"yahoo finance",1,"30%"
"leagues cup",1,"30%"
"clima",3,"30%"
"dicks sporting good",1,"20%"
"fidelity",2,"20%"
"united airlines",1,"20%"
"taylor swift",3,"20%"
"weather tomorrow",5,"20%"
"yahoo",11,"20%"
"dominos",2,"20%"
"mlb standings",1,"20%"
