"query","search interest","increase percent"
"jesse williams",3,"2,600%"
"happy mothers day",6,"1,450%"
"rico charge",1,"1,000%"
"canelo vs bivol",3,"900%"
"feliz dia de la madre",1,"900%"
"kevin samuels",9,"850%"
"canelo",9,"750%"
"kentucky derby 2022",9,"650%"
"kentucky derby",17,"550%"
"ufc 274",2,"450%"
"vicky white",2,"450%"
"kevin samuels dead",2,"450%"
"charles oliveira",1,"400%"
"dr strange",9,"250%"
"dr strange 2",2,"200%"
"bitcoin price",4,"170%"
"ufc",7,"150%"
"doctor strange",7,"150%"
"doctor strange 2",3,"140%"
"jack harlow",2,"130%"
"bitcoin",6,"120%"
"mothers day",18,"90%"
"mother's day",21,"80%"
"suns vs mavericks",1,"70%"
"nhl scores",2,"70%"
"celtics",7,"60%"
"sixers",2,"60%"
"premier league",4,"50%"
"warriors",9,"50%"
"golden state warriors",2,"50%"
"nhl",8,"40%"
"dow jones",6,"40%"
"nba scores",7,"30%"
"dow jones today",2,"30%"
"memorial day 2022",1,"30%"
"lululemon",2,"30%"
"snake game",3,"20%"
"facebook",51,"20%"
"nba",40,"20%"
"wordle today",6,"20%"
"facebook login",3,"20%"
"restaurants near me",7,"20%"
"blooket",6,"20%"
"spanish to english",8,"20%"
"speed test",3,"20%"
"amazon prime",8,"20%"
"outlook",7,"20%"
"craigslist",19,"20%"
"indeed",7,"20%"
"phoenix suns",1,"20%"
