"query","search interest","increase percent"
"ryan grantham",11,"2,250%"
"diary of a wimpy kid",4,"1,050%"
"norman lear",2,"850%"
"telfar",5,"700%"
"hurricane florida",5,"550%"
"telfar bag",2,"500%"
"steelers vs browns",7,"400%"
"browns vs steelers",7,"400%"
"laver cup",5,"400%"
"nfl scores",8,"350%"
"steelers",26,"250%"
"browns",24,"200%"
"cleveland browns",6,"200%"
"pittsburgh steelers",4,"190%"
"hurricane tracker",4,"170%"
"hurricane",24,"110%"
"national hurricane center",2,"100%"
"avatar 2",2,"90%"
"don't worry darling",4,"70%"
"avatar",4,"70%"
"adam levine messages",1,"70%"
"amazon prime video",2,"60%"
"prime video",4,"60%"
"texas roadhouse",2,"50%"
"nfl",36,"50%"
"evan peters",3,"50%"
"dominos",4,"40%"
"presidents cup 2022",2,"40%"
"papa johns",2,"40%"
"pizza near me",3,"30%"
"spirit halloween",2,"30%"
"blooket join",1,"30%"
"jeffrey dahmer",19,"30%"
"restaurants near me",6,"30%"
"yankees",9,"30%"
"cool math games",6,"20%"
"abcya",2,"20%"
"pizza hut",3,"20%"
"ny yankees",1,"20%"
"jeffrey dahmer victims",1,"20%"
"amazon prime",9,"20%"
"dow jones",8,"20%"
"food near me",10,"20%"
"espn",9,"20%"
"weather channel",2,"20%"
"old navy",3,"20%"
"chick fil a",4,"20%"
"gimkit",4,"20%"
"crumbl cookies",1,"20%"
"you tube",3,"20%"
