"query","search interest","increase percent"
"election results",77,"Breakout"
"2022 election results",27,"Breakout"
"election results 2022",27,"Breakout"
"senate election results",5,"Breakout"
"arizona election results",4,"Breakout"
"boebert",7,"Breakout"
"house election results",4,"Breakout"
"lauren boebert",5,"Breakout"
"nevada election results",2,"4,500%"
"arizona governor race",4,"4,450%"
"georgia election results",2,"3,700%"
"fox news election results",2,"2,950%"
"kevin conroy",1,"2,700%"
"colorado election results",1,"2,700%"
"lauren boebert election results",1,"2,650%"
"nevada senate race",2,"2,550%"
"united states elections, 2022",1,"2,400%"
"texas election results",2,"2,250%"
"michigan election results",1,"2,200%"
"ftx",3,"2,200%"
"midterm election results",1,"2,100%"
"voting results",3,"1,900%"
"cnn election results",1,"1,900%"
"election",100,"1,800%"
"who won the election",1,"1,450%"
"midterm elections 2022",4,"1,450%"
"hurricane nicole",4,"1,250%"
"midterm elections",6,"1,050%"
"kari lake",6,"950%"
"oregon governor race",1,"850%"
"ufc 281",1,"700%"
"veterans day",15,"650%"
"tropical storm nicole",2,"550%"
"where to vote",7,"550%"
"wakanda forever",4,"350%"
"herschel walker",2,"350%"
"black panther",6,"350%"
"texas governor polls",1,"350%"
"hurricane tracker",1,"300%"
"stacey abrams",1,"300%"
"yellowstone season 5",3,"300%"
"fetterman",3,"250%"
"veterans day 2022",3,"250%"
"ufc",5,"250%"
"bitcoin price",2,"180%"
"don't worry darling",1,"160%"
"msnbc",1,"150%"
"vans",2,"110%"
"cnn",8,"100%"
"fox news",10,"100%"
