"query","search interest","increase percent"
"robert blake",5,"Breakout"
"dj moore",2,"2,000%"
"silicon valley bank",9,"1,150%"
"svb",10,"600%"
"svb stock",2,"300%"
"alabama basketball",1,"250%"
"grace van dien",1,"250%"
"warriors",5,"140%"
"scream 6",5,"100%"
"scream",8,"70%"
"papa johns",2,"50%"
"amc",4,"50%"
"pizza near me",3,"50%"
"daylight savings 2023",5,"40%"
"weather tomorrow",9,"40%"
"nhl scores",1,"40%"
"bitcoin price",1,"40%"
"dominos",3,"40%"
"tiempo",8,"30%"
"pizza hut",3,"30%"
"nfl",7,"30%"
"stock market today",1,"30%"
"math playground",2,"30%"
"bank of america",5,"30%"
"wells fargo",7,"30%"
"jenna ortega",2,"30%"
"tiempo mañana",2,"20%"
"clima",4,"20%"
"blooket join",2,"20%"
"wingstop",1,"20%"
"abcya",2,"20%"
"dow jones",5,"20%"
"cool math games",5,"20%"
"harbor freight",2,"20%"
"blooket",11,"20%"
"popeyes",1,"20%"
"twitch",3,"20%"
"food near me",8,"20%"
"weather today",3,"20%"
"weather",100,"20%"
"scratch",3,"20%"
"fidelity",3,"20%"
"yahoo finance",2,"20%"
"ticketmaster",2,"20%"
"roblox",6,"20%"
"dow jones today",2,"10%"
"restaurants near me",5,"10%"
"accuweather",2,"10%"
"mcdonald's",4,"10%"
"big ten tournament",3,"10%"
