"query","search interest","increase percent"
"men’s march madness",19,"Breakout"
"women’s march madness",15,"Breakout"
"dire wolf",6,"4,300%"
"the masters",6,"400%"
"masters",21,"350%"
"champions league",6,"350%"
"masters 2025",4,"350%"
"minecraft movie",17,"200%"
"march madness",46,"180%"
"apple stock",2,"160%"
"s&p 500",8,"160%"
"stock market today",7,"150%"
"stock market",19,"140%"
"dow",27,"140%"
"dow jones",20,"130%"
"sp500",3,"120%"
"s and p 500",2,"120%"
"dow jones today",6,"110%"
"florida basketball",5,"100%"
"djia",3,"100%"
"nasdaq",4,"100%"
"voo",3,"100%"
"tariffs",17,"100%"
"nvidia stock",3,"80%"
"spy stock",2,"80%"
"lakers",12,"70%"
"warriors",8,"70%"
"qqq",2,"60%"
"cnbc",2,"60%"
"bitcoin price",4,"50%"
"white lotus",12,"40%"
"nba standings",4,"40%"
"sephora",5,"40%"
"charles schwab",2,"40%"
"yahoo finance",3,"40%"
"fidelity",6,"30%"
"google finance",1,"30%"
"trump",32,"30%"
"red sox",5,"30%"
"ncaa march madness",2,"30%"
"tesla stock",7,"30%"
"xrp price",2,"30%"
"nba",29,"20%"
"nba games",4,"20%"
"detroit tigers",1,"20%"
"blooket",12,"20%"
"gmail",34,"20%"
"nba scores",3,"20%"
"phillies",6,"20%"
"irs",10,"20%"
