"query","search interest","increase percent"
"ryan grantham",8,"Breakout"
"ime udoka",6,"Breakout"
"nia long",8,"Breakout"
"steelers vs browns",3,"1,500%"
"hurricane florida",6,"1,250%"
"diary of a wimpy kid",4,"1,150%"
"laver cup",4,"900%"
"jeffrey dahmer",23,"900%"
"dahmer",33,"800%"
"college football scores",3,"700%"
"thursday night football",6,"600%"
"dahmer netflix",5,"450%"
"hurricane tracker",5,"450%"
"presidents cup 2022",2,"400%"
"browns",13,"350%"
"steelers",14,"350%"
"clemson football",2,"350%"
"georgia football",3,"350%"
"michigan football",5,"350%"
"albert pujols",2,"300%"
"telfar bag",1,"300%"
"syracuse football",1,"300%"
"cleveland browns",3,"250%"
"college football",11,"250%"
"pittsburgh steelers",2,"250%"
"don't worry darling",4,"200%"
"alabama football",3,"200%"
"tiffany haddish",1,"190%"
"noaa hurricane",2,"180%"
"national hurricane center",2,"170%"
"ohio state football",2,"160%"
"hurricane",27,"150%"
"yankees",12,"130%"
"noaa",3,"110%"
"aaron judge",4,"100%"
"avatar 2",2,"90%"
"new york yankees",1,"90%"
"breakfast near me",2,"80%"
"weather channel",3,"70%"
"netflix",19,"60%"
"pizza hut",4,"60%"
"dominos",4,"50%"
"mlb",17,"40%"
"rosh hashanah 2022",1,"40%"
"spirit halloween",3,"40%"
"restaurants near me",7,"40%"
"starbucks",8,"40%"
"mlb scores",5,"40%"
"macys",4,"40%"
"first day of fall 2022",3,"30%"
