"query","search interest","increase percent"
"silicon valley bank",4,"Breakout"
"svb",5,"Breakout"
"robert blake",1,"2,200%"
"shawn kemp",1,"1,900%"
"purdue basketball",1,"500%"
"mh370",2,"450%"
"players championship",3,"300%"
"alabama basketball",1,"250%"
"scream 6",3,"250%"
"ncaa basketball scores",1,"200%"
"scream",6,"200%"
"gene hackman",1,"150%"
"winter storm warning",1,"140%"
"indian wells",1,"130%"
"big ten tournament",2,"100%"
"premier league",2,"80%"
"everything everywhere all at once",1,"70%"
"st patrick's day",3,"70%"
"daylight savings 2023",4,"70%"
"tiempo mañana",1,"50%"
"pizza hut",2,"50%"
"jenna ortega",1,"50%"
"papa johns",1,"50%"
"restaurants near me",4,"40%"
"dominos",3,"40%"
"liquor store near me",1,"40%"
"pedro pascal",2,"40%"
"little caesars",1,"40%"
"tiempo",5,"40%"
"weather tomorrow",6,"40%"
"wingstop",1,"40%"
"pizza near me",2,"40%"
"march madness 2023",1,"30%"
"weather channel",1,"30%"
"weather today",2,"30%"
"espn",5,"30%"
"accuweather",1,"30%"
"bitcoin price",1,"30%"
"chick fil a",2,"30%"
"weather",69,"30%"
"wells fargo",5,"20%"
"walmart near me",2,"20%"
"hulu",3,"20%"
"twitch",2,"20%"
"aaron rodgers",2,"20%"
"ulta",2,"20%"
"hobby lobby",2,"20%"
"harbor freight",2,"20%"
"taco bell",2,"20%"
"target",9,"20%"
