Time,places to eat near me
2023-04-26,38
2023-04-27,39
2023-04-28,53
2023-04-29,85
2023-04-30,76
2023-05-01,37
2023-05-02,34
2023-05-03,35
2023-05-04,40
2023-05-05,50
2023-05-06,85
2023-05-07,72
2023-05-08,39
2023-05-09,37
2023-05-10,38
2023-05-11,40
2023-05-12,54
2023-05-13,86
2023-05-14,89
2023-05-15,41
2023-05-16,39
2023-05-17,41
2023-05-18,43
2023-05-19,57
2023-05-20,95
2023-05-21,81
2023-05-22,45
2023-05-23,43
2023-05-24,42
2023-05-25,48
2023-05-26,64
2023-05-27,100
2023-05-28,90
2023-05-29,78
2023-05-30,44
2023-05-31,44
2023-06-01,51
2023-06-02,60
2023-06-03,91
2023-06-04,84
2023-06-05,52
2023-06-06,52
2023-06-07,50
2023-06-08,49
2023-06-09,62
2023-06-10,95
2023-06-11,86
2023-06-12,53
2023-06-13,52
2023-06-14,52
2023-06-15,52
2023-06-16,70
2023-06-17,99
2023-06-18,98
2023-06-19,67
2023-06-20,53
2023-06-21,51
2023-06-22,55
2023-06-23,75
2023-06-24,96
2023-06-25,92
2023-06-26,58
2023-06-27,53
2023-06-28,54
2023-06-29,57
2023-06-30,69
2023-07-01,88
2023-07-02,94
2023-07-03,71
2023-07-04,75
2023-07-05,59
2023-07-06,59
2023-07-07,71
2023-07-08,95
2023-07-09,89
2023-07-10,56
2023-07-11,50
2023-07-12,50
2023-07-13,54
2023-07-14,70
2023-07-15,99
2023-07-16,84
2023-07-17,63
2023-07-18,53
2023-07-19,49
2023-07-20,56
2023-07-21,66
2023-07-22,91
2023-07-23,91
2023-07-24,57
2023-07-25,52
2023-07-26,49
2023-07-27,55
2023-07-28,64
2023-07-29,94
2023-07-30,80
2023-07-31,50
2023-08-01,51
2023-08-02,48
2023-08-03,49
2023-08-04,62
2023-08-05,86
2023-08-06,79
2023-08-07,50
2023-08-08,46
2023-08-09,47
2023-08-10,47
2023-08-11,64
2023-08-12,83
2023-08-13,76
2023-08-14,48
2023-08-15,42
2023-08-16,43
2023-08-17,45
2023-08-18,58
2023-08-19,87
2023-08-20,78
2023-08-21,44
2023-08-22,40
2023-08-23,42
2023-08-24,39
2023-08-25,52
2023-08-26,79
2023-08-27,71
2023-08-28,40
2023-08-29,38
2023-08-30,36
2023-08-31,40
2023-09-01,54
2023-09-02,80
2023-09-03,83
2023-09-04,69
2023-09-05,35
2023-09-06,34
2023-09-07,35
2023-09-08,47
2023-09-09,75
2023-09-10,60
2023-09-11,36
2023-09-12,36
2023-09-13,37
2023-09-14,39
2023-09-15,48
2023-09-16,83
2023-09-17,63
2023-09-18,39
2023-09-19,32
2023-09-20,36
2023-09-21,35
2023-09-22,48
2023-09-23,81
2023-09-24,64
2023-09-25,38
2023-09-26,33
2023-09-27,34
2023-09-28,36
2023-09-29,46
2023-09-30,79
2023-10-01,66
2023-10-02,38
2023-10-03,35
2023-10-04,35
2023-10-05,35
2023-10-06,52
2023-10-07,75
2023-10-08,67
2023-10-09,44
2023-10-10,35
2023-10-11,37
2023-10-12,38
2023-10-13,47
2023-10-14,77
2023-10-15,63
2023-10-16,36
2023-10-17,34
2023-10-18,34
2023-10-19,37
2023-10-20,45
2023-10-21,76
2023-10-22,64
2023-10-23,35
2023-10-24,34
2023-10-25,30
2023-10-26,35
2023-10-27,45
2023-10-28,73
2023-10-29,58
2023-10-30,30
2023-10-31,27
2023-11-01,32
2023-11-02,34
2023-11-03,42
2023-11-04,70
2023-11-05,59
2023-11-06,30
2023-11-07,30
2023-11-08,31
2023-11-09,35
2023-11-10,50
2023-11-11,75
2023-11-12,57
2023-11-13,31
2023-11-14,28
2023-11-15,27
2023-11-16,31
2023-11-17,41
2023-11-18,69
2023-11-19,60
2023-11-20,36
2023-11-21,35
2023-11-22,38
2023-11-23,40
2023-11-24,45
2023-11-25,51
2023-11-26,45
2023-11-27,27
2023-11-28,26
2023-11-29,27
2023-11-30,28
2023-12-01,37
2023-12-02,59
2023-12-03,48
2023-12-04,29
2023-12-05,27
2023-12-06,27
2023-12-07,29
2023-12-08,43
2023-12-09,66
2023-12-10,54
2023-12-11,29
2023-12-12,25
2023-12-13,26
2023-12-14,27
2023-12-15,37
2023-12-16,54
2023-12-17,47
2023-12-18,29
2023-12-19,27
2023-12-20,28
2023-12-21,31
2023-12-22,37
2023-12-23,45
2023-12-24,34
2023-12-25,44
2023-12-26,43
2023-12-27,42
2023-12-28,45
2023-12-29,49
2023-12-30,55
2023-12-31,48
2024-01-01,50
2024-01-02,33
2024-01-03,27
2024-01-04,31
2024-01-05,32
2024-01-06,50
2024-01-07,43
2024-01-08,23
2024-01-09,22
2024-01-10,26
2024-01-11,27
2024-01-12,32
2024-01-13,52
2024-01-14,44
2024-01-15,31
2024-01-16,22
2024-01-17,22
2024-01-18,23
2024-01-19,26
2024-01-20,46
