Time,2024 presidential election
2023-04-26,18
2023-04-27,10
2023-04-28,15
2023-04-29,32
2023-04-30,19
2023-05-01,9
2023-05-02,9
2023-05-03,8
2023-05-04,7
2023-05-05,6
2023-05-06,8
2023-05-07,10
2023-05-08,11
2023-05-09,11
2023-05-10,11
2023-05-11,11
2023-05-12,9
2023-05-13,9
2023-05-14,9
2023-05-15,10
2023-05-16,11
2023-05-17,10
2023-05-18,10
2023-05-19,9
2023-05-20,9
2023-05-21,8
2023-05-22,10
2023-05-23,13
2023-05-24,20
2023-05-25,19
2023-05-26,13
2023-05-27,10
2023-05-28,9
2023-05-29,10
2023-05-30,10
2023-05-31,10
2023-06-01,12
2023-06-02,11
2023-06-03,10
2023-06-04,12
2023-06-05,14
2023-06-06,13
2023-06-07,12
2023-06-08,10
2023-06-09,12
2023-06-10,12
2023-06-11,14
2023-06-12,12
2023-06-13,14
2023-06-14,14
2023-06-15,12
2023-06-16,11
2023-06-17,10
2023-06-18,37
2023-06-19,16
2023-06-20,9
2023-06-21,7
2023-06-22,7
2023-06-23,10
2023-06-24,8
2023-06-25,9
2023-06-26,10
2023-06-27,8
2023-06-28,9
2023-06-29,9
2023-06-30,9
2023-07-01,8
2023-07-02,8
2023-07-03,7
2023-07-04,11
2023-07-05,9
2023-07-06,9
2023-07-07,9
2023-07-08,8
2023-07-09,9
2023-07-10,7
2023-07-11,10
2023-07-12,10
2023-07-13,8
2023-07-14,9
2023-07-15,9
2023-07-16,10
2023-07-17,13
2023-07-18,11
2023-07-19,12
2023-07-20,9
2023-07-21,15
2023-07-22,9
2023-07-23,10
2023-07-24,10
2023-07-25,9
2023-07-26,10
2023-07-27,10
2023-07-28,9
2023-07-29,8
2023-07-30,10
2023-07-31,9
2023-08-01,14
2023-08-02,13
2023-08-03,15
2023-08-04,14
2023-08-05,8
2023-08-06,10
2023-08-07,10
2023-08-08,10
2023-08-09,10
2023-08-10,8
2023-08-11,10
2023-08-12,8
2023-08-13,9
2023-08-14,12
2023-08-15,15
2023-08-16,12
2023-08-17,13
2023-08-18,9
2023-08-19,8
2023-08-20,9
2023-08-21,14
2023-08-22,12
2023-08-23,14
2023-08-24,29
2023-08-25,24
2023-08-26,15
2023-08-27,14
2023-08-28,17
2023-08-29,15
2023-08-30,10
2023-08-31,11
2023-09-01,11
2023-09-02,7
2023-09-03,100
2023-09-04,21
2023-09-05,12
2023-09-06,11
2023-09-07,13
2023-09-08,12
2023-09-09,10
2023-09-10,10
2023-09-11,12
2023-09-12,10
2023-09-13,12
2023-09-14,9
2023-09-15,8
2023-09-16,9
2023-09-17,9
2023-09-18,10
2023-09-19,11
2023-09-20,10
2023-09-21,14
2023-09-22,10
2023-09-23,10
2023-09-24,12
2023-09-25,15
2023-09-26,12
2023-09-27,14
2023-09-28,23
2023-09-29,13
2023-09-30,10
2023-10-01,11
2023-10-02,13
2023-10-03,11
2023-10-04,12
2023-10-05,13
2023-10-06,10
2023-10-07,9
2023-10-08,11
2023-10-09,14
2023-10-10,14
2023-10-11,14
2023-10-12,13
2023-10-13,12
2023-10-14,10
2023-10-15,13
2023-10-16,16
2023-10-17,17
2023-10-18,15
2023-10-19,15
2023-10-20,14
2023-10-21,11
2023-10-22,13
2023-10-23,13
2023-10-24,17
2023-10-25,14
2023-10-26,15
2023-10-27,15
2023-10-28,20
2023-10-29,31
2023-10-30,18
2023-10-31,18
2023-11-01,18
2023-11-02,22
2023-11-03,20
2023-11-04,20
2023-11-05,28
2023-11-06,52
2023-11-07,86
2023-11-08,81
2023-11-09,52
2023-11-10,30
2023-11-11,19
2023-11-12,17
2023-11-13,24
2023-11-14,16
2023-11-15,17
2023-11-16,15
2023-11-17,14
2023-11-18,12
2023-11-19,13
2023-11-20,14
2023-11-21,17
2023-11-22,14
2023-11-23,10
2023-11-24,9
2023-11-25,8
2023-11-26,12
2023-11-27,15
2023-11-28,15
2023-11-29,12
2023-11-30,14
2023-12-01,13
2023-12-02,10
2023-12-03,11
2023-12-04,15
2023-12-05,14
2023-12-06,16
2023-12-07,19
2023-12-08,18
2023-12-09,12
2023-12-10,15
2023-12-11,12
2023-12-12,17
2023-12-13,16
2023-12-14,16
2023-12-15,17
2023-12-16,12
2023-12-17,14
2023-12-18,18
2023-12-19,17
2023-12-20,30
2023-12-21,21
2023-12-22,17
2023-12-23,13
2023-12-24,16
2023-12-25,12
2023-12-26,16
2023-12-27,16
2023-12-28,19
2023-12-29,21
2023-12-30,16
2023-12-31,18
2024-01-01,28
2024-01-02,29
2024-01-03,30
2024-01-04,27
2024-01-05,25
2024-01-06,24
2024-01-07,24
2024-01-08,24
2024-01-09,28
2024-01-10,31
2024-01-11,34
2024-01-12,26
2024-01-13,27
2024-01-14,32
2024-01-15,32
2024-01-16,87
2024-01-17,50
2024-01-18,48
2024-01-19,34
2024-01-20,30
