Time,google finance
2022-08-29,81
2022-08-30,80
2022-08-31,78
2022-09-01,81
2022-09-02,75
2022-09-03,27
2022-09-04,19
2022-09-05,24
2022-09-06,75
2022-09-07,78
2022-09-08,78
2022-09-09,75
2022-09-10,27
2022-09-11,19
2022-09-12,74
2022-09-13,88
2022-09-14,90
2022-09-15,82
2022-09-16,80
2022-09-17,26
2022-09-18,22
2022-09-19,76
2022-09-20,80
2022-09-21,84
2022-09-22,83
2022-09-23,85
2022-09-24,26
2022-09-25,19
2022-09-26,78
2022-09-27,80
2022-09-28,80
2022-09-29,82
2022-09-30,83
2022-10-01,27
2022-10-02,19
2022-10-03,77
2022-10-04,89
2022-10-05,86
2022-10-06,81
2022-10-07,81
2022-10-08,27
2022-10-09,20
2022-10-10,76
2022-10-11,77
2022-10-12,78
2022-10-13,85
2022-10-14,81
2022-10-15,28
2022-10-16,21
2022-10-17,75
2022-10-18,81
2022-10-19,97
2022-10-20,81
2022-10-21,77
2022-10-22,28
2022-10-23,20
2022-10-24,73
2022-10-25,83
2022-10-26,84
2022-10-27,97
2022-10-28,94
2022-10-29,30
2022-10-30,21
2022-10-31,79
2022-11-01,81
2022-11-02,84
2022-11-03,86
2022-11-04,85
2022-11-05,29
2022-11-06,21
2022-11-07,78
2022-11-08,80
2022-11-09,79
2022-11-10,92
2022-11-11,90
2022-11-12,34
2022-11-13,23
2022-11-14,76
2022-11-15,84
2022-11-16,85
2022-11-17,80
2022-11-18,80
2022-11-19,30
2022-11-20,20
2022-11-21,71
2022-11-22,79
2022-11-23,80
2022-11-24,29
2022-11-25,56
2022-11-26,25
2022-11-27,20
2022-11-28,63
2022-11-29,71
2022-11-30,76
2022-12-01,80
2022-12-02,78
2022-12-03,29
2022-12-04,18
2022-12-05,65
2022-12-06,74
2022-12-07,75
2022-12-08,72
2022-12-09,65
2022-12-10,25
2022-12-11,19
2022-12-12,68
2022-12-13,77
2022-12-14,76
2022-12-15,78
2022-12-16,77
2022-12-17,24
2022-12-18,16
2022-12-19,65
2022-12-20,73
2022-12-21,74
2022-12-22,78
2022-12-23,70
2022-12-24,28
2022-12-25,19
2022-12-26,35
2022-12-27,71
2022-12-28,74
2022-12-29,75
2022-12-30,70
2022-12-31,28
2023-01-01,17
2023-01-02,35
2023-01-03,62
2023-01-04,72
2023-01-05,68
2023-01-06,76
2023-01-07,28
2023-01-08,19
2023-01-09,70
2023-01-10,75
2023-01-11,71
2023-01-12,78
2023-01-13,79
2023-01-14,30
2023-01-15,19
2023-01-16,36
2023-01-17,72
2023-01-18,74
2023-01-19,72
2023-01-20,72
2023-01-21,26
2023-01-22,18
2023-01-23,68
2023-01-24,77
2023-01-25,79
2023-01-26,82
2023-01-27,80
2023-01-28,28
2023-01-29,18
2023-01-30,68
2023-01-31,76
2023-02-01,83
2023-02-02,100
2023-02-03,86
2023-02-04,28
2023-02-05,20
2023-02-06,74
2023-02-07,83
2023-02-08,79
2023-02-09,80
2023-02-10,77
2023-02-11,28
2023-02-12,18
2023-02-13,64
2023-02-14,77
2023-02-15,80
2023-02-16,76
2023-02-17,76
2023-02-18,28
2023-02-19,16
2023-02-20,37
2023-02-21,68
2023-02-22,72
2023-02-23,69
2023-02-24,74
2023-02-25,26
2023-02-26,18
2023-02-27,64
2023-02-28,67
2023-03-01,67
2023-03-02,67
2023-03-03,64
2023-03-04,25
2023-03-05,17
2023-03-06,63
2023-03-07,68
2023-03-08,66
2023-03-09,71
2023-03-10,76
2023-03-11,29
2023-03-12,21
2023-03-13,91
2023-03-14,90
2023-03-15,89
2023-03-16,83
2023-03-17,79
2023-03-18,25
2023-03-19,19
2023-03-20,77
2023-03-21,79
2023-03-22,85
2023-03-23,79
2023-03-24,78
2023-03-25,25
2023-03-26,19
2023-03-27,69
2023-03-28,67
2023-03-29,71
2023-03-30,74
2023-03-31,72
2023-04-01,24
2023-04-02,18
2023-04-03,67
2023-04-04,69
2023-04-05,69
2023-04-06,68
2023-04-07,50
2023-04-08,18
2023-04-09,17
2023-04-10,67
2023-04-11,71
2023-04-12,66
2023-04-13,67
2023-04-14,70
2023-04-15,26
2023-04-16,15
2023-04-17,65
2023-04-18,66
2023-04-19,67
2023-04-20,69
2023-04-21,64
2023-04-22,23
2023-04-23,19
2023-04-24,63
2023-04-25,67
2023-04-26,72
2023-04-27,71
2023-04-28,70
2023-04-29,24
2023-04-30,16
2023-05-01,65
2023-05-02,73
2023-05-03,73
2023-05-04,71
2023-05-05,73
2023-05-06,22
2023-05-07,17
2023-05-08,67
2023-05-09,63
2023-05-10,73
2023-05-11,70
2023-05-12,70
2023-05-13,23
2023-05-14,15
2023-05-15,65
2023-05-16,67
2023-05-17,67
2023-05-18,71
2023-05-19,72
2023-05-20,22
2023-05-21,14
2023-05-22,65
2023-05-23,68
2023-05-24,66
2023-05-25,72
