Time,google finance
2023-04-26,86
2023-04-27,85
2023-04-28,84
2023-04-29,28
2023-04-30,19
2023-05-01,78
2023-05-02,87
2023-05-03,87
2023-05-04,85
2023-05-05,88
2023-05-06,26
2023-05-07,20
2023-05-08,80
2023-05-09,76
2023-05-10,87
2023-05-11,84
2023-05-12,83
2023-05-13,27
2023-05-14,18
2023-05-15,78
2023-05-16,80
2023-05-17,80
2023-05-18,85
2023-05-19,86
2023-05-20,27
2023-05-21,17
2023-05-22,77
2023-05-23,82
2023-05-24,79
2023-05-25,86
2023-05-26,88
2023-05-27,28
2023-05-28,20
2023-05-29,27
2023-05-30,84
2023-05-31,84
2023-06-01,91
2023-06-02,95
2023-06-03,30
2023-06-04,21
2023-06-05,85
2023-06-06,88
2023-06-07,87
2023-06-08,86
2023-06-09,87
2023-06-10,29
2023-06-11,22
2023-06-12,85
2023-06-13,95
2023-06-14,95
2023-06-15,93
2023-06-16,87
2023-06-17,29
2023-06-18,19
2023-06-19,48
2023-06-20,78
2023-06-21,82
2023-06-22,77
2023-06-23,80
2023-06-24,26
2023-06-25,19
2023-06-26,75
2023-06-27,82
2023-06-28,79
2023-06-29,80
2023-06-30,81
2023-07-01,29
2023-07-02,21
2023-07-03,72
2023-07-04,31
2023-07-05,83
2023-07-06,82
2023-07-07,82
2023-07-08,26
2023-07-09,20
2023-07-10,82
2023-07-11,85
2023-07-12,89
2023-07-13,93
2023-07-14,90
2023-07-15,31
2023-07-16,24
2023-07-17,90
2023-07-18,93
2023-07-19,100
2023-07-20,93
2023-07-21,91
2023-07-22,29
2023-07-23,21
2023-07-24,84
2023-07-25,97
2023-07-26,99
2023-07-27,92
2023-07-28,93
2023-07-29,30
2023-07-30,22
2023-07-31,82
2023-08-01,87
2023-08-02,87
2023-08-03,92
2023-08-04,88
2023-08-05,30
2023-08-06,19
2023-08-07,83
2023-08-08,89
2023-08-09,89
2023-08-10,87
2023-08-11,77
2023-08-12,26
2023-08-13,20
2023-08-14,79
2023-08-15,80
2023-08-16,76
2023-08-17,80
2023-08-18,79
2023-08-19,26
2023-08-20,17
2023-08-21,73
2023-08-22,82
2023-08-23,81
2023-08-24,79
2023-08-25,75
2023-08-26,28
2023-08-27,18
2023-08-28,67
2023-08-29,78
2023-08-30,82
2023-08-31,80
2023-09-01,78
2023-09-02,24
2023-09-03,17
2023-09-04,24
2023-09-05,72
2023-09-06,71
2023-09-07,68
2023-09-08,68
2023-09-09,23
2023-09-10,16
2023-09-11,72
2023-09-12,72
2023-09-13,73
2023-09-14,72
2023-09-15,67
2023-09-16,24
2023-09-17,17
2023-09-18,64
2023-09-19,69
2023-09-20,67
2023-09-21,72
2023-09-22,67
2023-09-23,23
2023-09-24,16
2023-09-25,65
2023-09-26,70
2023-09-27,66
2023-09-28,67
2023-09-29,69
2023-09-30,23
2023-10-01,16
2023-10-02,66
2023-10-03,69
2023-10-04,70
2023-10-05,68
2023-10-06,75
2023-10-07,24
2023-10-08,15
2023-10-09,66
2023-10-10,74
2023-10-11,77
2023-10-12,67
2023-10-13,65
2023-10-14,22
2023-10-15,16
2023-10-16,61
2023-10-17,73
2023-10-18,67
2023-10-19,71
2023-10-20,63
2023-10-21,21
2023-10-22,17
2023-10-23,65
2023-10-24,69
2023-10-25,74
2023-10-26,70
2023-10-27,71
2023-10-28,22
2023-10-29,15
2023-10-30,65
2023-10-31,71
2023-11-01,76
2023-11-02,80
2023-11-03,76
2023-11-04,25
2023-11-05,18
2023-11-06,65
2023-11-07,77
2023-11-08,75
2023-11-09,74
2023-11-10,69
2023-11-11,25
2023-11-12,18
2023-11-13,63
2023-11-14,76
2023-11-15,82
2023-11-16,79
2023-11-17,73
2023-11-18,28
2023-11-19,17
2023-11-20,69
2023-11-21,78
2023-11-22,73
2023-11-23,25
2023-11-24,52
2023-11-25,23
2023-11-26,18
2023-11-27,62
2023-11-28,69
2023-11-29,74
2023-11-30,74
2023-12-01,71
2023-12-02,28
2023-12-03,16
2023-12-04,70
2023-12-05,74
2023-12-06,75
2023-12-07,70
2023-12-08,72
2023-12-09,26
2023-12-10,16
2023-12-11,68
2023-12-12,72
2023-12-13,77
2023-12-14,85
2023-12-15,86
2023-12-16,30
2023-12-17,20
2023-12-18,72
2023-12-19,85
2023-12-20,84
2023-12-21,90
2023-12-22,83
2023-12-23,30
2023-12-24,19
2023-12-25,19
2023-12-26,77
2023-12-27,84
2023-12-28,83
2023-12-29,79
2023-12-30,28
2023-12-31,18
2024-01-01,21
2024-01-02,75
2024-01-03,74
2024-01-04,81
2024-01-05,72
2024-01-06,25
2024-01-07,17
2024-01-08,68
2024-01-09,79
2024-01-10,79
2024-01-11,80
2024-01-12,75
2024-01-13,28
2024-01-14,16
2024-01-15,32
2024-01-16,66
2024-01-17,68
2024-01-18,68
2024-01-19,76
2024-01-20,28
