Time,google finance
2025-04-15,91
2025-04-16,92
2025-04-17,91
2025-04-18,58
2025-04-19,23
2025-04-20,17
2025-04-21,89
2025-04-22,91
2025-04-23,95
2025-04-24,89
2025-04-25,79
2025-04-26,24
2025-04-27,19
2025-04-28,81
2025-04-29,86
2025-04-30,86
2025-05-01,85
2025-05-02,85
2025-05-03,25
2025-05-04,22
2025-05-05,77
2025-05-06,77
2025-05-07,82
2025-05-08,80
2025-05-09,79
2025-05-10,25
2025-05-11,21
2025-05-12,100
2025-05-13,90
2025-05-14,81
2025-05-15,83
2025-05-16,79
2025-05-17,26
2025-05-18,19
2025-05-19,80
2025-05-20,80
2025-05-21,80
2025-05-22,79
2025-05-23,76
2025-05-24,23
2025-05-25,18
2025-05-26,20
2025-05-27,77
2025-05-28,79
2025-05-29,83
2025-05-30,80
2025-05-31,22
2025-06-01,18
2025-06-02,70
2025-06-03,77
2025-06-04,74
2025-06-05,81
2025-06-06,86
2025-06-07,22
2025-06-08,17
2025-06-09,72
2025-06-10,75
2025-06-11,77
2025-06-12,78
2025-06-13,76
2025-06-14,20
2025-06-15,20
2025-06-16,78
2025-06-17,73
2025-06-18,75
2025-06-19,49
2025-06-20,71
2025-06-21,21
2025-06-22,20
2025-06-23,77
2025-06-24,82
2025-06-25,74
2025-06-26,76
2025-06-27,80
2025-06-28,22
2025-06-29,18
2025-06-30,69
2025-07-01,77
2025-07-02,77
2025-07-03,79
2025-07-04,28
2025-07-05,21
2025-07-06,20
2025-07-07,76
2025-07-08,76
2025-07-09,78
2025-07-10,76
2025-07-11,77
2025-07-12,22
2025-07-13,20
2025-07-14,74
2025-07-15,78
2025-07-16,77
2025-07-17,87
2025-07-18,77
2025-07-19,29
2025-07-20,23
2025-07-21,78
2025-07-22,84
2025-07-23,94
2025-07-24,84
2025-07-25,81
2025-07-26,30
2025-07-27,23
2025-07-28,82
2025-07-29,80
2025-07-30,92
2025-07-31,96
2025-08-01,91
2025-08-02,27
2025-08-03,20
2025-08-04,79
2025-08-05,80
2025-08-06,85
2025-08-07,89
2025-08-08,83
2025-08-09,31
2025-08-10,27
2025-08-11,80
2025-08-12,76
2025-08-13,84
2025-08-14,80
2025-08-15,84
2025-08-16,25
2025-08-17,20
2025-08-18,74
2025-08-19,73
2025-08-20,73
2025-08-21,74
2025-08-22,78
2025-08-23,27
2025-08-24,19
2025-08-25,74
2025-08-26,74
2025-08-27,79
2025-08-28,75
2025-08-29,69
2025-08-30,22
2025-08-31,17
2025-09-01,24
2025-09-02,67
2025-09-03,71
2025-09-04,71
2025-09-05,74
2025-09-06,24
2025-09-07,18
2025-09-08,69
2025-09-09,74
2025-09-10,71
2025-09-11,73
2025-09-12,69
2025-09-13,22
2025-09-14,18
2025-09-15,69
2025-09-16,77
2025-09-17,82
2025-09-18,76
2025-09-19,76
2025-09-20,27
2025-09-21,20
2025-09-22,75
2025-09-23,80
2025-09-24,73
2025-09-25,76
2025-09-26,71
2025-09-27,26
2025-09-28,19
2025-09-29,69
2025-09-30,71
2025-10-01,75
2025-10-02,76
2025-10-03,75
2025-10-04,25
2025-10-05,19
2025-10-06,71
2025-10-07,75
2025-10-08,71
2025-10-09,73
2025-10-10,77
2025-10-11,25
2025-10-12,22
2025-10-13,79
2025-10-14,82
2025-10-15,72
2025-10-16,75
2025-10-17,73
2025-10-18,23
2025-10-19,18
2025-10-20,70
2025-10-21,74
2025-10-22,68
2025-10-23,78
2025-10-24,73
2025-10-25,22
2025-10-26,16
2025-10-27,56
2025-10-28,55
2025-10-29,61
2025-10-30,61
2025-10-31,55
2025-11-01,22
2025-11-02,19
2025-11-03,54
2025-11-04,59
2025-11-05,58
2025-11-06,64
2025-11-07,57
2025-11-08,24
2025-11-09,20
2025-11-10,54
2025-11-11,56
2025-11-12,59
2025-11-13,58
2025-11-14,54
2025-11-15,22
2025-11-16,20
2025-11-17,55
2025-11-18,60
2025-11-19,63
2025-11-20,65
2025-11-21,64
2025-11-22,25
2025-11-23,19
2025-11-24,57
2025-11-25,57
2025-11-26,61
2025-11-27,26
2025-11-28,42
2025-11-29,21
2025-11-30,21
2025-12-01,54
2025-12-02,54
2025-12-03,54
2025-12-04,58
2025-12-05,54
2025-12-06,25
2025-12-07,20
2025-12-08,52
2025-12-09,54
2025-12-10,57
2025-12-11,57
2025-12-12,54
2025-12-13,25
2025-12-14,17
2025-12-15,50
2025-12-16,49
2025-12-17,54
2025-12-18,53
2025-12-19,48
2025-12-20,21
2025-12-21,18
2025-12-22,49
2025-12-23,48
2025-12-24,45
2025-12-25,20
2025-12-26,41
2025-12-27,20
2025-12-28,19
2025-12-29,48
2025-12-30,45
2025-12-31,41
2026-01-01,22
2026-01-02,44
2026-01-03,22
2026-01-04,17
2026-01-05,50
2026-01-06,55
2026-01-07,52
2026-01-08,50
2026-01-09,55
