Time,raiders
2022-08-29,7
2022-08-30,9
2022-08-31,7
2022-09-01,6
2022-09-02,6
2022-09-03,6
2022-09-04,8
2022-09-05,7
2022-09-06,6
2022-09-07,6
2022-09-08,6
2022-09-09,8
2022-09-10,8
2022-09-11,57
2022-09-12,20
2022-09-13,7
2022-09-14,6
2022-09-15,6
2022-09-16,7
2022-09-17,7
2022-09-18,50
2022-09-19,27
2022-09-20,7
2022-09-21,5
2022-09-22,6
2022-09-23,6
2022-09-24,7
2022-09-25,42
2022-09-26,14
2022-09-27,7
2022-09-28,6
2022-09-29,6
2022-09-30,6
2022-10-01,6
2022-10-02,49
2022-10-03,19
2022-10-04,7
2022-10-05,5
2022-10-06,6
2022-10-07,6
2022-10-08,6
2022-10-09,15
2022-10-10,24
2022-10-11,100
2022-10-12,8
2022-10-13,6
2022-10-14,5
2022-10-15,6
2022-10-16,15
2022-10-17,8
2022-10-18,6
2022-10-19,5
2022-10-20,5
2022-10-21,6
2022-10-22,6
2022-10-23,43
2022-10-24,15
2022-10-25,6
2022-10-26,5
2022-10-27,5
2022-10-28,5
2022-10-29,6
2022-10-30,39
2022-10-31,11
2022-11-01,6
2022-11-02,5
2022-11-03,4
2022-11-04,5
2022-11-05,5
2022-11-06,32
2022-11-07,11
2022-11-08,6
2022-11-09,5
2022-11-10,5
2022-11-11,6
2022-11-12,6
2022-11-13,34
2022-11-14,25
2022-11-15,6
2022-11-16,5
2022-11-17,5
2022-11-18,5
2022-11-19,5
2022-11-20,26
2022-11-21,21
2022-11-22,6
2022-11-23,4
2022-11-24,6
2022-11-25,6
2022-11-26,6
2022-11-27,28
2022-11-28,29
2022-11-29,5
2022-11-30,5
2022-12-01,5
2022-12-02,5
2022-12-03,6
2022-12-04,26
2022-12-05,25
2022-12-06,7
2022-12-07,7
2022-12-08,14
2022-12-09,71
2022-12-10,8
2022-12-11,9
2022-12-12,6
2022-12-13,5
2022-12-14,4
2022-12-15,5
2022-12-16,5
2022-12-17,7
2022-12-18,29
2022-12-19,37
2022-12-20,9
2022-12-21,6
2022-12-22,6
2022-12-23,8
2022-12-24,18
2022-12-25,81
2022-12-26,8
2022-12-27,8
2022-12-28,10
2022-12-29,13
2022-12-30,9
2022-12-31,9
2023-01-01,55
2023-01-02,50
2023-01-03,6
2023-01-04,5
2023-01-05,5
2023-01-06,6
2023-01-07,44
2023-01-08,29
2023-01-09,8
2023-01-10,6
2023-01-11,5
2023-01-12,6
2023-01-13,5
2023-01-14,6
2023-01-15,6
2023-01-16,5
2023-01-17,6
2023-01-18,4
2023-01-19,4
2023-01-20,4
2023-01-21,5
2023-01-22,7
2023-01-23,5
2023-01-24,4
2023-01-25,4
2023-01-26,4
2023-01-27,4
2023-01-28,3
2023-01-29,5
2023-01-30,5
2023-01-31,5
2023-02-01,4
2023-02-02,4
2023-02-03,4
2023-02-04,4
2023-02-05,5
2023-02-06,5
2023-02-07,4
2023-02-08,4
2023-02-09,4
2023-02-10,4
2023-02-11,4
2023-02-12,5
2023-02-13,5
2023-02-14,5
2023-02-15,5
2023-02-16,4
2023-02-17,4
2023-02-18,5
2023-02-19,5
2023-02-20,3
2023-02-21,3
2023-02-22,3
2023-02-23,3
2023-02-24,3
2023-02-25,4
2023-02-26,4
2023-02-27,3
2023-02-28,3
2023-03-01,3
2023-03-02,3
2023-03-03,3
2023-03-04,3
2023-03-05,3
2023-03-06,4
2023-03-07,4
2023-03-08,4
2023-03-09,4
2023-03-10,3
2023-03-11,4
2023-03-12,4
2023-03-13,10
2023-03-14,10
2023-03-15,7
2023-03-16,5
2023-03-17,6
2023-03-18,5
2023-03-19,5
2023-03-20,5
2023-03-21,5
2023-03-22,5
2023-03-23,5
2023-03-24,5
2023-03-25,5
2023-03-26,4
2023-03-27,4
2023-03-28,4
2023-03-29,3
2023-03-30,3
2023-03-31,3
2023-04-01,4
2023-04-02,4
2023-04-03,3
2023-04-04,3
2023-04-05,3
2023-04-06,3
2023-04-07,3
2023-04-08,3
2023-04-09,3
2023-04-10,3
2023-04-11,3
2023-04-12,3
2023-04-13,3
2023-04-14,3
2023-04-15,3
2023-04-16,3
2023-04-17,3
2023-04-18,3
2023-04-19,3
2023-04-20,3
2023-04-21,3
2023-04-22,3
2023-04-23,3
2023-04-24,3
2023-04-25,3
2023-04-26,3
2023-04-27,4
2023-04-28,11
2023-04-29,11
2023-04-30,6
2023-05-01,4
2023-05-02,3
2023-05-03,3
2023-05-04,3
2023-05-05,3
2023-05-06,3
2023-05-07,3
2023-05-08,3
2023-05-09,4
2023-05-10,3
2023-05-11,5
2023-05-12,9
2023-05-13,5
2023-05-14,4
2023-05-15,4
2023-05-16,4
2023-05-17,4
2023-05-18,4
2023-05-19,3
2023-05-20,3
2023-05-21,3
2023-05-22,3
2023-05-23,4
2023-05-24,3
2023-05-25,3
