Time,monthly_gt
2021-12-26,52
2022-01-02,63
2022-01-09,63
2022-01-16,58
2022-01-23,63
2022-01-30,66
2022-02-06,73
2022-02-13,69
2022-02-20,73
2022-02-27,70
2022-03-06,72
2022-03-13,75
2022-03-20,70
2022-03-27,73
2022-04-03,74
2022-04-10,72
2022-04-17,70
2022-04-24,71
2022-05-01,71
2022-05-08,70
2022-05-15,65
2022-05-22,60
2022-05-29,59
2022-06-05,59
2022-06-12,58
2022-06-19,58
2022-06-26,61
2022-07-03,59
2022-07-10,60
2022-07-17,61
2022-07-24,59
2022-07-31,59
2022-08-07,65
2022-08-14,56
2022-08-21,59
2022-08-28,58
2022-09-04,61
2022-09-11,64
2022-09-18,63
2022-09-25,59
2022-10-02,61
2022-10-09,64
2022-10-16,62
2022-10-23,62
2022-10-30,62
2022-11-06,71
2022-11-13,62
2022-11-20,53
2022-11-27,62
2022-12-04,63
2022-12-11,65
2022-12-18,50
2022-12-25,53
2023-01-01,61
2023-01-08,67
2023-01-15,67
2023-01-22,68
2023-01-29,70
2023-02-05,72
2023-02-12,70
2023-02-19,69
2023-02-26,71
2023-03-05,75
2023-03-12,78
2023-03-19,75
2023-03-26,70
2023-04-02,70
2023-04-09,72
2023-04-16,70
2023-04-23,68
2023-04-30,65
2023-05-07,65
2023-05-14,67
2023-05-21,65
2023-05-28,62
2023-06-04,61
2023-06-11,62
2023-06-18,60
2023-06-25,62
2023-07-02,60
2023-07-09,63
2023-07-16,59
2023-07-23,58
2023-07-30,61
2023-08-06,63
2023-08-13,58
2023-08-20,62
2023-08-27,60
2023-09-03,58
2023-09-10,66
2023-09-17,64
2023-09-24,64
2023-10-01,63
2023-10-08,64
2023-10-15,65
2023-10-22,65
2023-10-29,68
2023-11-05,76
2023-11-12,66
2023-11-19,54
2023-11-26,65
2023-12-03,66
2023-12-10,63
2023-12-17,55
2023-12-24,50
2023-12-31,58
2024-01-07,66
2024-01-14,63
2024-01-21,68
2024-01-28,72
2024-02-04,71
2024-02-11,70
2024-02-18,71
2024-02-25,72
2024-03-03,76
2024-03-10,77
2024-03-17,82
2024-03-24,73
2024-03-31,71
2024-04-07,73
2024-04-14,74
2024-04-21,75
2024-04-28,70
2024-05-05,71
2024-05-12,68
2024-05-19,68
2024-05-26,62
2024-06-02,64
2024-06-09,62
2024-06-16,61
2024-06-23,60
2024-06-30,62
2024-07-07,60
2024-07-14,59
2024-07-21,61
2024-07-28,60
2024-08-04,58
2024-08-11,62
2024-08-18,61
2024-08-25,67
2024-09-01,68
2024-09-08,68
2024-09-15,70
2024-09-22,68
2024-09-29,69
2024-10-06,66
2024-10-13,66
2024-10-20,71
2024-10-27,74
2024-11-03,76
2024-11-10,71
2024-11-17,70
2024-11-24,54
2024-12-01,67
2024-12-08,68
2024-12-15,65
2024-12-22,52
2024-12-29,61
2025-01-05,71
2025-01-12,71
2025-01-19,67
2025-01-26,77
2025-02-02,77
2025-02-09,74
2025-02-16,78
2025-02-23,80
2025-03-02,77
2025-03-09,82
2025-03-16,74
2025-03-23,74
2025-03-30,68
2025-04-06,74
2025-04-13,74
2025-04-20,72
2025-04-27,73
2025-05-04,74
2025-05-11,69
2025-05-18,66
2025-05-25,66
2025-06-01,67
2025-06-08,66
2025-06-15,65
2025-06-22,68
2025-06-29,65
2025-07-06,68
2025-07-13,71
2025-07-20,74
2025-07-27,75
2025-08-03,67
2025-08-10,68
2025-08-17,64
2025-08-24,64
2025-08-31,66
2025-09-07,66
2025-09-14,69
2025-09-21,72
2025-09-28,70
2025-10-05,74
2025-10-12,68
2025-10-19,72
2025-10-26,77
2025-11-02,86
2025-11-09,72
2025-11-16,73
2025-11-23,66
2025-11-30,72
2025-12-07,74
2025-12-14,65
2025-12-21,59
2025-12-28,68
2026-01-04,76
2026-01-11,77
2026-01-18,82
2026-01-25,82
2026-02-01,87
2026-02-08,80
2026-02-15,83
2026-02-22,87
2026-03-01,95
2026-03-08,100
2026-03-15,86
2026-03-22,88
2026-03-29,94
2026-04-05,92
2026-04-12,100
2026-04-19,93
2026-04-26,93
2026-05-03,91
2026-05-10,92
2026-05-17,89
2026-05-24,91
2026-05-31,92
