Time,bath_and_body_works
2022-01-01,48.0
2022-01-02,47.0
2022-01-03,37.0
2022-01-04,40.0
2022-01-05,43.0
2022-01-06,30.0
2022-01-07,44.0
2022-01-08,49.0
2022-01-09,43.0
2022-01-10,32.0
2022-01-11,34.0
2022-01-12,39.0
2022-01-13,31.0
2022-01-14,29.0
2022-01-15,37.0
2022-01-16,37.0
2022-01-17,34.0
2022-01-18,27.0
2022-01-19,26.0
2022-01-20,28.0
2022-01-21,29.0
2022-01-22,35.0
2022-01-23,35.0
2022-01-24,30.0
2022-01-25,23.0
2022-01-26,23.0
2022-01-27,26.0
2022-01-28,28.0
2022-01-29,33.0
2022-01-30,33.0
2022-01-31,29.0
2022-02-01,26.0
2022-02-02,31.0
2022-02-03,27.0
2022-02-04,33.0
2022-02-05,36.0
2022-02-06,32.0
2022-02-07,25.0
2022-02-08,25.0
2022-02-09,26.0
2022-02-10,24.0
2022-02-11,31.0
2022-02-12,35.0
2022-02-13,34.0
2022-02-14,23.0
2022-02-15,25.0
2022-02-16,22.0
2022-02-17,21.0
2022-02-18,28.0
2022-02-19,30.0
2022-02-20,29.0
2022-02-21,25.0
2022-02-22,26.0
2022-02-23,24.0
2022-02-24,24.0
2022-02-25,29.0
2022-02-26,32.0
2022-02-27,36.0
2022-02-28,26.0
2022-03-01,24.0
2022-03-02,27.0
2022-03-03,25.0
2022-03-04,24.0
2022-03-05,27.0
2022-03-06,29.0
2022-03-07,22.0
2022-03-08,22.0
2022-03-09,26.0
2022-03-10,26.0
2022-03-11,22.0
2022-03-12,26.0
2022-03-13,31.0
2022-03-14,20.0
2022-03-15,23.0
2022-03-16,22.0
2022-03-17,24.0
2022-03-18,31.0
2022-03-19,32.0
2022-03-20,31.0
2022-03-21,25.0
2022-03-22,23.0
2022-03-23,23.0
2022-03-24,26.0
2022-03-25,22.0
2022-03-26,30.0
2022-03-27,29.0
2022-03-28,18.0
2022-03-29,18.0
2022-03-30,23.0
2022-03-31,23.0
2022-04-01,28.0
2022-04-02,36.0
2022-04-03,36.0
2022-04-04,21.0
2022-04-05,19.0
2022-04-06,19.0
2022-04-07,21.0
2022-04-08,22.0
2022-04-09,42.0
2022-04-10,35.0
2022-04-11,24.0
2022-04-12,24.0
2022-04-13,24.0
2022-04-14,22.0
2022-04-15,26.0
2022-04-16,27.0
2022-04-17,41.0
2022-04-18,24.0
2022-04-19,19.0
2022-04-20,21.0
2022-04-21,19.0
2022-04-22,22.0
2022-04-23,30.0
2022-04-24,29.0
2022-04-25,19.0
2022-04-26,19.0
2022-04-27,19.0
2022-04-28,21.0
2022-04-29,25.0
2022-04-30,48.0
2022-05-01,51.0
2022-05-02,27.0
2022-05-03,25.0
2022-05-04,30.0
2022-05-05,33.0
2022-05-06,33.0
2022-05-07,49.0
2022-05-08,49.0
2022-05-09,23.0
2022-05-10,21.0
2022-05-11,23.0
