Time,shein
2022-08-29,63
2022-08-30,60
2022-08-31,60
2022-09-01,61
2022-09-02,59
2022-09-03,59
2022-09-04,70
2022-09-05,75
2022-09-06,58
2022-09-07,57
2022-09-08,59
2022-09-09,58
2022-09-10,62
2022-09-11,72
2022-09-12,65
2022-09-13,64
2022-09-14,60
2022-09-15,61
2022-09-16,59
2022-09-17,64
2022-09-18,73
2022-09-19,66
2022-09-20,61
2022-09-21,59
2022-09-22,62
2022-09-23,60
2022-09-24,65
2022-09-25,75
2022-09-26,68
2022-09-27,63
2022-09-28,63
2022-09-29,62
2022-09-30,63
2022-10-01,69
2022-10-02,75
2022-10-03,70
2022-10-04,68
2022-10-05,67
2022-10-06,65
2022-10-07,64
2022-10-08,69
2022-10-09,79
2022-10-10,70
2022-10-11,66
2022-10-12,63
2022-10-13,68
2022-10-14,61
2022-10-15,66
2022-10-16,74
2022-10-17,68
2022-10-18,71
2022-10-19,68
2022-10-20,61
2022-10-21,58
2022-10-22,61
2022-10-23,68
2022-10-24,59
2022-10-25,56
2022-10-26,54
2022-10-27,54
2022-10-28,48
2022-10-29,53
2022-10-30,56
2022-10-31,49
2022-11-01,47
2022-11-02,54
2022-11-03,57
2022-11-04,55
2022-11-05,62
2022-11-06,68
2022-11-07,62
2022-11-08,57
2022-11-09,53
2022-11-10,58
2022-11-11,65
2022-11-12,64
2022-11-13,71
2022-11-14,68
2022-11-15,61
2022-11-16,62
2022-11-17,61
2022-11-18,60
2022-11-19,66
2022-11-20,70
2022-11-21,65
2022-11-22,57
2022-11-23,62
2022-11-24,63
2022-11-25,100
2022-11-26,93
2022-11-27,77
2022-11-28,77
2022-11-29,71
2022-11-30,54
2022-12-01,58
2022-12-02,56
2022-12-03,61
2022-12-04,68
2022-12-05,60
2022-12-06,58
2022-12-07,58
2022-12-08,61
2022-12-09,57
2022-12-10,59
2022-12-11,66
2022-12-12,60
2022-12-13,53
2022-12-14,51
2022-12-15,53
2022-12-16,51
2022-12-17,52
2022-12-18,53
2022-12-19,51
2022-12-20,49
2022-12-21,49
2022-12-22,47
2022-12-23,46
2022-12-24,43
2022-12-25,60
2022-12-26,65
2022-12-27,64
2022-12-28,60
2022-12-29,60
2022-12-30,58
2022-12-31,50
2023-01-01,51
2023-01-02,63
2023-01-03,54
2023-01-04,54
2023-01-05,53
2023-01-06,54
2023-01-07,58
2023-01-08,62
2023-01-09,55
2023-01-10,56
2023-01-11,59
2023-01-12,55
2023-01-13,52
2023-01-14,62
2023-01-15,67
2023-01-16,65
2023-01-17,60
2023-01-18,60
2023-01-19,59
2023-01-20,60
2023-01-21,70
2023-01-22,73
2023-01-23,66
2023-01-24,64
2023-01-25,61
2023-01-26,60
2023-01-27,58
2023-01-28,67
2023-01-29,76
2023-01-30,65
2023-01-31,68
2023-02-01,62
2023-02-02,60
2023-02-03,61
2023-02-04,67
2023-02-05,80
2023-02-06,65
2023-02-07,58
2023-02-08,58
2023-02-09,60
2023-02-10,57
2023-02-11,66
2023-02-12,71
2023-02-13,57
2023-02-14,52
2023-02-15,56
2023-02-16,63
2023-02-17,64
2023-02-18,72
2023-02-19,77
2023-02-20,72
2023-02-21,68
2023-02-22,66
2023-02-23,71
2023-02-24,68
2023-02-25,73
2023-02-26,85
2023-02-27,78
2023-02-28,69
2023-03-01,71
2023-03-02,72
2023-03-03,66
2023-03-04,75
2023-03-05,86
2023-03-06,75
2023-03-07,72
2023-03-08,73
2023-03-09,72
2023-03-10,70
2023-03-11,77
2023-03-12,83
2023-03-13,76
2023-03-14,73
2023-03-15,70
2023-03-16,69
2023-03-17,69
2023-03-18,77
2023-03-19,86
2023-03-20,76
2023-03-21,70
2023-03-22,74
2023-03-23,72
2023-03-24,72
2023-03-25,78
2023-03-26,87
2023-03-27,75
2023-03-28,71
2023-03-29,70
2023-03-30,69
2023-03-31,68
2023-04-01,74
2023-04-02,88
2023-04-03,73
2023-04-04,69
2023-04-05,72
2023-04-06,68
2023-04-07,71
2023-04-08,69
2023-04-09,76
2023-04-10,77
2023-04-11,75
2023-04-12,74
2023-04-13,76
2023-04-14,72
2023-04-15,79
2023-04-16,92
2023-04-17,78
2023-04-18,71
2023-04-19,70
2023-04-20,70
2023-04-21,70
2023-04-22,79
2023-04-23,85
2023-04-24,78
2023-04-25,71
2023-04-26,70
2023-04-27,70
2023-04-28,68
2023-04-29,77
2023-04-30,85
2023-05-01,75
2023-05-02,72
2023-05-03,72
2023-05-04,68
2023-05-05,65
2023-05-06,70
2023-05-07,79
2023-05-08,77
2023-05-09,73
2023-05-10,68
2023-05-11,70
2023-05-12,70
2023-05-13,73
2023-05-14,80
2023-05-15,76
2023-05-16,77
2023-05-17,74
2023-05-18,74
2023-05-19,72
2023-05-20,73
2023-05-21,78
2023-05-22,78
2023-05-23,70
2023-05-24,73
2023-05-25,70
