Time,shein
2025-04-15,71
2025-04-16,72
2025-04-17,74
2025-04-18,72
2025-04-19,61
2025-04-20,72
2025-04-21,74
2025-04-22,73
2025-04-23,70
2025-04-24,68
2025-04-25,65
2025-04-26,58
2025-04-27,70
2025-04-28,72
2025-04-29,71
2025-04-30,61
2025-05-01,60
2025-05-02,62
2025-05-03,50
2025-05-04,62
2025-05-05,57
2025-05-06,54
2025-05-07,55
2025-05-08,51
2025-05-09,50
2025-05-10,49
2025-05-11,48
2025-05-12,63
2025-05-13,59
2025-05-14,53
2025-05-15,60
2025-05-16,54
2025-05-17,54
2025-05-18,60
2025-05-19,60
2025-05-20,58
2025-05-21,59
2025-05-22,56
2025-05-23,53
2025-05-24,55
2025-05-25,62
2025-05-26,67
2025-05-27,64
2025-05-28,65
2025-05-29,64
2025-05-30,63
2025-05-31,61
2025-06-01,66
2025-06-02,67
2025-06-03,69
2025-06-04,65
2025-06-05,64
2025-06-06,59
2025-06-07,57
2025-06-08,63
2025-06-09,60
2025-06-10,62
2025-06-11,60
2025-06-12,60
2025-06-13,58
2025-06-14,53
2025-06-15,58
2025-06-16,66
2025-06-17,59
2025-06-18,61
2025-06-19,64
2025-06-20,58
2025-06-21,56
2025-06-22,60
2025-06-23,61
2025-06-24,64
2025-06-25,58
2025-06-26,63
2025-06-27,60
2025-06-28,51
2025-06-29,62
2025-06-30,59
2025-07-01,62
2025-07-02,58
2025-07-03,58
2025-07-04,51
2025-07-05,51
2025-07-06,64
2025-07-07,65
2025-07-08,66
2025-07-09,66
2025-07-10,62
2025-07-11,60
2025-07-12,60
2025-07-13,68
2025-07-14,69
2025-07-15,65
2025-07-16,71
2025-07-17,80
2025-07-18,70
2025-07-19,85
2025-07-20,93
2025-07-21,87
2025-07-22,79
2025-07-23,77
2025-07-24,72
2025-07-25,70
2025-07-26,71
2025-07-27,72
2025-07-28,76
2025-07-29,90
2025-07-30,100
2025-07-31,95
2025-08-01,77
2025-08-02,60
2025-08-03,65
2025-08-04,69
2025-08-05,71
2025-08-06,67
2025-08-07,69
2025-08-08,71
2025-08-09,70
2025-08-10,74
2025-08-11,66
2025-08-12,67
2025-08-13,63
2025-08-14,61
2025-08-15,61
2025-08-16,58
2025-08-17,65
2025-08-18,63
2025-08-19,59
2025-08-20,61
2025-08-21,57
2025-08-22,55
2025-08-23,54
2025-08-24,61
2025-08-25,59
2025-08-26,54
2025-08-27,55
2025-08-28,53
2025-08-29,49
2025-08-30,49
2025-08-31,56
2025-09-01,60
2025-09-02,55
2025-09-03,55
2025-09-04,52
2025-09-05,51
2025-09-06,50
2025-09-07,58
2025-09-08,60
2025-09-09,56
2025-09-10,52
2025-09-11,48
2025-09-12,46
2025-09-13,46
2025-09-14,54
2025-09-15,50
2025-09-16,53
2025-09-17,54
2025-09-18,51
2025-09-19,48
2025-09-20,48
2025-09-21,56
2025-09-22,58
2025-09-23,55
2025-09-24,55
2025-09-25,55
2025-09-26,52
2025-09-27,51
2025-09-28,58
2025-09-29,60
2025-09-30,55
2025-10-01,56
2025-10-02,58
2025-10-03,57
2025-10-04,55
2025-10-05,60
2025-10-06,65
2025-10-07,62
2025-10-08,60
2025-10-09,64
2025-10-10,54
2025-10-11,49
2025-10-12,61
2025-10-13,67
2025-10-14,63
2025-10-15,58
2025-10-16,57
2025-10-17,54
2025-10-18,52
2025-10-19,59
2025-10-20,58
2025-10-21,56
2025-10-22,51
2025-10-23,53
2025-10-24,46
2025-10-25,46
2025-10-26,48
2025-10-27,49
2025-10-28,46
2025-10-29,41
2025-10-30,43
2025-10-31,36
2025-11-01,39
2025-11-02,55
2025-11-03,55
2025-11-04,58
2025-11-05,60
2025-11-06,60
2025-11-07,52
2025-11-08,57
2025-11-09,55
2025-11-10,60
2025-11-11,58
2025-11-12,56
2025-11-13,57
2025-11-14,52
2025-11-15,48
2025-11-16,59
2025-11-17,55
2025-11-18,51
2025-11-19,51
2025-11-20,52
2025-11-21,50
2025-11-22,47
2025-11-23,54
2025-11-24,50
2025-11-25,52
2025-11-26,51
2025-11-27,46
2025-11-28,73
2025-11-29,71
2025-11-30,59
2025-12-01,67
2025-12-02,65
2025-12-03,52
2025-12-04,50
2025-12-05,47
2025-12-06,54
2025-12-07,54
2025-12-08,52
2025-12-09,51
2025-12-10,49
2025-12-11,46
2025-12-12,42
2025-12-13,45
2025-12-14,45
2025-12-15,42
2025-12-16,41
2025-12-17,37
2025-12-18,38
2025-12-19,38
2025-12-20,40
2025-12-21,38
2025-12-22,38
2025-12-23,36
2025-12-24,35
2025-12-25,37
2025-12-26,46
2025-12-27,42
2025-12-28,43
2025-12-29,44
2025-12-30,41
2025-12-31,38
2026-01-01,36
2026-01-02,41
2026-01-03,47
2026-01-04,45
2026-01-05,44
2026-01-06,42
2026-01-07,42
2026-01-08,41
2026-01-09,41
