Time,credit karma
2022-08-29,61
2022-08-30,67
2022-08-31,67
2022-09-01,68
2022-09-02,67
2022-09-03,66
2022-09-04,60
2022-09-05,59
2022-09-06,71
2022-09-07,72
2022-09-08,76
2022-09-09,67
2022-09-10,64
2022-09-11,54
2022-09-12,66
2022-09-13,63
2022-09-14,68
2022-09-15,67
2022-09-16,66
2022-09-17,68
2022-09-18,52
2022-09-19,63
2022-09-20,65
2022-09-21,65
2022-09-22,61
2022-09-23,57
2022-09-24,59
2022-09-25,57
2022-09-26,59
2022-09-27,59
2022-09-28,60
2022-09-29,56
2022-09-30,61
2022-10-01,59
2022-10-02,53
2022-10-03,64
2022-10-04,63
2022-10-05,64
2022-10-06,67
2022-10-07,64
2022-10-08,61
2022-10-09,55
2022-10-10,72
2022-10-11,64
2022-10-12,61
2022-10-13,66
2022-10-14,69
2022-10-15,60
2022-10-16,57
2022-10-17,66
2022-10-18,66
2022-10-19,65
2022-10-20,65
2022-10-21,58
2022-10-22,57
2022-10-23,66
2022-10-24,64
2022-10-25,67
2022-10-26,67
2022-10-27,61
2022-10-28,60
2022-10-29,54
2022-10-30,54
2022-10-31,61
2022-11-01,56
2022-11-02,65
2022-11-03,64
2022-11-04,61
2022-11-05,57
2022-11-06,53
2022-11-07,61
2022-11-08,63
2022-11-09,51
2022-11-10,58
2022-11-11,59
2022-11-12,55
2022-11-13,51
2022-11-14,57
2022-11-15,63
2022-11-16,54
2022-11-17,61
2022-11-18,60
2022-11-19,56
2022-11-20,52
2022-11-21,56
2022-11-22,58
2022-11-23,57
2022-11-24,41
2022-11-25,51
2022-11-26,52
2022-11-27,49
2022-11-28,53
2022-11-29,60
2022-11-30,55
2022-12-01,58
2022-12-02,56
2022-12-03,58
2022-12-04,51
2022-12-05,58
2022-12-06,57
2022-12-07,61
2022-12-08,58
2022-12-09,57
2022-12-10,56
2022-12-11,52
2022-12-12,57
2022-12-13,55
2022-12-14,58
2022-12-15,57
2022-12-16,58
2022-12-17,54
2022-12-18,48
2022-12-19,58
2022-12-20,58
2022-12-21,59
2022-12-22,55
2022-12-23,53
2022-12-24,42
2022-12-25,39
2022-12-26,56
2022-12-27,65
2022-12-28,63
2022-12-29,63
2022-12-30,58
2022-12-31,51
2023-01-01,51
2023-01-02,59
2023-01-03,61
2023-01-04,64
2023-01-05,65
2023-01-06,63
2023-01-07,64
2023-01-08,57
2023-01-09,70
2023-01-10,64
2023-01-11,65
2023-01-12,65
2023-01-13,64
2023-01-14,59
2023-01-15,65
2023-01-16,63
2023-01-17,68
2023-01-18,69
2023-01-19,66
2023-01-20,72
2023-01-21,69
2023-01-22,58
2023-01-23,75
2023-01-24,79
2023-01-25,80
2023-01-26,77
2023-01-27,80
2023-01-28,74
2023-01-29,64
2023-01-30,72
2023-01-31,76
2023-02-01,88
2023-02-02,79
2023-02-03,77
2023-02-04,72
2023-02-05,66
2023-02-06,78
2023-02-07,81
2023-02-08,76
2023-02-09,74
2023-02-10,79
2023-02-11,75
2023-02-12,62
2023-02-13,70
2023-02-14,67
2023-02-15,77
2023-02-16,75
2023-02-17,87
2023-02-18,78
2023-02-19,62
2023-02-20,76
2023-02-21,83
2023-02-22,95
2023-02-23,100
2023-02-24,76
2023-02-25,72
2023-02-26,66
2023-02-27,71
2023-02-28,75
2023-03-01,79
2023-03-02,78
2023-03-03,71
2023-03-04,73
2023-03-05,75
2023-03-06,72
2023-03-07,78
2023-03-08,71
2023-03-09,78
2023-03-10,81
2023-03-11,70
2023-03-12,67
2023-03-13,69
2023-03-14,70
2023-03-15,66
2023-03-16,69
2023-03-17,69
2023-03-18,70
2023-03-19,65
2023-03-20,74
2023-03-21,72
2023-03-22,74
2023-03-23,73
2023-03-24,66
2023-03-25,66
2023-03-26,61
2023-03-27,68
2023-03-28,71
2023-03-29,69
2023-03-30,68
2023-03-31,62
2023-04-01,66
2023-04-02,67
2023-04-03,76
2023-04-04,77
2023-04-05,66
2023-04-06,71
2023-04-07,67
2023-04-08,64
2023-04-09,57
2023-04-10,71
2023-04-11,72
2023-04-12,73
2023-04-13,69
2023-04-14,70
2023-04-15,66
2023-04-16,65
2023-04-17,75
2023-04-18,75
2023-04-19,75
2023-04-20,67
2023-04-21,67
2023-04-22,60
2023-04-23,58
2023-04-24,64
2023-04-25,64
2023-04-26,66
2023-04-27,64
2023-04-28,62
2023-04-29,64
2023-04-30,57
2023-05-01,69
2023-05-02,67
2023-05-03,68
2023-05-04,68
2023-05-05,62
2023-05-06,63
2023-05-07,59
2023-05-08,65
2023-05-09,63
2023-05-10,65
2023-05-11,61
2023-05-12,61
2023-05-13,60
2023-05-14,67
2023-05-15,66
2023-05-16,71
2023-05-17,64
2023-05-18,66
2023-05-19,66
2023-05-20,62
2023-05-21,64
2023-05-22,65
2023-05-23,61
2023-05-24,64
2023-05-25,62
